Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,louisvuitton,Louis Vuitton,Fashion,55.9M,,23.2K,29.3K
2,chanelofficial,CHANEL,Fashion,60.1M,,18.4K,23.1K
3,ifuckinglovewatches,IFLW,Fashion,1.2M,,853.1K,1.1M
4,horologymania,HOROLOGYMANIA,Accessories &  Jewellery,1.1M,,689.4K,881.5K
5,gucci,GUCCI,Accessories &  Jewellery,52.3M,,14.1K,17.7K
6,zara,ZARA,Clothing &  Outfits,62.2M,,11.6K,14.7K
7,rolex,ROLEX,Luxury,17M,,35.1K,42.6K
8,indiarosecrawford,India Rose Crawford,Accessories &  Jewellery,3.3M,,169.7K,208.6K
9,dior,Dior Official,Fashion,46.9M,,10.8K,13.3K
10,jacquemus,JACQUEMUS,Accessories &  Jewellery,6.7M,,66.2K,89.2K
11,versace,Versace,Accessories &  Jewellery,30M,,14.4K,18.7K
12,cartier,Cartier Official,Accessories &  Jewellery,15.4M,,17.4K,22.1K
13,prada,Prada,Clothing &  Outfits,34M,,7.9K,10K
14,dolcegabbana,Dolce&Gabbana,Accessories &  Jewellery,30.9M,,7.5K,10K
15,hm,H&M,Clothing &  Outfits,38.5M,,5.9K,7.4K
16,hermes,Hermès,Accessories &  Jewellery,14.9M,,14.2K,18K
17,tiffanyandco,Tiffany & Co.,Accessories &  Jewellery,16.5M,,11.9K,15.5K
18,balmain,Balmain,Fashion,12.3M,,14.2K,19.6K
19,sheinofficial,SHEIN.COM,Clothing &  Outfits,34.5M,,5K,6.6K
20,bershka,BERSHKA,Clothing &  Outfits,10.9M,,14.3K,17.7K
21,schiaparelli,Schiaparelli,Accessories &  Jewellery,3M,,44.4K,62.1K
22,fendi,Fendi,Fashion,21.4M,,5.8K,7.5K
23,bvlgari,BVLGARI Official,Accessories &  Jewellery,14.3M,,8.3K,10.7K
24,anka.marketplace,ankamarketplace.com,Accessories &  Jewellery,451K,,241.9K,338.7K
25,swarovski,SWAROVSKI,Accessories &  Jewellery,8.8M,,13.1K,16.9K
26,effectivespaces,Natasha Swingler,Accessories &  Jewellery,6.1M,,18K,23.7K
27,balenciaga,Balenciaga,Fashion,14.9M,,6.8K,8.6K
28,theofficialpandora,Pandora,Accessories &  Jewellery,11.2M,,8.9K,11.2K
29,burberry,Burberry,Fashion,20.2M,,4.6K,5.9K
30,bratz,Bratz,Accessories &  Jewellery,2.3M,,38.6K,53.5K
31,dltree_target_ross_finds,ᗰEᖇI|ᗪᒪTᖇEE_TᗩᖇGET_ᖇOᔕᔕ_ᖴIᑎᗪᔕ,Accessories &  Jewellery,291.2K,,247.7K,313.2K
32,boohoo,boohoo,Clothing &  Outfits,12.1M,,4.9K,8K
33,loewe,LOEWE,Fashion,6.4M,,10.9K,15.3K
34,jacobandco,JACOB & CO.,Luxury,6M,,11K,14.7K
35,flynn_and_mabel,"Jenny ~ Embroidery Art, Design & Crafts",Accessories &  Jewellery,2M,,32.3K,44.7K
36,alexandermcqueen,McQueen,Accessories &  Jewellery,13.1M,,3.8K,6K
37,kirstenscalica,𝓴𝓲𝓻𝓼𝓽𝓮𝓷 ✨,Beauty,182.9K,,307.2K,533.8K
38,jimmychoo,Jimmy Choo,Clothing &  Outfits,13.5M,,4.3K,5.4K
39,its.all.about.luxe,𝐈𝐓𝐒𝐀𝐋𝐋𝐀𝐁𝐎𝐔𝐓𝐋𝐔𝐗𝐄 𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋,Luxury,255.3K,,212.8K,248.9K
40,oscardelarenta,Oscar de la Renta,Fashion,7.6M,,6.2K,9.3K
41,hypebeast,HYPEBEAST,Accessories &  Jewellery,10.7M,,4.1K,6.1K
42,rayban,Ray-Ban,Accessories &  Jewellery,5.8M,,8.7K,11.3K
43,meandmr.jones,Haley Jones // Amazon Home,DIY &  Design,299.9K,,156.5K,225.3K
44,chloe,Chloé,Fashion,11.4M,,4K,5.2K
45,tommyhilfiger,Tommy Hilfiger,Clothing &  Outfits,15.2M,,3K,3.8K
46,alanslids,Alan’s Lids,Accessories &  Jewellery,390K,,95.2K,135K
47,alleyesonjordyc,𝒥𝑜𝓇𝒹𝓎  𝒞.,Accessories &  Jewellery,741.9K,,56.3K,81K
48,sellerofjewels,David’s House of Diamonds,Accessories &  Jewellery,342.6K,,109.8K,152.2K
49,primark,Primark,Clothing &  Outfits,11.1M,,3.8K,4.5K
50,traxnyc,TRAX NYC,Luxury,2.6M,,12.3K,19.5K
