Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,feinwines,Cole Feinberg,Alcohol,1.4M,,18.5K,45K
2,champagnecarbon,Champagne Carbon OFFICIAL,Alcohol,2M,,10.4K,23.4K
3,spiritedla,Hannah Chamberlain/SpiritedLA,Alcohol,227.8K,,16.6K,23.5K
4,themindfulmocktail,Mocktail Recipes | Natalie Battaglia,Alcohol,632.7K,,4.8K,6.7K
5,chilis,Chili's Grill & Bar,Alcohol,521.7K,,5K,6.7K
6,wines_brand,WINES||BRAND,Alcohol,309.2K,,8K,12.4K
7,elboribarber,Luis Andres Rivera,Alcohol,800.9K,,3.2K,5K
8,izakayayaduki,YADUKI / 居酒屋 哉月,Alcohol,779.7K,,2.5K,3.1K
9,join_jules,Julianna McIntosh,Alcohol,639.4K,,2.3K,3K
10,louisxiiicognac,LOUIS XIII,Alcohol,158.3K,,9K,13.5K
11,diycocktailguy,Jarrod Rickard,Alcohol,550.3K,,2.4K,2.9K
12,cokiesworldofwine,Cokie | Wine Vlogger,Alcohol,473.9K,,2.2K,2.7K
13,bevsbybeverly,Stephanie Wahler,Alcohol,473.8K,,2.2K,2.8K
14,aboutdrinksandbars,Cocktail Society 🍸,Alcohol,759.8K,,1.2K,1.5K
15,the_margarita_mum,Rhonda Withers,Alcohol,134.4K,,7.2K,10.5K
16,ericwareheim,Eric Wareheim,Alcohol,461.4K,,1.9K,2.7K
17,lifteddladies,Tae✨,Sweets &  Bakery,221.9K,,3.1K,5K
18,neverlandcoffeebar,Neverland Coffee Bar,Alcohol,70.4K,,10.4K,16.6K
19,ray.sbarbershop,Vincent Vonn Berillo,Beauty,306.2K,,2K,2.7K
20,servedbysammy,Sam Pence | Bartender & Mixologist,Alcohol,471.6K,,1.2K,1.5K
21,thepolobar,The Polo Bar,Alcohol,167.2K,,3.7K,5.5K
22,michelle_charlotte_bartender,Michelle Kimball,Alcohol,211.7K,,2.6K,3.3K
23,the_cocktail_bible,𝐓𝐡𝐞 𝐂𝐨𝐜𝐤𝐭𝐚𝐢𝐥 𝐁𝐢𝐛𝐥𝐞,Alcohol,662.1K,,857,1.1K
24,chewingwithchu,Ashley Chukwu • Atlanta Food & Wine Content Creator,Alcohol,14.3K,,43.9K,64.2K
25,doshombres,Dos Hombres,Alcohol,591.6K,,937,1.5K
26,licensed_to_distill,Jabin Troth,Alcohol,1.1M,,377,724
27,outback,Outback Steakhouse,Food &  Cooking,449.3K,,1.1K,1.5K
28,barrescuetv,Bar Rescue,Alcohol,338.8K,,1.5K,2.1K
29,230fifthrooftop,230 Fifth Rooftop Bar NYC,Alcohol,371.8K,,1.3K,1.9K
30,drinklinknyc,Zaire Stanislaus,Alcohol,222.4K,,2.3K,3.7K
31,miamibucketlist,Miami Bucket List,Alcohol,496.9K,,1K,1.3K
32,tablefortwo.nyc,Table For Two NYC,Alcohol,335.8K,,1.4K,2K
33,driftersjoint,Joshua | Bartending + Cocktails,Alcohol,255.5K,,1.8K,2.5K
34,wine.inspires,Árpád Szilárd Czapp,Alcohol,748.5K,,604,899
35,mezcal_mala_idea,Agave Artisans,Alcohol,176.8K,,2.7K,6.1K
36,christylynnhairartist,Christy Lynn 💈💈,Beauty,162.6K,,2.2K,4.3K
37,pabstblueribbon,Pabst Blue Ribbon,Alcohol,285.9K,,1.2K,1.8K
38,bluebayoubelize,Blue Bayou Restaurant and Bar,Alcohol,572.2K,,586,761
39,unclenearest,Uncle Nearest Premium Whiskey,Alcohol,176K,,2K,3.4K
40,winefolly,Wine Folly,Alcohol,454.7K,,719,962
41,twowolveswine,Two Wolves Wine,Alcohol,83.6K,,3.8K,4.6K
42,etbarber,"Lance ""LT"" Tatum",Alcohol,137.6K,,2.5K,4.3K
43,apetimeofficial,"Aperitivo, Cocktails, Bar, Mixology, HoReCa, Beverage, Food",Alcohol,314.8K,,933,1.2K
44,lyragreek,LÝRA,Alcohol,28.9K,,9.7K,11.8K
45,emanuelpesqueira,Emanuel Pesqueira,Alcohol,401.5K,,817,2.1K
46,sommvivant,Amanda McCrossin,Alcohol,276K,,1.1K,1.7K
47,lecheminduroi,Le Chemin du Roi,Alcohol,234.7K,,1.3K,2.2K
48,melody_mocktail,Melody_Mocktail,Alcohol,292K,,907,1K
49,whiskynomad,Sarah Jeltema | Whiskey Educator | CSS | SFWSC Judge,Alcohol,222.4K,,1.3K,1.9K
50,vegasfoodwine,Las Vegas Food & Wine Festival,Alcohol,98.2K,,3.3K,6.3K
