Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,la_beaute_africaine,African beauty,Animals,1.8M,,1.2M,1.8M
2,therealtarzann,Mike Holston,Animals,12.9M,,90.3K,140.5K
3,kodyantle,Kody Antle,Animals,5.3M,,218.6K,291.8K
4,swagrman,SWAGGY WOLFDOG ™️⭐️,Animals,3.2M,,174.1K,327.7K
5,dean.schneider,Dean Schneider,Animals,11M,,43.9K,65.6K
6,catsdaily.reels,Catsdaily Reels,Animals,482.9K,,985.1K,1.2M
7,indiarosecrawford,India Rose Crawford,Accessories &  Jewellery,3.3M,,169.7K,208.6K
8,luna_the_pantera,Luna,Lifestyle,5.3M,,98K,126.6K
9,adventuringwithnala,Chris & Nala,Animals,4.1M,,134.5K,161.6K
10,philadelphiaeagles,Philadelphia Eagles,Animals,4.5M,,113.5K,142.4K
11,tuckerbudzyn,TUCKER | The Golden Retriever,Animals,4M,,126.7K,153.4K
12,my_aussie_gal,"Mary, Secret, & Promise",Animals,2.6M,,174.4K,223.4K
13,pet_foolery,Ben Hed,Humor &  Fun &  Happiness,2.6M,,178.8K,223.6K
14,thedogist,The Dogist,Animals,7.6M,,54.9K,64K
15,weratedogs,WeRateDogs,Animals,4.4M,,84.8K,99.2K
16,catloversclub,Cat Lovers Club,Animals,8.2M,,42.7K,52.2K
17,littlemanyu_,是曼玉不是鳗鱼,Animals,2.7M,,133.1K,160.6K
18,good.boy.ollie,Good Boy Ollie 🐶,Animals,2.5M,,121K,166.2K
19,natureismetal,Nature Is Metal,Nature & landscapes,7M,,42.5K,54.5K
20,aguyandagoldenn,AGuyandAGolden,Animals,4.7M,,64.2K,80.9K
21,theoddanimalspecimens,Odd Animal Specimens,Animals,1.9M,,159.5K,192.3K
22,meowed,Meowed by 9GAG,Animals,5M,,55.4K,68.7K
23,nature,Nature,Nature & landscapes,10.7M,,24.8K,31.4K
24,robertirwinphotography,Robert Irwin,Animals,6.4M,,39.4K,50K
25,therealbroccolicat,Broccoli and Dilly,Humor &  Fun &  Happiness,122.8K,,1.8M,2.4M
26,natgeoanimals,National Geographic Animals,Nature & landscapes,14.3M,,16.8K,20K
27,discover.animal,Discover animal,Animals,4.6M,,46.2K,60.8K
28,animalsdoingthings,Animals Doing Things,Lifestyle,5.8M,,38.4K,47.3K
29,wolf_instinct,Jérémy Stella,Animals,2.2M,,97.4K,127.3K
30,kesha,Kesha,Animals,3.5M,,53.5K,75K
31,freyaaspinall,Freya Aspinall,Animals,1.5M,,120.5K,165.5K
32,henrythecoloradodog,Henry + Baloo,Animals,2.4M,,82.1K,106.1K
33,insecthaus_adi,Adrian Kozakiewicz/Insecthaus®,Animals,5.4M,,35.9K,46.7K
34,thedodo,The Dodo,Animals,12.6M,,13.9K,18.7K
35,elliegoldenlife,Golden Retriever Life,Animals,2.9M,,63.9K,80.6K
36,thegoodhypeofficial,,Animals,2.1M,,87.3K,110.3K
37,monkeycatluna,Luna,Lifestyle,2M,,96.1K,112.9K
38,thatgoodnewsgirl,jenn 💜 good news & fun stories 🥰,Animals,2.1M,,84.1K,107.3K
39,askmeknowledge,Askmeknowledge | Yashpreet Sharma,Animals,3.5M,,40.7K,53.7K
40,davidmbird,Becorns,Animals,1.6M,,83.9K,109K
41,poochofnyc,Agador 🦁,Humor &  Fun &  Happiness,658.3K,,190K,252.5K
42,doggosdoingthings,Doggos Doing Things,Animals,3.6M,,34.2K,41.7K
43,softcatmemes,cat memes,Animals,3.2M,,36.9K,41.4K
44,dog,@DOG,Animals,2.7M,,39K,48K
45,wontonthebulldog,Wonton Collection,Music,229.8K,,396.6K,540.3K
46,moca.1110,moca,Animals,264.5K,,322.7K,387.5K
47,inspiringdesignsnet,Inspiring Designs,Animals,2.4M,,40.4K,51K
48,jellycat,Jellycat,Humor &  Fun &  Happiness,1.6M,,62.9K,74.9K
49,safarisammie,Samantha Faircloth,Animals,1.7M,,53K,67.7K
50,ducks_in_space_,Tonia 👧: Mochi & Yoshi 🪿🪿+ Boo 🐶,Animals,2M,,46.1K,55.7K
