Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,art_dailydose,Daily Dose Of Art 🎨,Art/ Artists,19.2M,,74.8K,92.4K
2,arts_promote,Arts Promote 🎨,DIY &  Design,5.9M,,14.1K,17K
3,architectanddesign,Architecture & Design,Architecture &  Urban  Design,7.7M,,9.1K,11.1K
4,reevcon,Reeves Connelly,Architecture &  Urban  Design,1M,,62.8K,81.2K
5,jasonoppenheim,Jason Oppenheim,Architecture &  Urban  Design,1.6M,,23.8K,40.8K
6,insaatmuh_mimar,Recep agar,Architecture &  Urban  Design,9.1M,,5.8K,7.1K
7,botancagdavul35,Botan Çağdavul,Architecture &  Urban  Design,323K,,147K,255.1K
8,luxury_listings,Luxury Listings,Architecture &  Urban  Design,3.5M,,9.7K,12.6K
9,dailyart_unity,Art Life,Architecture &  Urban  Design,6M,,3.9K,5.9K
10,refikanadol,Refik Anadol,Art/ Artists,1M,,20.4K,30.4K
11,hergun1insaat,Her Gün 1 İnşaat Terimi,Architecture &  Urban  Design,10.7M,,1.5K,2.2K
12,artworkunity,Artworks,Architecture &  Urban  Design,4.4M,,2.8K,4.5K
13,georgios_tataridis,Georgios Tataridis | Interiors,DIY &  Design,280.3K,,53.6K,72.2K
14,architects_need,Art & Architecture,Architecture &  Urban  Design,3.1M,,4.7K,6.1K
15,theslowfactory,Slow Factory 🌍,Literature &  Journalism,885.6K,,15.6K,24.5K
16,muretti.nyc,Muretti,Architecture &  Urban  Design,26.7K,,479.9K,604.9K
17,constructionweb,Construction Web,Architecture &  Urban  Design,1.2M,,9.2K,13.7K
18,ifonly.ai,If Only | AI artist 🪄,Art/ Artists,728.3K,,15.8K,20.1K
19,m.hstudi0,M.H Studio | Mahan Hafezi,Architecture &  Urban  Design,540.7K,,19.2K,23.9K
20,ioanapioaru,Ioana Pioaru,Art/ Artists,867.6K,,11.6K,15.6K
21,archdose,Archdose,Architecture &  Urban  Design,1.7M,,6.8K,8.3K
22,archaeologyart,Archaeology & Art,Architecture &  Urban  Design,876.5K,,10.5K,13.1K
23,beaverart.engineer1,Beaverart Engineer,Architecture &  Urban  Design,6.8M,,1.5K,2K
24,cheapoldhouses,Cheap Old Houses ™,DIY &  Design,2.9M,,3.5K,4.5K
25,city_3d_,Louis Comte | City 3D,Architecture &  Urban  Design,1.3M,,8.4K,10K
26,one.interior.mag,One Interior Magazine,DIY &  Design,936.3K,,10.2K,12.4K
27,donidouglas_design,Doni Douglas Interior Design | Jaclyn Isaac,Architecture &  Urban  Design,26.6K,,403.9K,787.8K
28,brutbuilds,BRUT BUILDS,Architecture &  Urban  Design,1M,,9.5K,11.6K
29,zahahadidarchitects,Zaha Hadid Architects,Architecture &  Urban  Design,1.5M,,6.1K,7.5K
30,baroqueblockbuster,"Constantin, art history | culture | travel",Architecture &  Urban  Design,461.7K,,16.7K,22K
31,niki_tubi,N I K I T U B I ®   |   Architect,Architecture &  Urban  Design,95.8K,,79.6K,102.1K
32,unesco,UNESCO,Literature &  Journalism,3.3M,,2.5K,3.2K
33,senzacamedi,Antje-Katrin Schaniel Switzerland🇨🇭,Architecture &  Urban  Design,182K,,44.6K,66.6K
34,damileearch,Dami Lee,Architecture &  Urban  Design,558.2K,,12.9K,18.4K
35,reschio,"R E S C H I O - Estate, Hotel & Houses",Architecture &  Urban  Design,1.1M,,6.4K,8.7K
36,drcuerda,Daniel Rueda + Anna Devís,Art/ Artists,571.3K,,12.6K,18K
37,idreamhouse,Architecture | Dream Homes,Architecture &  Urban  Design,1.7M,,3.2K,5.2K
38,architecture.alb,Architecture & Design,Architecture &  Urban  Design,730.5K,,8.6K,11.4K
39,houses,,Architecture &  Urban  Design,2.9M,,1.9K,2.9K
40,vogueliving,Vogue Living,Architecture &  Urban  Design,3M,,2.2K,2.9K
41,ashleytstark,Ashley Stark Kenner,DIY &  Design,1.6M,,4.1K,5.5K
42,aiforarchitects,Ahmet Eren Keskin | Architect & Interior Designer,Architecture &  Urban  Design,785.7K,,7.9K,10.2K
43,houseandgardenuk,House & Garden Magazine,Literature &  Journalism,2M,,2.9K,4K
44,architecture.wave,Architecture Wave,Music,997.3K,,5.7K,6.9K
45,rotganzen,ROTGANZEN,Art/ Artists,103.3K,,46.9K,65.8K
46,industrieelchique,Michèle van der Horst | INDUSTRIEELCHIQUE,DIY &  Design,1.4M,,4.1K,5.1K
47,prestigehouses,Prestige Houses,Architecture &  Urban  Design,1M,,4.8K,6.1K
48,jingparisartist,JingParis Artist💎💎💎,Art/ Artists,1.2M,,2.4K,5.3K
49,tliketwinkle,Toktam NK | Jewelry & Art,Accessories &  Jewellery,77.4K,,56.2K,78.9K
50,borisipsum,Boris Ipsum,Architecture &  Urban  Design,423.2K,,8.7K,12.3K
