Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,uarmyhope,jhope,Art/ Artists,50.4M,,2.7M,3.5M
2,beingsalmankhan,Salman Khan,Cinema &  Actors/actresses,69.9M,,997K,1.1M
3,kendricklamar,Kendrick Lamar,Music,19.3M,,2.7M,3.6M
4,rashmika_mandanna,Rashmika Mandanna,Beauty,45.2M,,957.1K,1.1M
5,dlwlrma,이지금 IU,Art/ Artists,32.6M,,895K,1.1M
6,attahalilintar,Atta Halilintar (PAPATA),Art/ Artists,40.3M,,327.5K,445.8K
7,nickjonas,Nick Jonas,Music,35.3M,,226.8K,302.2K
8,bretmanrock,Bretman Rock,Art/ Artists,18.8M,,374.4K,567.3K
9,lucas_xx444,LUCAS,Art/ Artists,11.2M,,756.4K,936.7K
10,kingbach,King Bach,Music,26M,,276K,393.6K
11,juandediospantoja,Juan De Dios Pantoja,Music,23.6M,,284.2K,403K
12,norafatehi,Nora Fatehi,Cinema &  Actors/actresses,47.4M,,158.9K,188.3K
13,lildurk,The Voice,Music,15.5M,,364.1K,551.2K
14,motaz_azaiza,Motaz Azaiza مُعْتَز عَزَايْزَة ⚡️,Photography,17.2M,,233.8K,412.1K
15,riyaz.14,Riyaz Aly,Lifestyle,27.6M,,210.4K,250.3K
16,laurenlondon,Lauren London,Cinema &  Actors/actresses,10.6M,,351.3K,552.8K
17,ciara,Ciara,Music,35.5M,,96.2K,136.7K
18,alok,Alok,Music,29M,,101.5K,163.5K
19,justintimberlake,Justin Timberlake,Music,72.2M,,47.7K,65.6K
20,jesusortizpazfr,,Lifestyle,5.2M,,695.5K,903.7K
21,yugyeom,KYUM,Music,12.3M,,297K,372.4K
22,wizkhalifa,Wiz Khalifa,Music,39.5M,,67.4K,98.7K
23,troyesivan,troye sivan,Art/ Artists,15.6M,,171.4K,225.2K
24,lacikaysomers,Laci Kay Somers,Music,11.9M,,138.8K,260.4K
25,tutorialsgallery,Tutorial | Diy | Arts | Tips 💋,Art/ Artists,13.1M,,133.6K,225.2K
26,bigsean,BIGSEAN,Music,16.1M,,117.9K,178.8K
27,bellathorne,BELLA,Music,24.1M,,74K,116.8K
28,taylor_hill,Taylor Hill,Art/ Artists,24M,,83.4K,115K
29,richardorlinski,Richard ORLINSKI,Art/ Artists,9.4M,,199.8K,261.8K
30,riteishd,Riteish Deshmukh,Art/ Artists,23.6M,,87.1K,99.4K
31,chinamcclain,China,Art/ Artists,7.4M,,182K,281.5K
32,julianapaes,Juliana Paes,Art/ Artists,30.6M,,36K,63.4K
33,residente,René Pérez Joglar,Art/ Artists,8.5M,,153.8K,222.1K
34,chaelincl,CL,Art/ Artists,10.9M,,129.5K,166.5K
35,rubirose,Rubi Rose,Music,5.2M,,227.9K,351.4K
36,solangeknowles,Solange,Art/ Artists,6.9M,,164.4K,264.4K
37,_picolo,Gabriel Picolo,Art/ Artists,3.6M,,356.7K,502.6K
38,kenzie,kenzie ♡,Art/ Artists,14.5M,,81.2K,119.7K
39,manjmusik,MANJ MUSIK RDB,Music,6.8M,,148.1K,251.4K
40,avicii,Avicii,Music,7.1M,,102.4K,229.4K
41,art_dailydose,Daily Dose Of Art 🎨,Art/ Artists,19.2M,,67.4K,83.2K
42,sebastianyatra,Sebastián Yatra,Music,28.8M,,34.4K,53K
43,linkinpark,LINKIN PARK,Music,9.7M,,128.1K,155.2K
44,tessabrooks,Tessa Brooks,Music,22.3M,,40.4K,59.3K
45,kashdoll,Kash Doll,Art/ Artists,7.4M,,100.3K,168K
46,streetartglobe,StreetArtGlobe ™ 😱,Art/ Artists,16.6M,,39.9K,60.1K
47,theshaderoom,The Shade Room,Art/ Artists,29.3M,,25.5K,35K
48,mallymall,Mally Mall™,Art/ Artists,4.7M,,88.6K,203.5K
49,mohanshakti,Shakti Mohan,Art/ Artists,17.6M,,43K,53.4K
50,lianev,Liane V Benjamin 🇵🇭,Art/ Artists,4.6M,,109.7K,200K
