Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,kyliejenner,Kylie,Fashion,394.5M,,1.2M,1.7M
2,kimkardashian,Kim Kardashian,Fashion,358M,,611K,869K
3,badgalriri,badgalriri,Music,150M,,1.2M,1.8M
4,sooyaaa__,JISOO🪐,Music,79.8M,,1.6M,2M
5,katrinakaif,Katrina Kaif,Beauty,80.4M,,1.5M,1.8M
6,rashmika_mandanna,Rashmika Mandanna,Beauty,45.2M,,957.1K,1.1M
7,samantharuthprabhuoffl,Samantha,Beauty,37M,,614.4K,711.3K
8,sadiesink_,Sadie Sink,Modeling,25M,,681.4K,1M
9,aurelie.hermansyah,Aurelie Hermansyah Atta,Beauty,36.8M,,392.4K,535.7K
10,bernardokath,Kathryn Bernardo 🐘,Beauty,20.7M,,649.4K,835.9K
11,simonettalein,Simonetta Lein,Beauty,22.6M,,505.4K,747.6K
12,chiaraferragni,Chiara Ferragni ✨,Beauty,28.7M,,383.3K,537.6K
13,keerthysureshofficial,Keerthy Suresh,Beauty,18.6M,,680.6K,801.3K
14,bretmanrock,Bretman Rock,Art/ Artists,18.8M,,374.4K,567.3K
15,haniaheheofficial,Hania Aamir 哈尼亚·阿米尔,Beauty,17.5M,,449.2K,530.6K
16,jamescharles,James Charles,Beauty,20.4M,,300.6K,394.6K
17,addisonraee,Addison,Beauty,34.2M,,157.8K,221.3K
18,itsmarziapie,Marzia Kjellberg,Beauty,8.7M,,605.9K,749.1K
19,mrunalthakur,Mrunal Thakur,Beauty,13.9M,,339.6K,421.5K
20,kashikakapoor09,Kashika Kapoor,Beauty,18.7M,,140.4K,311.2K
21,natashawilona12,Natasha Wilona,Beauty,43.2M,,69.8K,96.9K
22,krisjenner,Kris Jenner,Shows,51.7M,,56.4K,79.2K
23,daniellachavezofficial,Daniella Chávez,Beauty,18.9M,,118.4K,207.2K
24,lizasoberano,Liza Soberano,Beauty,18.1M,,173K,206.5K
25,nikkietutorials,NikkieTutorials,Beauty,19.2M,,128.6K,172.7K
26,yerimua,Yeri MUA💗✨,Lifestyle,12.5M,,191.8K,248.8K
27,sunnyleone,Sunny Leone,Beauty,55.9M,,42.2K,52.9K
28,glorillapimp,Glo Da P,Beauty,6.6M,,244.3K,388.4K
29,marimaria,Mari Maria,Beauty,22.2M,,66.7K,101.5K
30,jscmila,Jessica Mila Agnesia,Beauty,25.8M,,62.8K,86.3K
31,ayezakhan.ak,Ayeza Khan,Beauty,14.5M,,125K,151.2K
32,shaymitchell,Shay Mitchell,Beauty,35.7M,,42.9K,58.3K
33,iamamyjackson,Amy Jackson Westwick,Beauty,13.7M,,105.6K,142.4K
34,hudabeauty,HUDA BEAUTY,Beauty,54.8M,,23.9K,33.2K
35,piawurtzbach,Pia Jauncey,Beauty,14.8M,,89.5K,118.6K
36,jessica.syj,Jessica Jung,Modeling,12.1M,,100.8K,129K
37,therealkylesister,KYLESISTER,Beauty,6M,,162.3K,257.1K
38,regina.daniels,Regina Daniels Nneamaka Nwoko,Beauty,15.1M,,68.1K,96.2K
39,winnieharlow,♔Winnie Harlow♔,Beauty,10.1M,,92.1K,139.4K
40,nathalieparis,NATHALIE PARIS,Lifestyle,5.6M,,119.9K,253.3K
41,chanelofficial,CHANEL,Fashion,60.1M,,18.4K,23.1K
42,phoebejtonkin,Phoebe Tonkin,Beauty,8.2M,,110.3K,153.6K
43,elnaz_golrokh,Elnaz Golrokh,Beauty,8.5M,,100.9K,126.8K
44,nicolacoughlan,Nicola Coughlan,Beauty,6.2M,,124.5K,170.6K
45,kyliecosmetics,Kylie Cosmetics,Beauty,24.7M,,25.1K,39.7K
46,lianev,Liane V Benjamin 🇵🇭,Art/ Artists,4.6M,,109.7K,200K
47,redvelvet.smtown,Red Velvet Official,Music,12M,,60.5K,75.1K
48,fact,Fact,Family,6.9M,,75K,131.9K
49,nikitadragun,Nikita Dragun,Beauty,8.1M,,68.8K,96.6K
50,mysashaofficial,ＳＡＳＨＡ G,Beauty,3.7M,,107.9K,200.7K
