Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,narendramodi,Narendra Modi,Finance &  Economics,92.4M,,1.3M,1.5M
2,barackobama,Barack Obama,Finance &  Economics,36.5M,,432.8K,552.2K
3,phs1116,박형식 / PARKHYUNGSIK,Business &  Careers,12.9M,,1M,1.2M
4,kamalaharris,Kamala Harris,Finance &  Economics,19.7M,,400.8K,526.5K
5,michelleobama,Michelle Obama,Finance &  Economics,56.9M,,117.5K,153.8K
6,amitshahofficial,Amit Shah,Finance &  Economics,19.3M,,176K,225.4K
7,zuck,Mark Zuckerberg,Business &  Careers,15.5M,,215.7K,286.3K
8,adamweitsman,Adam Weitsman,Business &  Careers,17.4M,,86.7K,153.6K
9,queenrania,Queen Rania Al Abdullah,Family,10.5M,,156.4K,254.2K
10,jairmessiasbolsonaro,Jair M. Bolsonaro,Finance &  Economics,26.4M,,70.1K,94.1K
11,timeinvestors,Business | Mindset & Healthy Lifestyle,Business &  Careers,3.5M,,521.4K,664K
12,zoesugg,Zoë Sugg,Lifestyle,9.2M,,136.1K,218.8K
13,alfateenalbaddad,د. الفطين بن حسين البداد ALFATEEN  BIN HUSSEIN ALBADDAD,Business &  Careers,18.8M,,55.1K,100.6K
14,ahmadchhadeh_,Ahmad Chhadeh,Music,12M,,78.3K,151.4K
15,ivankatrump,Ivanka Trump,Business &  Careers,8.3M,,159.4K,225.1K
16,words_worth_billions,Motivation • Business • News,Business &  Careers,7M,,170.1K,253.2K
17,nayibbukele,Nayib Bukele,Family,9.7M,,133K,175.5K
18,timatiofficial,13,Music,20.2M,,64.1K,77.7K
19,donaldjtrumpjr,Donald Trump Jr.,Finance &  Economics,8.9M,,83.5K,111.3K
20,entrepreneur.dose,Entrepreneurship | Business | Motivation,Business &  Careers,811.5K,,791.5K,1M
21,zarithebosslady,Zarithebosslady,Business &  Careers,12.4M,,48.5K,69.3K
22,theschoolofhardknockz,The School Of Hard Knocks,Crypto,4.7M,,125.1K,162.1K
23,berniesanders,Bernie Sanders,Finance &  Economics,6.8M,,77.2K,101K
24,the.successpreneur,The Success Preneur | Naveen Prasad,Modeling,344.1K,,1.3M,1.6M
25,hillaryclinton,Hillary Clinton,Finance &  Economics,6.4M,,68.6K,90.2K
26,limitless,Jas Mathur,Business &  Careers,11.5M,,21.6K,45.8K
27,pablomarcal1,Pablo Marçal,Lifestyle,12.8M,,29.2K,42.1K
28,seanmikekelly,Sean Kelly | Digital Social Hour,Business &  Careers,11.6M,,30.8K,45.2K
29,joeyswoll,Joey Swoll,Fitness &  Gym,4.9M,,71.2K,107.4K
30,djjaylew,Justin Michael Lewis,Music,5.7M,,38.6K,78.7K
31,thebusinessmagnets,Business | Technology | AI,Business &  Careers,2.4M,,119.8K,154.2K
32,savetoinvest,Money | Business | Inspiration | AI,Crypto,1.3M,,209.8K,269.9K
33,jefferson_fisher,Jefferson Fisher,Humor &  Fun &  Happiness,5.8M,,48.7K,61.8K
34,successaddictives,Success Addictives,Business &  Careers,3.4M,,79.6K,101.6K
35,sophiabush,Sophia Bush,Business &  Careers,4.7M,,50.6K,69K
36,garyvee,Gary Vay-Ner-Chuk,Lifestyle,10.5M,,22K,29.4K
37,evagarzon_,Eva Garzón,Business &  Careers,2.9M,,41.2K,105.6K
38,billionaire_word,Business | Motivation | Success,Shows,742.7K,,277.1K,340.3K
39,ximenaduque,Ximena Duque-Adkins,Family,5.3M,,36.2K,55.3K
40,dcsingh_,Didar singh chalana,Fashion,5.8M,,24.2K,49.7K
41,caseyneistat,Casey Neistat,Art/ Artists,2.9M,,56.9K,95.8K
42,zelenskyy_official,Володимир Зеленський,Cinema &  Actors/actresses,15.5M,,14.5K,18.2K
43,steven,Steven Bartlett,Business &  Careers,4.1M,,50.1K,67.8K
44,onlinebusinessinc,Online Business Inc,Lifestyle,192.3K,,977.2K,1.4M
45,incomehacks.in,Business | Motivation | Growth,Literature &  Journalism,616K,,292K,480.2K
46,kenyattamckinnon,KENYATTA MCKINNON,Family,283.6K,,571.4K,1.1M
47,adamgrant,Adam Grant,Literature &  Journalism,2.7M,,62.9K,77.8K
48,jdvance,JD Vance,Finance &  Economics,1.5M,,109.5K,137.3K
49,entrepreneursquote,Business & Entrepreneur,Business &  Careers,1.6M,,98K,126K
50,stefanravram,Stefan R. Avram | Digital Strategy Leader | Avramify CEO,Lifestyle,2.1M,,48.4K,95.3K
