Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,412donklife,Rashad Harper,Cars &  Motorbikes,2.1M,,3.2M,4.9M
2,lamborghini,Lamborghini,Luxury,36.9M,,202.2K,246.1K
3,lando,Lando Norris,Racing  Sports,9.4M,,484K,583.3K
4,ferrari,Ferrari,Luxury,31.2M,,114.3K,143K
5,bugatti,BUGATTI,Cars &  Motorbikes,24.3M,,134.8K,166.5K
6,scuderiaferrari,Scuderia Ferrari HP,Racing  Sports,17.5M,,177.6K,219.1K
7,porsche,Porsche,Cars &  Motorbikes,32.4M,,94.6K,113K
8,bmw,BMW,Cars &  Motorbikes,40.6M,,62.3K,73.3K
9,rockstargames,Rockstar Games,Cars &  Motorbikes,29.1M,,41.9K,63.9K
10,lemansheroes,Benoit Fraylon,Cars &  Motorbikes,5.9M,,226.9K,307.3K
11,whistlindiesel,WHISTLINDIESEL,Cars &  Motorbikes,5M,,251.2K,329.1K
12,koenigsegg,KOENIGSEGG,Cars &  Motorbikes,7.5M,,169.8K,210.9K
13,mercedesbenz,Mercedes-Benz,Cars &  Motorbikes,39.2M,,30.8K,37.6K
14,mclaren,McLaren,Racing  Sports,14.4M,,76.3K,91.9K
15,redbullracing,Oracle Red Bull Racing,Racing  Sports,12.8M,,79.5K,98.8K
16,jeremyclarkson1,Jeremy Clarkson,Literature &  Journalism,8.9M,,115.2K,136.5K
17,mercedesamgf1,Mercedes-AMG PETRONAS F1 Team,Racing  Sports,14.1M,,49.3K,59.2K
18,menwithclass,menwithclass,Clothing &  Outfits,5.3M,,132.9K,157.7K
19,supercarblondie,Supercar Blondie,Cars &  Motorbikes,17.4M,,34.5K,47.5K
20,teslamotors,Tesla,Cars &  Motorbikes,9.7M,,61.4K,80.5K
21,maserati,Maserati,Luxury,14.7M,,36.1K,45.4K
22,fernandoalo_oficial,Fernando Alonso,Racing  Sports,7.3M,,70.6K,86.9K
23,hypewhip,HYPEWHIP,Cars &  Motorbikes,5.8M,,78.8K,102K
24,alex.choi,Alex Choi,Cars &  Motorbikes,1.4M,,275.8K,387.5K
25,mclarenauto,McLaren Automotive,Cars &  Motorbikes,10.6M,,41.1K,49.4K
26,mercedesamg,Mercedes-AMG,Cars &  Motorbikes,17.8M,,25K,29.6K
27,rollsroycecars,Rolls-Royce Motor Cars,Cars &  Motorbikes,10.8M,,39.7K,48.6K
28,queenofsupercars,Kasia Reviews Dubai,Lifestyle,3.3M,,62.2K,135.9K
29,motogp,MotoGP™,Racing  Sports,16.7M,,21.8K,26.2K
30,astonmartin,Aston Martin,Cars &  Motorbikes,12.1M,,27.3K,33.9K
31,bentleymotors,Bentley Motors,Cars &  Motorbikes,11M,,27.3K,34.4K
32,sarahlezito,Sarah Lezito,Racing  Sports,9.2M,,32.7K,41K
33,bmwm,BMW M GmbH,Cars &  Motorbikes,10.7M,,25.5K,30.4K
34,noah__nono,Noah Bowman,Cinema &  Actors/actresses,2.6M,,82.7K,114.5K
35,audiusa,Audi USA,Cars &  Motorbikes,17.1M,,14.3K,17K
36,thestradman,Stradman,Cars &  Motorbikes,1.6M,,138.4K,175.1K
37,caiocastro,Caio Castro,Cars &  Motorbikes,20.1M,,7.5K,12.2K
38,dodgeofficial,Dodge,Cars &  Motorbikes,7.9M,,22.8K,28.7K
39,olliebearman,Ollie Bearman,Racing  Sports,2.4M,,65.7K,86K
40,nicorosberg,NICO ROSBERG,Racing  Sports,2.1M,,72.3K,91.4K
41,rocarstv,RoCars,Cars &  Motorbikes,997.4K,,124.6K,158.5K
42,mr.benz,,Cars &  Motorbikes,2.9M,,49.6K,60.5K
43,ducati,Ducati Motor Holding,Racing  Sports,6.2M,,22.7K,27.4K
44,_h2r_lovers,H2R Lovers 🇵🇸,Racing  Sports,270.6K,,421.5K,496.5K
45,brabus,BRABUS,Cars &  Motorbikes,3.7M,,35.4K,43.1K
46,topgear,Top Gear,Cars &  Motorbikes,6.3M,,20.6K,24.5K
47,corvette,Corvette,Cars &  Motorbikes,4.1M,,29.1K,35.9K
48,uncleronnie69,Ronnie Mac 69,Racing  Sports,1.1M,,98.6K,123.7K
49,ms.emelia,Emelia Hartford,Cars &  Motorbikes,2.2M,,46.4K,64.9K
50,jeep,Jeep,Cars &  Motorbikes,8.5M,,13.3K,16.1K
