Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,aliaabhatt,Alia Bhatt 💛,Cinema &  Actors/actresses,86.2M,,1.8M,2.1M
2,oliviarodrigo,Olivia Rodrigo,Music,38.6M,,2.4M,3.1M
3,therock,Dwayne Johnson,Cinema &  Actors/actresses,394.8M,,232.2K,293.5K
4,kingbach,King Bach,Music,26M,,2.5M,3.6M
5,jennaortega,Jenna Ortega,Cinema &  Actors/actresses,37.6M,,1.5M,2.5M
6,jlo,Jennifer Lopez,Music,249.3M,,248K,357.9K
7,priyankachopra,Priyanka,Cinema &  Actors/actresses,92.6M,,751.3K,921.3K
8,beingsalmankhan,Salman Khan,Cinema &  Actors/actresses,69.9M,,997K,1.1M
9,dovecameron,DOVE,Cinema &  Actors/actresses,47.2M,,1.1M,1.6M
10,milliebobbybrown,Millie Bobby Brown,Cinema &  Actors/actresses,63.3M,,874.7K,1.1M
11,tomholland2013,Tom Holland,Cinema &  Actors/actresses,64.4M,,819.9K,1.1M
12,ladygaga,Lady Gaga,Music,58.5M,,697.8K,951.7K
13,sydney_sweeney,Sydney Sweeney,Lifestyle,23.6M,,1.6M,2.1M
14,rashmika_mandanna,Rashmika Mandanna,Beauty,45.2M,,957.1K,1.1M
15,iamsrk,Shah Rukh Khan,Cinema &  Actors/actresses,47.8M,,831.2K,964.2K
16,shraddhakapoor,Shraddha ✶,Cinema &  Actors/actresses,94.2M,,428.4K,488.4K
17,henrycavill,Henry Cavill,Cinema &  Actors/actresses,27.8M,,1.3M,1.7M
18,jenniferaniston,Jennifer Aniston,Cinema &  Actors/actresses,44.6M,,732.4K,949K
19,vindiesel,Vin Diesel,Cinema &  Actors/actresses,103.2M,,321.9K,409.7K
20,jasonstatham,Jason Statham,Cinema &  Actors/actresses,42.7M,,800.4K,986.5K
21,alluarjunonline,Allu Arjun,Cinema &  Actors/actresses,28.5M,,1.2M,1.3M
22,gal_gadot,Gal Gadot,Cinema &  Actors/actresses,108.5M,,241.2K,326.7K
23,zacefron,Zac Efron,Cinema &  Actors/actresses,60.8M,,423.5K,572.1K
24,kiaraaliaadvani,KIARA,Cinema &  Actors/actresses,35.6M,,773.9K,921.7K
25,kevinhart4real,Kevin Hart,Cinema &  Actors/actresses,177.6M,,130.1K,178.2K
26,tchalamet,Timothée Chalamet,Cinema &  Actors/actresses,19.7M,,1.2M,1.5M
27,alwaysramcharan,Ram Charan,Cinema &  Actors/actresses,26M,,935.6K,1.1M
28,nina,Nina Dobrev,Cinema &  Actors/actresses,26.4M,,820.4K,1M
29,akshaykumar,Akshay Kumar,Cinema &  Actors/actresses,67.3M,,329.6K,400.6K
30,bhuvan.bam22,Bhuvan Bam,Cinema &  Actors/actresses,20.6M,,1.2M,1.3M
31,eminem,Marshall Mathers,Cinema &  Actors/actresses,45.5M,,457.7K,581.2K
32,samantharuthprabhuoffl,Samantha,Beauty,37M,,614.4K,711.3K
33,vickykaushal09,Vicky Kaushal,Lifestyle,20.3M,,1.1M,1.3M
34,deepikapadukone,दीपिका पादुकोण,Cinema &  Actors/actresses,80.4M,,269.9K,315.8K
35,emilia_clarke,,Cinema &  Actors/actresses,28.1M,,696.9K,896.2K
36,madelame,Madelaine Petsch,Cinema &  Actors/actresses,23.6M,,741.7K,980.3K
37,anushkasharma,AnushkaSharma1588,Cinema &  Actors/actresses,68.8M,,288.9K,333.5K
38,chrishemsworth,Chris Hemsworth,Cinema &  Actors/actresses,58.6M,,309.9K,389.2K
39,varundvn,VarunDhawan,Cinema &  Actors/actresses,46.7M,,368.7K,446.7K
40,lilireinhart,Lili Reinhart,Cinema &  Actors/actresses,24.8M,,566.4K,744.8K
41,hegdepooja,Pooja Hegde,Cinema &  Actors/actresses,27.6M,,556.3K,652.3K
42,bernardokath,Kathryn Bernardo 🐘,Beauty,20.7M,,649.4K,835.9K
43,hrithikroshan,Hrithik Roshan,Cinema &  Actors/actresses,47.7M,,307.2K,356.7K
44,simonettalein,Simonetta Lein,Beauty,22.6M,,505.4K,747.6K
45,ashishchanchlani,Ashish Chanchlani,Cinema &  Actors/actresses,17.4M,,869.2K,950K
46,lilyjcollins,Lily Collins,Cinema &  Actors/actresses,29.1M,,420.7K,564.7K
47,m_kayoung,MUN KA YOUNG,Cinema &  Actors/actresses,13.5M,,973K,1.2M
48,sonu_sood,Sonu Sood,Cinema &  Actors/actresses,27.7M,,489.8K,559.8K
49,jannatzubair29,Jannat Zubair Rahmani,Cinema &  Actors/actresses,49.7M,,270.5K,311.7K
50,kartikaaryan,KARTIK AARYAN,Cinema &  Actors/actresses,44.1M,,308.7K,343K
