Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,luisitocomunica,Luisillo El Pillo,Humor &  Fun &  Happiness,33.7M,,515.3K,751.7K
2,kimberly.loaiza,KIM LOAIZA 🇲🇽,Clothing &  Outfits,38M,,448K,640.2K
3,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,Clothing &  Outfits,20.4M,,817.9K,958.1K
4,nike,Nike,Fitness &  Gym,302.2M,,45.7K,60.4K
5,ranveersingh,Ranveer Singh,Cinema &  Actors/actresses,47.6M,,184.1K,221.7K
6,graciebon,GRACIE BON,Clothing &  Outfits,10M,,187.3K,303.5K
7,nikefootball,Nike Football,Sports with a ball,46.4M,,47.6K,58.4K
8,jscmila,Jessica Mila Agnesia,Beauty,25.8M,,62.8K,86.3K
9,_carmenelena,carmen,Modeling,5.2M,,208.6K,362.1K
10,louisvuitton,Louis Vuitton,Fashion,55.9M,,23.2K,29.3K
11,jaydacheaves,JAYDA WAYDA,Clothing &  Outfits,8.9M,,110.7K,174.3K
12,therealkylesister,KYLESISTER,Beauty,6M,,162.3K,257.1K
13,chanelofficial,CHANEL,Fashion,60.1M,,18.4K,23.1K
14,adidas,adidas,Clothing &  Outfits,29.3M,,32K,40.4K
15,victoriassecret,Victoria's Secret,Clothing &  Outfits,78.9M,,10.4K,14.7K
16,melimtx,Melissa M,Clothing &  Outfits,3.4M,,238.6K,312.5K
17,adidasoriginals,adidas Originals,Clothing &  Outfits,34.4M,,22.5K,28K
18,gucci,GUCCI,Accessories &  Jewellery,52.3M,,14.1K,17.7K
19,puma,PUMA,Clothing &  Outfits,13M,,53.9K,70.6K
20,zara,ZARA,Clothing &  Outfits,62.2M,,11.6K,14.7K
21,zaskiasungkar15,Zaskia Sungkar,Lifestyle,31.2M,,20.2K,28.4K
22,menwithclass,menwithclass,Clothing &  Outfits,5.3M,,132.9K,157.7K
23,alix_earle,Alix Earle,Fashion,4M,,146.2K,199.6K
24,nikebasketball,Nike Basketball,Clothing &  Outfits,16.2M,,35.1K,44.6K
25,georginamazzeo,Georgina Mazzeo,Clothing &  Outfits,5.7M,,65.7K,121.9K
26,popstantot,Pauline,Modeling,4.7M,,90.5K,134.3K
27,dior,Dior Official,Fashion,46.9M,,10.8K,13.3K
28,modasondurum,MODA SON DURUM,Clothing &  Outfits,1.1M,,412.7K,563.8K
29,jacquemus,JACQUEMUS,Accessories &  Jewellery,6.7M,,66.2K,89.2K
30,versace,Versace,Accessories &  Jewellery,30M,,14.4K,18.7K
31,_missbo,Bo Abrlic,Clothing &  Outfits,3.1M,,85.9K,145K
32,beckyhudson_official,Becky Hudson,Clothing &  Outfits,3M,,85.2K,140.8K
33,prada,Prada,Clothing &  Outfits,34M,,7.9K,10K
34,moreloganpaul,Logan Paul 2,Lifestyle,4.2M,,49.1K,82.8K
35,lmonies,Lindi  Nunziato,Clothing &  Outfits,3.5M,,54.1K,97K
36,dolcegabbana,Dolce&Gabbana,Accessories &  Jewellery,30.9M,,7.5K,10K
37,hm,H&M,Clothing &  Outfits,38.5M,,5.9K,7.4K
38,cr7cristianoronaldo,CR7,Clothing &  Outfits,10.8M,,19.5K,26.2K
39,hermes,Hermès,Accessories &  Jewellery,14.9M,,14.2K,18K
40,newbalance,New Balance,Shopping &  Retail,8.2M,,23.9K,32.3K
41,zuhairmuradofficial,ZUHAIR MURAD,Fashion,7M,,28.5K,37.4K
42,heradresses,HERA DRESSES,Clothing &  Outfits,1.3M,,146.1K,200.3K
43,boostsfeed,BOOSTSFEED,Clothing &  Outfits,1.3M,,146.2K,203.6K
44,moleculesanimations,Molecules Animation Studio,Fashion,218.8K,,788.8K,1.1M
45,ysl,SAINT LAURENT,Fashion,13.2M,,14.5K,18.4K
46,balmain,Balmain,Fashion,12.3M,,14.2K,19.6K
47,sheinofficial,SHEIN.COM,Clothing &  Outfits,34.5M,,5K,6.6K
48,thrashermag,THRASHER MAGAZINE,Clothing &  Outfits,6.6M,,22.3K,32.2K
49,stussy,Stüssy,Clothing &  Outfits,6.1M,,25.9K,33.1K
50,bershka,BERSHKA,Clothing &  Outfits,10.9M,,14.3K,17.7K
