Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,marvel,Marvel Entertainment,Cinema &  Actors/actresses,65.1M,,160.7K,203.1K
2,marvelstudios,Marvel Studios,Cinema &  Actors/actresses,37.2M,,133.1K,168.6K
3,_picolo,Gabriel Picolo,Art/ Artists,3.6M,,356.7K,502.6K
4,madelacami,🍉camilaine,Racing  Sports,859.3K,,1.4M,1.6M
5,sarahandersencomics,Sarah Andersen,Comics & sketches,4.4M,,101.3K,117.8K
6,jude_devir,YEHUDA DeVIR OFFICIAL,Comics & sketches,5.1M,,76.8K,97.5K
7,jujutsukaisen,JUJUTSU KAISEN EN,Comics & sketches,2.9M,,119.8K,141.6K
8,therealstanlee,Stan Lee,Art/ Artists,12.2M,,18.3K,25K
9,coolman,coolman coffeedan,Comics & sketches,2.9M,,83.2K,105.5K
10,amcthewalkingdead,The Walking Dead,Comics & sketches,7.4M,,30.5K,39.9K
11,dcofficial,DC,Comics & sketches,13.4M,,16.6K,21.1K
12,aleksey__n,Ⲁⳑⲉⲕ⳽ⲉⲩ,Art/ Artists,1.4M,,121.1K,201.6K
13,samdoesarts,Sam Yang,Art/ Artists,2.3M,,99.1K,113.6K
14,annalaura_art,Anna-Laura Sullivan,Humor &  Fun &  Happiness,1.1M,,153.8K,190.8K
15,disneyanimation,Walt Disney Animation Studios,Cinema &  Actors/actresses,5.5M,,26.6K,34.3K
16,sketch_dailydose,Daily Dose Of Sketch ✏️,Comics & sketches,6.4M,,25.2K,29.8K
17,universalpictures,Universal Pictures,Cinema &  Actors/actresses,4.9M,,29K,37.9K
18,arts_terra,Arts Terra,DIY &  Design,4.9M,,29.7K,36.3K
19,shencomix,Shen Comix,Comics & sketches,1.8M,,73.1K,93.2K
20,cassandracalin,Cassandra Calin,Comics & sketches,2.6M,,49.4K,61.6K
21,simonscatofficial,Simon's Cat,Art/ Artists,5.6M,,22.1K,25.6K
22,leedoesillustrations,Lee,Humor &  Fun &  Happiness,694.2K,,139.5K,167.7K
23,devonrodriguezart,Devon Rodriguez,Comics & sketches,9.5M,,8.9K,12.2K
24,thetomatoogang,Tomato,Music,169.1K,,426.3K,611.8K
25,safely_endangered,Safely Endangered Comics,Humor &  Fun &  Happiness,1.6M,,53.4K,65.2K
26,calligraphy_fb,Desirable calligraphy,Literature &  Journalism,331K,,214.5K,367.9K
27,kennysgifs,KennysGifs,Comics & sketches,1.7M,,49.7K,59K
28,abi.toads,Abi - Mushling Mama,Comics & sketches,1.3M,,62.9K,75.5K
29,theanimemen,TheAnimeMen,Comics & sketches,1.5M,,54.2K,65.4K
30,batman,Batman,Cinema &  Actors/actresses,1.8M,,42.1K,53.9K
31,art_viral,Art Viral 🎨,Comics & sketches,5.2M,,13K,15.8K
32,smashingpencils,Joshua Javaherian,Comics & sketches,2.8M,,23.5K,29K
33,irine_meier,Irina Meier,Comics & sketches,1.2M,,47.1K,66.7K
34,akkurara,ramsha,Comics & sketches,124.3K,,423.4K,475.5K
35,kevinbparry,Kevin Parry,Comics & sketches,1.8M,,27.5K,43.9K
36,jenny_jinya,𝕁𝕖𝕟𝕟𝕪-𝕁𝕚𝕟𝕪𝕒,Comics & sketches,756.2K,,69.2K,91.2K
37,ackerbangbang,Acker,Humor &  Fun &  Happiness,460.9K,,109.4K,143.3K
38,ghibli.style,,Comics & sketches,1.5M,,38.9K,48.2K
39,goofygodscomics,Goofy Gods Comics,Humor &  Fun &  Happiness,494.7K,,93.7K,113.5K
40,marko.raassina,Marko Raassina,Comics & sketches,574.3K,,78K,95.5K
41,frostbite.studios,✧ Frost | USA | 22 ✧,Art/ Artists,489.2K,,91.8K,111.3K
42,botancagdavul35,Botan Çağdavul,Architecture &  Urban  Design,323K,,147K,255.1K
43,feefal,feef,Comics & sketches,1.2M,,41.2K,51.3K
44,jamesllewis,James Lewis,Art/ Artists,1.6M,,27.8K,37.3K
45,empty.japan,Anna - Exploring Japan's Secrets,Lifestyle,1.3M,,34.1K,41.5K
46,silviemahdal_art,Silvie Mahdal,Literature &  Journalism,2.7M,,15.9K,20.1K
47,lotusbubble,Lydia Elaine ✨,Comics & sketches,818.9K,,43.7K,49.8K
48,dcgramm,DCGRAMM,Humor &  Fun &  Happiness,638.4K,,54.3K,97.8K
49,briman2000,Briman2000,Comics & sketches,491.9K,,63.1K,79.6K
50,mrlovenstein,J. L. Westover,Humor &  Fun &  Happiness,948.8K,,32.7K,37.2K
