Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers &  Gadgets,22.2M,,1.4M,1.6M
2,pewdiepie,PewDiePie,Computers &  Gadgets,20.7M,,1.2M,1.5M
3,fortnite,Fortnite,Gaming,27M,,58K,71.2K
4,apple,apple,Computers &  Gadgets,34M,,44.6K,54.1K
5,minecraft,Minecraft,Computers &  Gadgets,10.3M,,137.7K,160K
6,pokimanelol,pokimane,Lifestyle,5.9M,,210.6K,279.8K
7,techineer,Techineer 🛠,Computers &  Gadgets,2M,,555.6K,728.2K
8,fazeclan,FaZe Clan,Computers &  Gadgets,10.9M,,83.4K,107.1K
9,playstation,PlayStation,Gaming,31.2M,,24.3K,28.8K
10,wasted,WASTED,Computers &  Gadgets,15.2M,,22.2K,26.4K
11,callofduty,Call of Duty,Computers &  Gadgets,12.4M,,25K,30.1K
12,mkbhd,Marques Brownlee,Mobile related,5M,,58.4K,70.5K
13,ninja,Tyler “Ninja” Blevins,Computers &  Gadgets,12.4M,,15K,23.7K
14,xbox,Xbox,Computers &  Gadgets,13.3M,,14.6K,18.7K
15,leagueoflegends,League of Legends,Computers &  Gadgets,4.7M,,44.4K,51.9K
16,pokemon,Pokémon,Computers &  Gadgets,5.3M,,25.3K,30.9K
17,learnwithsherlock,Sherlock Learn,Computers &  Gadgets,923.9K,,97.7K,115.9K
18,clashofclans,Clash of Clans,Computers &  Gadgets,6.2M,,17K,20.1K
19,faithordway,Faith Ordway,Computers &  Gadgets,1.8M,,50.4K,70.5K
20,roblox,Roblox,Computers &  Gadgets,6.7M,,13.7K,17.1K
21,nintendoamerica,Nintendo of America,Computers &  Gadgets,7.8M,,11.7K,13.9K
22,gamingbible,GAMINGbible,Computers &  Gadgets,1.9M,,48.4K,57.5K
23,ubisoft,Ubisoft,Computers &  Gadgets,8M,,10.5K,13.6K
24,amiremdadii,امیرحسین امدادی,Computers &  Gadgets,1.2M,,59.9K,86.7K
25,facebook,Facebook,Computers &  Gadgets,5.8M,,13.9K,17.8K
26,nickmercs,Nickmercs,Gaming,2.5M,,30.2K,39.9K
27,google,Google,Computers &  Gadgets,15.3M,,5.2K,6.7K
28,thesims,The Sims,Computers &  Gadgets,2.2M,,34.2K,42.5K
29,techineered,Techineered 🛠,Computers &  Gadgets,109K,,532K,870.3K
30,stefankunz,Stefan Kunz,Computers &  Gadgets,919.7K,,64.9K,82.5K
31,markrober,Mark Rober,Shows,2.4M,,25.1K,29.2K
32,mobilelegendsgame,Mobile Legends: Bang Bang,Computers &  Gadgets,11.2M,,4.9K,5.6K
33,riotgames,Riot Games,Gaming,1.4M,,40K,46.3K
34,sonyelectronics,Sony Electronics,Computers &  Gadgets,8.2M,,5.4K,7.1K
35,_engineering_community,Engineering Community 🌏,Computers &  Gadgets,327.9K,,115.5K,146.5K
36,timthetatman,timthetatman,Gaming,3.5M,,12K,16.1K
37,forrtnite,Fortnite News,Computers &  Gadgets,1.9M,,21.7K,27.9K
38,djiglobal,DJI,Machinery &  Technologies,4.9M,,8.4K,10.7K
39,technology,Technology,Computers &  Gadgets,4.7M,,7K,10.9K
40,razer,RΛZΞR,Gaming,7.4M,,4.6K,6.6K
41,eldenring,ELDEN RING,Computers &  Gadgets,621.6K,,48.3K,58.3K
42,playoverwatch,Overwatch,Computers &  Gadgets,1.9M,,18.8K,23.1K
43,thegadgetside,Gadget Side | Tech | Review,Computers &  Gadgets,152.8K,,195.4K,343.6K
44,setupspawn,Matty McTech,Computers &  Gadgets,2.9M,,11.2K,14.7K
45,sypherpk,Ali “SypherPK” Hassan,Gaming,2.9M,,10.8K,13.2K
46,la___aura,𝐋𝐀𝐔𝐑𝐀 𝐇. 𝐑𝐔𝐁𝐈𝐍,Art/ Artists,1M,,29.8K,37.3K
47,evolving.ai,Evolving AI,Computers &  Gadgets,2.3M,,13.6K,16.7K
48,supercell,Supercell,Computers &  Gadgets,2.4M,,13.6K,15.5K
49,naughty_dog_inc,Naughty Dog,Computers &  Gadgets,1.4M,,21.2K,26K
50,unnecessaryinventions,Unnecessary Inventions,Computers &  Gadgets,1.9M,,14.3K,18.7K
