Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,theschoolofhardknockz,The School Of Hard Knocks,Crypto,4.7M,,125.1K,162.1K
2,itsvegasdave,Vegas Dave 🏈⚾️🏀🏒,Crypto,9.6M,,22.7K,43.4K
3,createimprovement,Motivation | Business,Crypto,317.1K,,855.8K,1.4M
4,thebusinessmagnets,Business | Technology | AI,Business &  Careers,2.4M,,119.8K,154.2K
5,savetoinvest,Money | Business | Inspiration | AI,Crypto,1.3M,,209.8K,269.9K
6,billionaire_word,Business | Motivation | Success,Shows,742.7K,,277.1K,340.3K
7,abigailspenserhu,Abigail Spenser Hu,Art/ Artists,4.7M,,26.7K,61.8K
8,mpr_riche_rich,ERROL MPR RICHE RICH SCOTT,Music,5.5M,,24.1K,50.2K
9,stackpack,Big Pack,Music,2.2M,,40.6K,91.1K
10,erikankullberg,Erika Kullberg,Finance &  Economics,5.5M,,26.9K,34.7K
11,perfectsayings,,Lifestyle,6.2M,,21.4K,28.9K
12,eloyriverax,𝕰𝖑𝖔𝖞 𝕽𝖎𝖛𝖊𝖗𝖆 💀,Crypto,1.9M,,44.6K,90.2K
13,mylatkachenko,Liudmyla Tkachenko,Lifestyle,2M,,27.4K,62.8K
14,tareknaemo,Tarek Naemo,Music,2.3M,,21.3K,42.7K
15,ashcrypto4real,Ash Chang | Ashcrypto,Crypto,995.4K,,68.6K,93.7K
16,herbertrsim,Herbert R. Sim,Crypto,2.5M,,14.5K,31.2K
17,your.richbff,Vivian Tu | Your Rich BFF,Finance &  Economics,3.4M,,14.4K,20.1K
18,earnyourleisure,Earn Your Leisure,Shows,1.6M,,29.9K,41.1K
19,real_nbamemes,NBA MEMES ✪,Sports with a ball,453K,,85K,140K
20,diariesofsuccess,Business | Motivation | Technology,Business &  Careers,2M,,13.7K,25.5K
21,nationofthefearless,𝗡𝗔𝗧𝗜𝗢𝗡 𝗢𝗙 𝗧𝗛𝗘 𝗙𝗘𝗔𝗥𝗟𝗘𝗦𝗦🦁,Business &  Careers,320.4K,,107.7K,176.9K
22,matthewthayer,Matthew Thayer,Crypto,1M,,26.7K,45.6K
23,jamesleehardmanjr,James Lee Hardman,Crypto,2.1M,,9.2K,19.9K
24,patspicks,Patrick J Mancini,Crypto,1M,,23.1K,37.8K
25,davidszauder,David Szauder,Art/ Artists,812.9K,,30.6K,40.3K
26,businessgrowthmentor,Business Growth Mentor ™,Crypto,2.7M,,9.2K,12K
27,soldbymarkz,Mark Zawaideh,Crypto,397.6K,,53.3K,96.3K
28,nowthisimpact,NowThis Impact,Shows,1.5M,,14.2K,17.5K
29,darcydonavan,Darcy Donavan,Lifestyle,2.2M,,4.2K,10.5K
30,euniwong,Eunicorn 🧿🦄,Travel,744.3K,,23.6K,37.3K
31,financialtimes,Financial Times,Finance &  Economics,3.8M,,4.9K,5.9K
32,businessbulls.in,Business Bulls,Business &  Careers,967.2K,,15.5K,20.1K
33,kxngjess,Jesse Frimpone,Finance &  Economics,531.5K,,28.7K,41.1K
34,toddault,Milton Todd Ault III,Crypto,1.7M,,5.2K,12.2K
35,tim.naki,Tim Myers,Crypto,1.2M,,13.1K,16.4K
36,ai.technews,AI & CHATGPT | TOOLS | TECHNOLOGY,Crypto,121.1K,,109.3K,146.9K
37,philippplein,Philipp Plein,Crypto,3.2M,,4.1K,5.7K
38,millionaire_mentor,Millionaire Mentor,Shows,10.3M,,1.3K,1.7K
39,incomefact,Business | Entrepreneurship | AI,Business &  Careers,2.6M,,5.3K,6.4K
40,pioladitingancia,Pio,Lifestyle,4M,,2.9K,4.1K
41,paypal,PayPal,Crypto,674.2K,,17.3K,23.4K
42,cryptofres,CryptoFres,Humor &  Fun &  Happiness,181.3K,,47.6K,58.8K
43,calltoleap,Steve Chen,Crypto,2M,,5.4K,7K
44,dark___humor_,DARK HUMOR,Crypto,739.5K,,12.6K,20.8K
45,rayito,Rayito⚡️,Shows,6.5M,,932,1.8K
46,pickuplines400,pl400,Lifestyle,454.4K,,17K,20.4K
47,ud40,Udonis Haslem,Family,717.1K,,11K,19.9K
48,morningbrew,Morning Brew,Shows,1.9M,,4.5K,5.8K
49,fredrickveronica_l,fredrick veronica,Crypto,1M,,6K,10K
50,metav3rse,Metav3rse is for the Culture,Crypto,1.3M,,4.6K,7.4K
