Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,farahjmerhi,Farah Merhi,DIY &  Design,7.4M,,68.1K,95.6K
2,joannagaines,Joanna Gaines,Family,13.8M,,33.2K,38.8K
3,5.min.crafts,5-Minute Crafts,DIY &  Design,48.9M,,6K,7.9K
4,archdigest,Architectural Digest,DIY &  Design,10.3M,,21.4K,27.3K
5,joshandmattdesign,Josh & Matt,DIY &  Design,2.7M,,76.9K,99.5K
6,artistsuniversum,Artists Universum 🖌️,DIY &  Design,9.4M,,19.2K,24.5K
7,arts_terra,Arts Terra,DIY &  Design,4.9M,,29.7K,36.3K
8,sabrinahomeideas,Sabrinahomeideas,Shows,1.8M,,62.9K,88.9K
9,refurbishedish,Erin Shuford • DIY Furniture Flips • MCM Refinishing,DIY &  Design,1.6M,,71.5K,87.9K
10,thestandarddesigngroup,The Standard Design Group,DIY &  Design,399.4K,,231.9K,380.9K
11,prettymyadeco,Judith J Kombe,Lifestyle,2.6M,,29.5K,44.5K
12,arts_promote,Arts Promote 🎨,DIY &  Design,5.9M,,14.1K,17K
13,stevecordony,S T E V E  C O R D O N Y,DIY &  Design,738.5K,,89.4K,140.1K
14,tinyhouse_amazing,Tiny Homes 🏡,DIY &  Design,150.8K,,385.3K,507.8K
15,ahometomakeyousmile,Sarah Laming,Literature &  Journalism,1.4M,,42.8K,60.8K
16,makelifesimpler_,Beatriz Santos,DIY &  Design,1.2M,,53.7K,66.3K
17,ell.glamhome,𝐄𝐋𝐋𝐀𝐇 | 𝐇𝐎𝐌𝐄,DIY &  Design,835.9K,,64.4K,87.7K
18,eventsbyadamafara,Adam Afara,DIY &  Design,1.5M,,18.1K,42.9K
19,makeitwithmicah,Micah Enriquez,DIY &  Design,2.5M,,18.3K,26.2K
20,zn_homedecor,Shaheera Saad,DIY &  Design,150.5K,,333.9K,503.6K
21,meandmr.jones,Haley Jones // Amazon Home,DIY &  Design,299.9K,,156.5K,225.3K
22,bilalrehman,Bilal Rehman,Lifestyle,457.2K,,97.7K,168.1K
23,mrsjoyclary,JOY CLARY,Family,365.3K,,115.1K,171.9K
24,commeisis,Isis Louis,DIY &  Design,219.9K,,177K,257.9K
25,unclejhonn_,Jhonn Jackson,DIY &  Design,1.2M,,29.8K,42.1K
26,angelarosehome,Angela Rose | DIY and Design,DIY &  Design,1.5M,,21.3K,32.1K
27,benjaminrichardpope,Benjamin Richard Pope,DIY &  Design,1M,,34.2K,43.6K
28,anna_louisa_at_home,Anna Louisa ✨ Home & Cleaning Content Creator,DIY &  Design,4.3M,,7.1K,10.1K
29,frills_and_drills,Lindsay Dean | DIY 👑,DIY &  Design,1.5M,,24K,33.6K
30,beckiowens,Becki Owens,Photography,2.4M,,11.8K,16K
31,belgravevilla,Milly & Louis | Belgrave Villa Renovation,DIY &  Design,1.6M,,20.3K,23.5K
32,houseinhabit,Jessica Reed Kraus,Family,1.4M,,18.5K,26.5K
33,taybeepboop,Tay BeepBoop Nakamoto,DIY &  Design,1.3M,,19.2K,26.8K
34,magnolia,magnolia,DIY &  Design,5.8M,,4.8K,5.7K
35,thehomeedit,THE HOME EDIT ®,DIY &  Design,6.5M,,3.9K,5K
36,thefurnituredr,Lilly Skjoldahl - DIY furniture flips + home improvement,DIY &  Design,467.5K,,47.7K,62K
37,therenegadehome,Molly Miller | DIY Home Improvement,DIY &  Design,1.5M,,16.3K,21.4K
38,caseyleighwiegand,c a s e y   w i e g a n d,Family,992.3K,,22.4K,32.8K
39,huntersofhappiness,Elise Hunter | DIY & HOME,DIY &  Design,1.2M,,18.8K,24.1K
40,inspire_me_home_decor,Interior Design & Home Decor,DIY &  Design,8M,,2.6K,3.2K
41,my_homely_decor,My Homely Decor,DIY &  Design,1.9M,,9.7K,12.2K
42,rachelzoe,Rachel Zoe,DIY &  Design,4.8M,,3.1K,4.9K
43,maryinthefairyland,Maryinthefairyland,DIY &  Design,845.4K,,18.4K,22.2K
44,studiomcgee,Studio McGee,DIY &  Design,4M,,3.8K,5.5K
45,glamorouslyliving,Naomi Vega | Content Creator,Family,503.4K,,34.1K,48.1K
46,lonefoxhome,Lone Fox by Drew Michael Scott,DIY &  Design,1.5M,,11.9K,14.7K
47,my_life_in_miniature,Carinne,DIY &  Design,1.3M,,13.8K,16.8K
48,delve.interiors,Alana Miller,DIY &  Design,190.4K,,83.1K,114.1K
49,artworld.us,Art 🎨,Accessories &  Jewellery,4.8M,,3.5K,4.1K
50,georgios_tataridis,Georgios Tataridis | Interiors,DIY &  Design,280.3K,,53.6K,72.2K
