Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,successowner,Mindset | Success & Business,Management &  Marketing,1.7M,,272.4K,378.3K
2,duolingo,Duolingo,Education,3.8M,,85K,114.7K
3,_b.dallas,Berhanu Dallas,Education,1.5M,,146.2K,200.9K
4,carokowanzenglish,Carolina Kowanz,Lifestyle,5.6M,,33.6K,43K
5,kathrin_marchenko,Embroidery on tulle,Education,885.7K,,177.5K,226.1K
6,collegefessing,College Confessions,Education,5.3M,,16.9K,29.6K
7,askvinh,Vinh Quang Giang,Education,5M,,15.2K,18.4K
8,elsenorgreg,Elseńorgreg,Shows,2.2M,,20.9K,34.6K
9,drumeoofficial,Drumeo,Music,2.2M,,15.5K,19.5K
10,kwiklearning,Kwik Learning,Literature &  Journalism,456.5K,,50.3K,61K
11,berberenglish,"Abraham | British English Teacher, Voice and Accent Coach 🇬🇧",Education,1.9M,,13.6K,16.4K
12,neildegrassetyson,Neil deGrasse Tyson,Science,2.2M,,9.3K,12.2K
13,f1academy,F1 Academy,Education,808.1K,,19.9K,24.9K
14,english.ingeneral,English in General,Education,4.8M,,4K,4.8K
15,learnenglishwithclemence,Clémence Arbib,Education,6.8M,,2.8K,3.4K
16,healthytips.today,Health Facts | Tips | Informations,Humor &  Fun &  Happiness,151K,,102.3K,170K
17,harvard,Harvard University,Education,2.6M,,5.6K,7.1K
18,iam.mrluke,Luke Springer (iam.mrluke),Education,945.9K,,11.6K,14.5K
19,dreamcatchersda,Dream Catchers Academy 🇳🇬 🌍,Education,1.7M,,7.1K,9.2K
20,dive.into.japan,Dive into Japan,Education,712.3K,,12K,14.8K
21,shiksha_spoken_hindi,shiksha spoken Hindi,Education,1.3M,,7.5K,8.8K
22,dr.candiselin,CANDISE LIN | CANTONESE TUTOR,Education,705.7K,,11.1K,14.5K
23,kidtalk.co,Katie Plunkett,Education,472.1K,,16.4K,20.6K
24,englishenjoyed,English Enjoyed with Thomas,Education,1M,,8.2K,10.4K
25,plantbasednews,Plant Based News,Health &  Medicine,1.4M,,5.5K,7.1K
26,thebusinesshacks,Entrepreneurship | Business,Finance &  Economics,2.4M,,2.6K,3.9K
27,teacher.aliona,American English with Aliona 🇺🇸,Education,1.8M,,3.9K,4.9K
28,trevorhannant_,TH 🥋• Martial Art Coach,Fitness &  Gym,917.4K,,6.4K,7.8K
29,paulstamets,Paul Stamets,Science,1.1M,,5.3K,6.9K
30,tamu,Texas A&M University,Education,429.5K,,12.6K,15K
31,gerrybrooksprin,Gerry Brooks,Education,840.4K,,5.5K,6.8K
32,maddies_mundo,Maddie Jackson,Education,571.7K,,8K,10.6K
33,englishwithrahel,Mariwan Abdalla,Education,1.8M,,2.7K,3.5K
34,shinfujiyama,Shin Fujiyama,Sports with a ball,817.5K,,5.2K,6.9K
35,andreseningles,Andrés Prieto Franklin | English Tips 🇺🇸,Education,1.4M,,3.4K,4.4K
36,pot_brothers_at_law,Pot Brothers at Law®,Education,1.1M,,4.4K,5.5K
37,stanford,Stanford University,Education,1.2M,,3.8K,5K
38,amauryguichon.pastryacademy,Pastry Academy,Sweets &  Bakery,868.3K,,5.1K,6.6K
39,shopirreplicablee,Ambitiouss,Education,139.7K,,32.5K,73.6K
40,medicalterms,Medicalterms,Health &  Medicine,475.7K,,8.5K,10.8K
41,englishwmariandwilliam,Maria & William Bleisath,Education,1.5M,,2.9K,4.1K
42,24.studio__,Zhi-hong .huang,Education,229.8K,,18.7K,22.2K
43,vickysenglish,,Education,2.2M,,2.1K,2.7K
44,profgalloway,Scott Galloway,Family,873.4K,,4.6K,6.5K
45,hairartbydominique,Dominique Evans,Education,202.6K,,20.8K,40.2K
46,hellofrench,Hello French,Music,1.5M,,3K,3.8K
47,toddlerscanread,Spencer Russell | Help Your Child Read,Education,2M,,2.3K,3K
48,mariotothemax,Mᴀʀɪᴏ Mᴏɴᴛᴇs | Te Enseño a Pensar y Hablar En Inglés,Education,385.2K,,9.5K,12K
49,udemy,Udemy,Education,3.4M,,1.2K,1.5K
50,iphone_photography_school,iPhone Photography School,Photography,4.3M,,949,1.1K
