Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,redbull,Red Bull,Extreme  Sports &  Outdoor activity,26.1M,,63.1K,83.1K
2,ufc,UFC,Extreme  Sports &  Outdoor activity,46.1M,,24.9K,30K
3,nyjah,JAH,Extreme  Sports &  Outdoor activity,5.3M,,121.2K,161K
4,official_monsta_x,몬스타엑스 MONSTA X,Extreme  Sports &  Outdoor activity,6.7M,,96.8K,122.1K
5,gabrielmedina,Gabriel Medina,Extreme  Sports &  Outdoor activity,14M,,18K,38.8K
6,chloekim,Chloe Kim,Gaming,1M,,205.5K,374.9K
7,christianmccaffrey,Christian McCaffrey,Extreme  Sports &  Outdoor activity,2.7M,,76.5K,109.6K
8,redbullbike,Red Bull Bike,Extreme  Sports &  Outdoor activity,4.5M,,53.5K,63.6K
9,gopro,GoPro,Extreme  Sports &  Outdoor activity,20.9M,,9.5K,12K
10,tonyhawk,Tony Hawk,Extreme  Sports &  Outdoor activity,9.4M,,17K,22.9K
11,candidethovex,Candide Thovex,Winter sports,1.3M,,139.1K,157.8K
12,_h2r_lovers,H2R Lovers 🇵🇸,Racing  Sports,270.6K,,421.5K,496.5K
13,uncleronnie69,Ronnie Mac 69,Racing  Sports,1.1M,,98.6K,123.7K
14,rollinwithkate,Kate Wulfekuhle,Extreme  Sports &  Outdoor activity,128.9K,,568.3K,767.4K
15,hideitmounts,HIDEit Mounts,Gaming,250.4K,,261.4K,360.2K
16,monsterenergy,Monster Energy,Extreme  Sports &  Outdoor activity,9.5M,,6.6K,9.7K
17,lauren.jumps,Lauren Flymen | Jump Rope ✨,Extreme  Sports &  Outdoor activity,2.8M,,26.1K,32.7K
18,charles_gillespie,Charlie 👅🍀,Lifestyle,1.3M,,35.3K,68.9K
19,guskenworthy,gus kenworthy,Winter sports,1.3M,,38.5K,68.7K
20,thewaltonadventure,"Outdoor Family Adventures | Kids Who Hike, Bike, Climb, and Ski",Extreme  Sports &  Outdoor activity,782.2K,,78.3K,100.9K
21,rachelrrae_,Rachel Rae | London & Travel,Winter sports,70.6K,,875.3K,1.1M
22,surfsterre,Sterre Meijer,Extreme  Sports &  Outdoor activity,2M,,30K,40.7K
23,leticiabufoni,Leticia Bufoni,Extreme  Sports &  Outdoor activity,3.9M,,11.6K,20.4K
24,shaunwhite,Shaun White,Winter sports,2.4M,,23.7K,31.4K
25,kellyslater,Kelly Slater,Extreme  Sports &  Outdoor activity,3.4M,,15.4K,21.3K
26,supercross___motocross,Supercross & Motocross,Racing  Sports,1.3M,,42.2K,54.6K
27,nikesb,Nike Skateboarding,Extreme  Sports &  Outdoor activity,6.9M,,7.4K,9.8K
28,berrics,Berrics,Extreme  Sports &  Outdoor activity,3M,,13.9K,22K
29,alexhonnold,Alex Honnold,Nature & landscapes,2.7M,,17.8K,21.1K
30,kayo_martin,Kayo Martin,Winter sports,722.1K,,53.1K,83.4K
31,marusya.shiklina,Marusya Shiklina,Tobacco &  Smoking,1.6M,,19.2K,31.6K
32,xgames,X Games,Gaming,4.8M,,6.5K,9.8K
33,prod,Paul Rodriguez,Extreme  Sports &  Outdoor activity,2M,,17.8K,23.3K
34,janja_garnbret,JANJA GARNBRET,Extreme  Sports &  Outdoor activity,765.8K,,42.3K,51K
35,surronster,Sur Ronster,Racing  Sports,721.9K,,43.3K,56.7K
36,skybrown,Sky Brown,Winter sports,1.4M,,17.4K,29.5K
37,jeanphi777,Jean-philippe B.,Winter sports,104K,,276.7K,372.5K
38,bethanyhamilton,Bethany Hamilton,Extreme  Sports &  Outdoor activity,2.4M,,12.5K,16.9K
39,snowboard_jesus,Jamil Alhassan,Extreme  Sports &  Outdoor activity,2.7M,,11.8K,14.8K
40,jamie_foy,Jamie Foy,Winter sports,698.8K,,39.1K,53.9K
41,rwilly,Ryan Williams,Extreme  Sports &  Outdoor activity,2.1M,,14.2K,18.2K
42,alanarblanchard,Alana Blanchard,Extreme  Sports &  Outdoor activity,1.6M,,12.8K,23.1K
43,john_john_florence,John john Florence,Extreme  Sports &  Outdoor activity,1.6M,,17.1K,23K
44,vansskate,Vans Skateboarding,Extreme  Sports &  Outdoor activity,3.7M,,7.3K,9.7K
45,elitomac,eli tomac,Racing  Sports,1.1M,,26.3K,32.6K
46,brian__636,Brian 636,Racing  Sports,492.4K,,49.8K,68.9K
47,gustavoribeiro,Gustavo Ribeiro,Winter sports,633.9K,,39.2K,55.7K
48,domtomato,Dominic Di Tommaso,Extreme  Sports &  Outdoor activity,3.5M,,7.5K,9.6K
49,redbullsnow,Red Bull Snow,Winter sports,2.3M,,11.5K,13.3K
50,sheraszyske,Sheras Zyske,Lifestyle,712.9K,,30.4K,37.2K
