Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,leomessi,Leo Messi,Sports with a ball,504.9M,,1.3M,1.6M
2,davidbeckham,David Beckham,Family,88.1M,,338.7K,421.8K
3,antonelaroccuzzo,Antonela Roccuzzo,Modeling,40M,,495.7K,684.6K
4,mcdaniell,MC DANIEL 🦅 FALCÃO DO FUNK,Family,20.1M,,958.4K,1.4M
5,barackobama,Barack Obama,Finance &  Economics,36.5M,,431.4K,550.4K
6,stephencurry30,Wardell Curry,Sports with a ball,58M,,112.3K,144.1K
7,kareenakapoorkhan,Kareena Kapoor Khan,Family,13.5M,,473.4K,581.7K
8,michelleobama,Michelle Obama,Finance &  Economics,56.9M,,90.6K,118.9K
9,kehlani,Kehlani,Music,15.9M,,221.6K,321.9K
10,krisjenner,Kris Jenner,Shows,51.7M,,56.4K,79.2K
11,tatawerneck,Tata Werneck,Cinema &  Actors/actresses,56.8M,,45.4K,71K
12,luvadepedreiro,Iran Ferreira,Family,21.5M,,89.2K,187.5K
13,babymonster_ygofficial,BABYMONSTER (베이비몬스터),Family,7.7M,,429.7K,520.4K
14,simonebiles,Simone Biles,Lifestyle,12.6M,,138.3K,314.1K
15,morganwallen,Morgan Wallen,Family,8.3M,,350.6K,461.5K
16,taneth.fit,Taneth Gimenez,Fitness &  Gym,4.5M,,457.3K,751.2K
17,diamondplatnumz,SIMBA..!🦁,Music,18.2M,,108.9K,166K
18,sav.labrant,Savannah Rose LaBrant,Family,7.1M,,258.5K,396K
19,nicollefigueroaa,NIKKI,Family,9.4M,,180.5K,289K
20,queenrania,Queen Rania Al Abdullah,Family,10.5M,,156.4K,254.2K
21,bridesdaydream,The Perfect Wedding,Family,2.6M,,777K,1M
22,addie_mccracken123,Addie McCracken,Family,6.3M,,336.2K,392.5K
23,dogusofficial,Doğuş,Family,13.3M,,109.2K,177K
24,nazormaya,Maya Nazor,Family,6.7M,,228.5K,344.2K
25,shaymitchell,Shay Mitchell,Beauty,35.7M,,42.9K,58.3K
26,candiceking,Candice King,Family,11.2M,,120.2K,152.1K
27,nayibbukele,Nayib Bukele,Family,9.7M,,133K,175.5K
28,fashioninmagazine,💎 FASHION ||☆|| MAGZINE 💎,Family,1.2M,,651.4K,1.3M
29,princeandprincessofwales,The Prince and Princess of Wales,Family,16.8M,,68.7K,84.7K
30,isabella.ladera,Isabella Ladera,Lifestyle,4M,,218.4K,339.2K
31,harbhajan3,Harbhajan Turbanator Singh,Lifestyle,18.3M,,53.6K,70.2K
32,mdmotivator,𝐙𝐚𝐜𝐡𝐞𝐫𝐲 𝐃𝐞𝐫𝐞𝐧𝐢𝐨𝐰𝐬𝐤𝐢,Family,5.8M,,158.5K,223.6K
33,hayley.leblanc,Hayley Noelle LeBlanc,Kids &  Toys,4.1M,,223.9K,309.4K
34,monicadenise,MONICA,Family,13.5M,,52.5K,81.8K
35,staceysolomon,Stacey Solomon,Family,6M,,136.5K,179.8K
36,mrshinchhome,Sophie Hinchliffe,Family,4.9M,,146.6K,213.5K
37,kristy.sarah,Kristy Sarah Scott,Family,7.6M,,93.9K,134.7K
38,fact,Fact,Family,6.9M,,75K,131.9K
39,letthelordbewithyou,Scott Disick,Lifestyle,28.9M,,22.6K,31.1K
40,ballerinafarm,Hannah Neeleman,Family,10.1M,,63.1K,82.9K
41,iniedo,Ini Edo,Family,14.2M,,43.1K,58.7K
42,bobbi,Bobbi,Family,3.9M,,166.3K,216.6K
43,thebaxterboys,𝐁𝐲𝐫𝐨𝐧 𝐀𝐧𝐝 𝐁𝐥𝐚𝐤𝐞 𝐁𝐚𝐱𝐭𝐞𝐫,Lifestyle,1.2M,,301.2K,581.8K
44,iamrollierez,Rollie,Family,5.5M,,58.7K,124.6K
45,carlosrivera,Carlos Rivera,Family,9.6M,,52.2K,70.4K
46,bipashabasu,Bipasha Basu,Family,14.1M,,36.5K,46.6K
47,funkejenifaakindele,Olufunke Akindele,Family,16.4M,,28.7K,39.1K
48,ww_wed,World Wide Weddings,Family,1.1M,,478K,588.6K
49,demimoore,Demi Moore,Family,6M,,75.4K,103.3K
50,celestepellegrini,C E L L E G R I N I,Family,7.5M,,59.7K,78.7K
