Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,kendalljenner,Kendall,Modeling,289.3M,,2M,2.7M
2,kyliejenner,Kylie,Fashion,394.5M,,1.2M,1.7M
3,beyonce,Beyoncé,Music,312.8M,,809.2K,1.4M
4,kimkardashian,Kim Kardashian,Fashion,358M,,611K,869K
5,iamcardib,Cardi B,Music,164.2M,,1M,1.7M
6,adrianalima,Adriana Lima,Modeling,19.7M,,830.2K,1.1M
7,bernardokath,Kathryn Bernardo 🐘,Beauty,20.7M,,649.4K,835.9K
8,xxxibgdrgn,G-DRAGON,Photography,24M,,580.5K,677.6K
9,realbarbarapalvin,Barbara Palvin,Modeling,20.9M,,369.4K,473.7K
10,marktuan,Mark Tuan,Music,13.9M,,542.7K,678.2K
11,gisele,Gisele Bündchen,Modeling,23.2M,,263K,380.4K
12,paollaoliveirareal,Paolla Oliveira,Cinema &  Actors/actresses,37.4M,,134.3K,212.3K
13,voguemagazine,Vogue,Literature &  Journalism,50.4M,,104.4K,133K
14,nct_dream,NCT DREAM OFFICIAL,Music,13.1M,,406.1K,473.8K
15,iamyanetgarcia,Yanet Garcia 🇲🇽,Cinema &  Actors/actresses,14.3M,,249.3K,400.4K
16,sonamkapoor,Sonam A Kapoor,Fashion,34.9M,,99.8K,137.5K
17,jadepicon,JADE,Modeling,21.7M,,116.9K,196.3K
18,mollymae,Molly-Mae,Lifestyle,8.6M,,343.3K,476.6K
19,lizasoberano,Liza Soberano,Beauty,18.1M,,173K,206.5K
20,troyesivan,troye sivan,Art/ Artists,15.6M,,171.4K,225.2K
21,tutorialsgallery,Tutorial | Diy | Arts | Tips 💋,Art/ Artists,13.1M,,133.6K,225.2K
22,taylor_hill,Taylor Hill,Art/ Artists,24M,,83.4K,115K
23,candiceswanepoel,𝗖𝗮𝗻𝗱𝗶𝗰𝗲,Modeling,20.3M,,87K,128.3K
24,twan,Twan Kuyper,Cinema &  Actors/actresses,6.3M,,225.6K,385.6K
25,urassayas,Urassaya Sperbund,Cinema &  Actors/actresses,13M,,145.1K,177.4K
26,larray,larri,Lifestyle,6.3M,,279.5K,372K
27,itsmeleighton,Leighton Meester,Music,7.5M,,238K,296K
28,jayalvarrez,Jay,Modeling,8.4M,,185.2K,248.6K
29,iamamyjackson,Amy Jackson Westwick,Beauty,13.7M,,105.6K,142.4K
30,chaelincl,CL,Art/ Artists,10.9M,,129.5K,166.5K
31,grantgust,Grant Gustin,Cinema &  Actors/actresses,7.7M,,167.4K,226.9K
32,got7.with.igot7,GOT7,Music,6.4M,,206.9K,258.4K
33,fashioninmagazine,💎 FASHION ||☆|| MAGZINE 💎,Family,1.2M,,651.4K,1.3M
34,chanelofficial,CHANEL,Fashion,60.1M,,18.8K,23.6K
35,winnieharlow,♔Winnie Harlow♔,Beauty,10.1M,,92.1K,139.4K
36,aleskagenesis,Genesis Aleska,Cinema &  Actors/actresses,8M,,96.4K,165.6K
37,ifuckinglovewatches,IFLW,Fashion,1.2M,,853.1K,1.1M
38,phoebejtonkin,Phoebe Tonkin,Beauty,8.2M,,110.3K,153.6K
39,angelababyct,Angelababy,Music,11.5M,,74.3K,106.6K
40,avrillavigne,Avril Lavigne,Music,13.7M,,65.4K,90.3K
41,louisvuitton,Louis Vuitton,Fashion,55.9M,,16.9K,21.4K
42,cole.labrant,Cole LaBrant,Lifestyle,5M,,183.6K,238.2K
43,monicadenise,MONICA,Family,13.5M,,52.5K,81.8K
44,modawoow,Moda WOOW,Fashion,1.6M,,465.8K,691.3K
45,theshaderoom,The Shade Room,Art/ Artists,29.3M,,25.5K,35K
46,gucci,GUCCI,Accessories &  Jewellery,52.3M,,14.6K,18.2K
47,lianev,Liane V Benjamin 🇵🇭,Art/ Artists,4.6M,,109.7K,200K
48,redvelvet.smtown,Red Velvet Official,Music,12M,,60.5K,75.1K
49,keke,BIG BOSS 🔑🔑,Music,14.3M,,37K,63.5K
50,fact,Fact,Family,6.9M,,75K,131.9K
