Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,narendramodi,Narendra Modi,Finance &  Economics,92.4M,,1.3M,1.5M
2,barackobama,Barack Obama,Finance &  Economics,36.5M,,431.4K,550.4K
3,kamalaharris,Kamala Harris,Finance &  Economics,19.7M,,400.8K,526.5K
4,realdonaldtrump,President Donald J. Trump,Finance &  Economics,32.2M,,230.5K,292.9K
5,jokowi,Joko Widodo,Finance &  Economics,59.2M,,93.4K,116.8K
6,michelleobama,Michelle Obama,Finance &  Economics,56.9M,,90.6K,118.9K
7,amitshahofficial,Amit Shah,Finance &  Economics,19.3M,,176K,225.4K
8,potus46archive,President Joe Biden Archived,Finance &  Economics,18.5M,,125.1K,215.2K
9,queenrania,Queen Rania Al Abdullah,Family,10.5M,,156.4K,254.2K
10,jairmessiasbolsonaro,Jair M. Bolsonaro,Finance &  Economics,26.4M,,70.1K,94.1K
11,joebiden,Joe Biden,Finance &  Economics,16.9M,,88.5K,112.2K
12,ivankatrump,Ivanka Trump,Business &  Careers,8.3M,,159.2K,224.8K
13,vp46archive,Vice President Kamala Harris Archived,Business &  Careers,16.9M,,59.2K,104K
14,nayibbukele,Nayib Bukele,Family,9.7M,,133K,175.5K
15,princeandprincessofwales,The Prince and Princess of Wales,Family,16.8M,,68.7K,84.7K
16,thecompletefacts,Facts,Finance &  Economics,1.7M,,423.1K,760.1K
17,aoc,Alexandria Ocasio-Cortez,Finance &  Economics,8.7M,,88.5K,131.7K
18,donaldjtrumpjr,Donald Trump Jr.,Finance &  Economics,8.9M,,83.5K,111.3K
19,entrepreneur.dose,Entrepreneurship | Business | Motivation,Business &  Careers,811.5K,,791.5K,1M
20,charliekirk1776,Charlie Kirk,Finance &  Economics,4.9M,,125.1K,163.7K
21,iamrollierez,Rollie,Family,5.5M,,58.7K,124.6K
22,berniesanders,Bernie Sanders,Finance &  Economics,6.8M,,77.2K,101K
23,hillaryclinton,Hillary Clinton,Finance &  Economics,6.3M,,68.5K,90.1K
24,dc_draino,Rogan O’Handley,Finance &  Economics,3M,,111.9K,138.2K
25,thebusinessmagnets,Business | Technology | AI,Business &  Careers,2.4M,,119.8K,154.2K
26,savetoinvest,Money | Business | Inspiration | AI,Crypto,1.3M,,209.8K,269.9K
27,the_typical_liberal,Grant Godwin,Finance &  Economics,3.2M,,72.9K,94.5K
28,zelenskyy_official,Володимир Зеленський,Cinema &  Actors/actresses,15.5M,,14.5K,18.2K
29,onlinebusinessinc,Online Business Inc,Lifestyle,192.3K,,977.2K,1.4M
30,drbiden,Dr. Jill Biden,Finance &  Economics,2.9M,,51.9K,90.1K
31,jdvance,JD Vance,Finance &  Economics,1.5M,,109.5K,137.3K
32,entrepreneursquote,Business & Entrepreneur,Business &  Careers,1.6M,,98K,126K
33,erikankullberg,Erika Kullberg,Finance &  Economics,5.5M,,26.9K,34.7K
34,erictrump,Eric Trump,Lifestyle,2.9M,,46.2K,61.3K
35,tiffanytrump,Tiffany Trump,Finance &  Economics,1.6M,,55.1K,90.5K
36,whitehouse46archive,The Biden White House Archived,Finance &  Economics,7.7M,,11.8K,15.9K
37,vivekgramaswamy,Vivek Ramaswamy,Finance &  Economics,2.1M,,43.3K,51.6K
38,turningpointusa,Turning Point USA,Finance &  Economics,2.8M,,28.5K,36.6K
39,oliviapalermo,Olivia Palermo,Beauty,8.2M,,7.5K,10.9K
40,unitednations,United Nations,Finance &  Economics,8.1M,,9K,10.6K
41,marines,United States Marine Corps,Finance &  Economics,2.7M,,25.5K,31.3K
42,daveramsey,Dave Ramsey,Finance &  Economics,5.8M,,9.7K,11.9K
43,your.richbff,Vivian Tu | Your Rich BFF,Finance &  Economics,3.4M,,14.4K,20.1K
44,yonel_devico,Yonel Devico,Finance &  Economics,1.4M,,28.3K,45.5K
45,millennial_republicans,Millennial Republicans,Humor &  Fun &  Happiness,1.5M,,32.5K,40.3K
46,donaldtrump.hq,Donald Trump Fans,Finance &  Economics,2M,,23.3K,29.4K
47,wordporm,Word Porn,Lifestyle,5.2M,,9.1K,11K
48,nickjfreitas,Nick Freitas,Finance &  Economics,1.5M,,24.3K,36.2K
49,businessunions,Money | Business | Wealth | AI,Business &  Careers,991.1K,,35.8K,47.4K
50,kayleighmcenany,KayleighMcEnany,Finance &  Economics,2.3M,,16.6K,21K
