Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,therock,Dwayne Johnson,Cinema &  Actors/actresses,394.8M,,193.9K,244.8K
2,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,Fitness &  Gym,16.2M,,1.4M,1.7M
3,cbum,Chris Bumstead,Fitness &  Gym,25.8M,,678.1K,866K
4,khabib_nurmagomedov,Хабиб Нурмагомедов,Fitness &  Gym,38.5M,,467.1K,571.6K
5,nike,Nike,Fitness &  Gym,302.2M,,45.7K,60.4K
6,loganpaul,Logan Paul,Fitness &  Gym,27.2M,,455.2K,618.2K
7,miakhalifa,Mia K.,Fitness &  Gym,26.1M,,327.4K,498.2K
8,sam_sulek,Sam Sulek,Fitness &  Gym,6.5M,,1.2M,1.5M
9,keyshiakaoir,Keyshia Ka'oir Davis,Fitness &  Gym,7.9M,,469.5K,771.4K
10,misscarriejune,Carriejune Anne Bowlby,Fitness &  Gym,4.6M,,769K,1.3M
11,kingryan,Ryan Garcia,Fitness &  Gym,12.2M,,293.4K,417.6K
12,miketyson,Mike Tyson,Fitness &  Gym,34M,,99.8K,136.1K
13,schwarzenegger,Arnold Schwarzenegger,Cinema &  Actors/actresses,26M,,120.5K,160.1K
14,anthonyjoshua,,Fitness &  Gym,16.8M,,174.5K,219.2K
15,islam_makhachev,Islam_Makhachev,Fitness &  Gym,9.8M,,296.2K,362K
16,taneth.fit,Taneth Gimenez,Fitness &  Gym,4.5M,,457.3K,751.2K
17,davidlaid,David Laid,Fitness &  Gym,5M,,399.3K,494.7K
18,ulissesworld,Ulissesworld,Fitness &  Gym,8.6M,,218.1K,287.2K
19,thenoahjr,Junior Braceiro,Fitness &  Gym,1.5M,,1M,1.5M
20,lifeperiway,Armand Peri,Fitness &  Gym,10.7M,,107.8K,210.7K
21,jenna_chew,DJ JENNA CHEW 周甄娜,Fitness &  Gym,20.8M,,54.8K,87.6K
22,alexpoatanpereira,"Alex ""Poatan"" Pereira",Trainers &  Coaches,6.5M,,191.2K,276K
23,khamzat_chimaev,Khamzat Chimaev,Trainers &  Coaches,9.3M,,156K,192.9K
24,carlosbelcast,CARLOS BELCAST,Fitness &  Gym,4.9M,,276K,350.2K
25,livvydunne,Olivia Dunne,Lifestyle,5.4M,,235.7K,310K
26,ashtonhallofficial,Ashton Hall,Fitness &  Gym,6.3M,,170.9K,251.7K
27,timatiofficial,13,Music,20.2M,,63.6K,77.2K
28,iliatopuria,El Matador,Lifestyle,6.6M,,179.2K,228.7K
29,suelynmedeiros,Suelyn Medeiros,Fitness &  Gym,5.6M,,127.1K,269.4K
30,floydmayweather,Floyd Mayweather,Fitness &  Gym,29.8M,,29.9K,43.2K
31,thenotoriousmma,Conor McGregor Official,Fitness &  Gym,46.9M,,21.1K,26.6K
32,veronikarajek,Veronika Rajek,Modeling,6.9M,,114.3K,182.3K
33,adidas,adidas,Clothing &  Outfits,29.3M,,32K,40.4K
34,michelle_lewin,Michelle Lewin,Fitness &  Gym,15.9M,,49.7K,73.4K
35,camilita1207,"""Camilita"" Alejandra Gil",Fitness &  Gym,2.7M,,190.9K,420.8K
36,linnlowes,LINN LOWES,Fitness &  Gym,3.5M,,263.6K,318.7K
37,jonnybones,Jonny Meat,Fitness &  Gym,9.5M,,82K,109.7K
38,saschafitness,Sascha Barboza,Fitness &  Gym,5.8M,,105K,166.2K
39,francisngannou,Francis Ngannou,Fitness &  Gym,7.1M,,92.2K,123.6K
40,noeldeyzel_bodybuilder,NOEL DEYZEL 🇿🇦,Fitness &  Gym,5.8M,,99.8K,148.1K
41,stylebender,Israel Adesanya,Lifestyle,8.7M,,66.1K,88K
42,samikshabhatna1,Samikssha Batnagar,Music,6M,,76.7K,126.8K
43,alicasmd,Alica Ѕchmidt | Olympian,Fitness &  Gym,5.7M,,95.3K,130.8K
44,rhearipley_wwe,Rhea Ripley,Adult content,5.2M,,89.8K,140.5K
45,annabel.lucinda,Annabel Lucinda,Fitness &  Gym,3.3M,,184.9K,218.9K
46,issavegas,Issa Vegas  ✨,Fitness &  Gym,9.5M,,43.9K,75K
47,gggboxing,Gennadiy Golovkin | GGG,Lifestyle,5.1M,,114K,136.4K
48,qimmahrusso,Qimmah Russo,Trainers &  Coaches,5.1M,,73.8K,134.9K
49,leanbeefpatty,𝐋𝐄𝐀𝐍 𝐁𝐄𝐄𝐅 𝐏𝐀𝐓𝐓𝐘,Fitness &  Gym,5.8M,,86K,116.9K
50,nastya_nass_,Nastya Nass,Shows,6.5M,,71.1K,103.4K
