Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,cznburak,Burak Özdemir,Food &  Cooking,53.6M,,163.8K,205.9K
2,amauryguichon,Amaury Guichon,Food &  Cooking,16.7M,,501.8K,621K
3,eatinghealthytoday,,Food &  Cooking,6.7M,,557.9K,687.8K
4,memesgra.m,Funny,Food &  Cooking,820K,,1.8M,2.4M
5,steakvideos,Steak Videos,Food &  Cooking,2.9M,,536K,681K
6,masterchefshiprakhanna,MasterChef Shipra Khanna,Food &  Cooking,6.2M,,65.2K,198.8K
7,nusr_et,Nusr_et#Saltbae,Food &  Cooking,53.2M,,14.7K,19.8K
8,nick.digiovanni,Nick DiGiovanni,Food &  Cooking,3.5M,,160.6K,206.6K
9,cookinwitkya,Kya Renee,Food &  Cooking,1.9M,,212.2K,296.6K
10,gordongram,Gordon Ramsay,Food &  Cooking,18.6M,,22K,27.6K
11,steakchannel,Steak Channel,Food &  Cooking,2.9M,,136.6K,167.7K
12,dr.vegan,Ahmad Noori,Food &  Cooking,3.8M,,78.3K,98.2K
13,tipsybartender,TIPSY BARTENDER 🍻🍹,Food &  Cooking,7.7M,,35K,48.9K
14,spicymoustache,Alessandro Vitale,Food &  Cooking,5M,,57.9K,75.4K
15,inagarten,Ina Garten,Food &  Cooking,4.7M,,45.6K,61.3K
16,alfiecooks,ALFIE STEINER,Food &  Cooking,5M,,41.2K,54.7K
17,pov_husband,Daniel & Eunice,Food &  Cooking,2.4M,,90.7K,114.8K
18,antoni,Antoni Porowski,Food &  Cooking,4.1M,,46.9K,63.6K
19,ercansteakhouse,Ercan Steakhouse,Food &  Cooking,5M,,31.2K,50K
20,susividal,Susi,Food &  Cooking,2.7M,,73.7K,92.3K
21,buzzfeedtasty,Tasty,Photography,45.5M,,4K,5K
22,plantyou,Carleigh Bodrug,Food &  Cooking,5.4M,,32K,42.3K
23,altairjarabo,Altair Jarabo,Family,4.6M,,29.8K,46.5K
24,starbucks,Starbucks,Food &  Cooking,17.8M,,8.4K,11.2K
25,stealth_health_life,Tom Walsh,Food &  Cooking,3.6M,,43.9K,53.7K
26,mcdonalds,McDonald’s,Food &  Cooking,5.4M,,25.6K,34.1K
27,majasrecipes,Maja Mariana Ilic👩🏻‍🍳,Sweets &  Bakery,536.8K,,251.7K,323.9K
28,fitgreenmind,Maya / plant-based food and recipes,Food &  Cooking,4M,,34.4K,41.7K
29,thegoldenbalance,Ahmad Alzahabi,Food &  Cooking,3.8M,,33.4K,41.4K
30,jalalsamfit,Jalal,Food &  Cooking,3.1M,,39.2K,48.5K
31,_aussiefitness,AUSSIE FITNESS 🇦🇺💪🏼 | Dez Cerimagic,Food &  Cooking,2.8M,,42.3K,50.2K
32,glucosegoddess,Jessie Inchauspé,Food &  Cooking,5.4M,,16.8K,23K
33,angiekassabie,Dr. 𝘼𝙣𝙜𝙞𝙚 𝙆𝙖𝙨𝙨𝙖𝙗𝙞𝙚,Food &  Cooking,4.8M,,12.9K,25.4K
34,itsqcp,QCP,Food &  Cooking,3M,,29.1K,39.9K
35,that.foodie.girl__,That Foodie Girl✨,Food &  Cooking,662.9K,,122K,154.7K
36,jamieoliver,Jamie Oliver,Food &  Cooking,10.5M,,7.6K,9.9K
37,low.carb.love,Mayra Wendolyne | Low Carb Love,Food &  Cooking,3.8M,,20.5K,27K
38,chef.sam.black,Sam Cooper,Sweets &  Bakery,585.9K,,122.5K,155.1K
39,andrescooking,ANDRES DE OLIVEIRA,Food &  Cooking,4M,,14.4K,24.4K
40,fitshortie,Simon & Tina | Fruit & Vegan Travel,Food &  Cooking,1.3M,,47.5K,73.1K
41,chefboylee,Kevin Lee,Food &  Cooking,809.4K,,81.4K,109.7K
42,thenikosknife,The Nikos Knife,Food &  Cooking,1.5M,,44.8K,59.3K
43,owen.han,Owen Han,Food &  Cooking,2.4M,,27.6K,35.5K
44,notorious_foodie,Notorious Foodie,Food &  Cooking,4.2M,,16K,20.2K
45,andyhearnden,Andy Cooks,Food &  Cooking,4.5M,,14.5K,18.5K
46,raisingcanes,Raising Cane's,Sweets &  Bakery,1.6M,,37.9K,51.2K
47,maxiskitchen,Maxine Sharf,Food &  Cooking,3M,,21.6K,27.3K
48,two_plaid_aprons,Mei & Kyong | Two Plaid Aprons,Sweets &  Bakery,1.1M,,53.1K,70K
49,overthefirecooking,Derek Wolf,Food &  Cooking,3.5M,,16.6K,22K
50,eatloindiaa,Rohit Dhand,Food &  Cooking,1.2M,,28.5K,60K
