Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,amit_majithia,Amit Majithia,Music,22.5M,,294.2K,370.8K
2,nidhhiagerwal,Nidhhi Agerwal 🌟,Gaming,30.2M,,158.7K,252.4K
3,arigameplays,ARIGAMEPLAYS 🍓,Lifestyle,11.7M,,288.9K,427.7K
4,fazerug,Brian,Lifestyle,7.1M,,221.3K,289.3K
5,fortnite,Fortnite,Gaming,27M,,58K,71.2K
6,rockstargames,Rockstar Games,Cars &  Motorbikes,29.1M,,41.9K,63.9K
7,wwe,WWE,Gaming,33.9M,,22K,28.5K
8,playstation,PlayStation,Gaming,31.2M,,24.3K,28.8K
9,cinnannoe,Noemie Fay,Gaming,1.2M,,489.5K,631.3K
10,footyprogram,The FootyProgram | FP,Photography,555.2K,,925.4K,1M
11,alanwalkermusic,Alan Walker,Lifestyle,10.3M,,49.6K,58.8K
12,karanjohar,Karan Johar,Cinema &  Actors/actresses,17.2M,,26.2K,30.1K
13,nflmemes_ig,NFL MEMES,Gaming,2.3M,,147.8K,183.4K
14,kyso_lo,Joana Taylor 🖤,Gaming,273.1K,,1.1M,1.4M
15,the_amanda_nicole,Amanda Nicole,Humor &  Fun &  Happiness,8.5M,,23.5K,48K
16,footballvideo,Footballvideo,Sports with a ball,1.6M,,182.8K,246.5K
17,chloekim,Chloe Kim,Gaming,1M,,205.5K,374.9K
18,jonjontech,Jonjon,Humor &  Fun &  Happiness,162.9K,,1.5M,2.9M
19,squidgamenetflix,Squid Game,Gaming,3.8M,,54.3K,91.2K
20,skysports,Sky Sports,Sports with a ball,12.9M,,18.5K,25.7K
21,yaonlylivvonce,Liv Morgan,Lifestyle,3.2M,,68K,102.6K
22,mlb,MLB ⚾,Sports with a ball,12M,,19.4K,26.3K
23,transfermarkt_official,Transfermarkt,Sports with a ball,10.1M,,24.6K,30.4K
24,dustinpoynter,Dustin Poynter,Shows,3M,,75.2K,95.8K
25,mpr_riche_rich,ERROL MPR RICHE RICH SCOTT,Music,5.5M,,24.1K,50.2K
26,lethalshooter,NBA Shooting Coach ( Chris Matthews ),Sports with a ball,4M,,45.1K,70.2K
27,thehoodsfinest,THEHOODSFINEST,Humor &  Fun &  Happiness,4.7M,,33.4K,59K
28,netflix_in,Netflix India,Cinema &  Actors/actresses,11.2M,,19.7K,22.7K
29,sports,Sports,Lifestyle,1.9M,,67.4K,122.1K
30,heidilavon,HEIDI LAVON,Gaming,2.5M,,47K,83.5K
31,clashroyale,Clash Royale,Lifestyle,5M,,36.4K,40.1K
32,jameelajamil,Jameela Jamil,Cinema &  Actors/actresses,3.8M,,38.6K,52.2K
33,arcaneshow,Arcane,Gaming,1.3M,,122.8K,146.5K
34,lthqofficial,LTHQ,Music,1.4M,,108.1K,131.3K
35,pixar,Pixar,Cinema &  Actors/actresses,11.2M,,12.8K,16.1K
36,americannightmarecody,Cody Rhodes,Lifestyle,2.3M,,57.8K,76.2K
37,hasandpiker,Hasan Piker,Gaming,1.2M,,97.1K,128.5K
38,valorant,VALORANT,Gaming,2.1M,,64.7K,72.8K
39,jordanfisher,Jordan Fisher,Gaming,4M,,21.9K,37.3K
40,nbaontnt,NBA on TNT,Sports with a ball,7.8M,,14.6K,18.3K
41,thef2,F2Freestylers,Sports with a ball,11.3M,,9.5K,12.1K
42,nba2k,NBA 2K,Sports with a ball,5.5M,,18K,25.3K
43,smoothgio,Smooth 🥷🏽💫,Humor &  Fun &  Happiness,1.1M,,61.8K,120.1K
44,pubitysport,Pubity Sport,Sports with a ball,3.3M,,33.1K,40.1K
45,barlebofc,Barlebo F.C•Football transfers,Sports with a ball,468.9K,,186.9K,238K
46,hurdles,Sports Videos,Humor &  Fun &  Happiness,2.5M,,37.6K,50.6K
47,honkaistarrail,Honkai: Star Rail Official,Gaming,1.3M,,77.2K,93.5K
48,tommyinnit,TommyInnit,Gaming,2.9M,,33.6K,42.4K
49,plutopiaworld,Plutopia World,Music,1.8M,,48K,63.6K
50,thecheckdown,The Checkdown,Sports with a ball,1.6M,,50.3K,68K
