Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,drstuartlinder,𝐃𝐫. 𝐒𝐭𝐮𝐚𝐫𝐭 𝐀. 𝐋𝐢𝐧𝐝𝐞𝐫,Modeling,3M,,105.7K,141.7K
2,the.holistic.psychologist,Dr. Nicole LePera,Trainers &  Coaches,9.1M,,35.6K,45.5K
3,brittnebabe,"“Queen of Home Workouts” 🇹🇹🇺🇸🎓 BS, CNS, CPT, CHHP",Fitness &  Gym,2.2M,,54.9K,106.9K
4,simonourianmd1,Dr. Simon Ourian - Epione,Beauty,4.5M,,21.4K,42.7K
5,drdonovansmolich,Donovan Smolich,Trainers &  Coaches,397.1K,,306.9K,392K
6,hudabeautyshop,,Beauty,7.2M,,15.6K,21.1K
7,drbrettbolton,Dr. Brett Bolton,Beauty,4.7M,,4.2K,30.9K
8,glucosegoddess,Jessie Inchauspé,Food &  Cooking,5.4M,,16.8K,23K
9,angiekassabie,Dr. 𝘼𝙣𝙜𝙞𝙚 𝙆𝙖𝙨𝙨𝙖𝙗𝙞𝙚,Food &  Cooking,4.8M,,12.9K,25.4K
10,arrogant_tae123,arrogant_tae123 🐐,Beauty,2.5M,,24.4K,42.5K
11,fitshortie,Simon & Tina | Fruit & Vegan Travel,Food &  Cooking,1.3M,,47.5K,73.1K
12,the.diet,The Diet - Food & Drink,Health &  Medicine,155.6K,,482.9K,1.2M
13,drjamesdinic,James DiNicolantonio,Fitness &  Gym,3.5M,,18.6K,25.6K
14,finergyglobal1,ANJALA FERGUSON / Beauty / Fashion / Health & Wellness,Fashion,949.3K,,78.7K,197.4K
15,doctor.mike,𝐃𝐫. 𝐌𝐢𝐤𝐞 𝐕𝐚𝐫𝐬𝐡𝐚𝐯𝐬𝐤𝐢,Health &  Medicine,4.5M,,13.2K,16.4K
16,selfcareisforeveryone,Self-Care Is For Everyone®,Health &  Medicine,1M,,48.3K,63.5K
17,who,World Health Organization,Health &  Medicine,12M,,4K,5.3K
18,therealashleyblack,Ashley Black,Beauty,3.1M,,13.4K,18.9K
19,envysmiledental,VENEERS SMILE MAKEOVER by DR WEINER,Beauty,3.2M,,10.6K,15.1K
20,soldejaneiro,Sol de Janeiro,Beauty,2.7M,,14K,18.8K
21,gabormatemd,Dr. Gabor Maté,Health &  Medicine,3.5M,,10.2K,13.5K
22,bajadepesoconmiguel,Miguel Alvira,Fitness &  Gym,5.7M,,6.3K,7.9K
23,healthwithcory,Cory Rodriguez,Health &  Medicine,2.8M,,12.7K,16K
24,paulsaladinomd,"Paul Saladino, MD",Food &  Cooking,2.6M,,13.7K,17.4K
25,dr.mauriciogonzalez,"Mauricio Gonzalez, MD.",Health &  Medicine,2.1M,,15.1K,20.9K
26,radhidevlukia,Radhi Devlukia,Health &  Medicine,2.3M,,13.3K,18.3K
27,katrinamckenna_,Katrina McKenna,Fitness &  Gym,1.2M,,21.6K,28.9K
28,drbilldorfman,Dr. Bill Cosmetic Dentist,Fitness &  Gym,2.4M,,9.3K,14.9K
29,_drbryant,Dr. Cheyenne Bryant,Trainers &  Coaches,2.3M,,6.2K,15.1K
30,franksuarezoficial,Frank Suárez,Health &  Medicine,5.8M,,4.8K,6.1K
31,dr_noury_adel,Dr Noury Adel,Health &  Medicine,1.1M,,13K,30.6K
32,wedocurls,We do curls !,Lifestyle,256.7K,,93.4K,142K
33,unicef,UNICEF,Health &  Medicine,11.4M,,2.3K,3K
34,drmarkhyman,"Mark Hyman, M.D.",Health &  Medicine,3.3M,,8.2K,10.3K
35,iceman_hof,Wim Hof,Fitness &  Gym,3.5M,,7.9K,9.6K
36,jamesmoorewellness,James Moore,Beauty,6.4M,,4.4K,5.3K
37,nedratawwab,"Nedra Glover Tawwab, Therapist",Health &  Medicine,1.9M,,13.2K,17.7K
38,medicalmedium,Medical Medium®,Health &  Medicine,4.9M,,5.5K,6.7K
39,williamaseedsmd,William Seeds,Health &  Medicine,1.6M,,12.5K,20K
40,elfcosmetics,e.l.f. Cosmetics and Skincare,Beauty,7.4M,,3.3K,4.4K
41,janellebrown117,janellebrown117,Family,1.4M,,19.2K,22.9K
42,thefoodbabe,Vani Hari | Food Babe,Sweets &  Bakery,2.3M,,9.8K,13K
43,tonysnail,Designed By Tony Ly,Beauty,1.1M,,17.9K,25.9K
44,bodybymark,ʙᴏᴅʏ ʙʏ ᴍᴀʀᴋ™,Fitness &  Gym,1.6M,,9.7K,18.4K
45,wtriggsmd,"Wilton L. Triggs II, MD",Health &  Medicine,1.6M,,9.6K,16.7K
46,yummyextensions,Official Yummy Hair Extensions,Beauty,496.9K,,40.9K,69.7K
47,hairestetik,BY Engin Sönmez | Saç ekimi |,Beauty,2.4M,,5.9K,11.2K
48,dlcwellness,"DLCWellness, Anxiety, ADHD & Mental Health Community",Health &  Medicine,1.6M,,12.3K,16.4K
49,tracyandersonmethod,Tracy Anderson,Health &  Medicine,1.2M,,14.7K,21.8K
50,jenarnoldmd,Jennifer Arnold,Family,1.2M,,15.7K,20.8K
