Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,mrbeast,MrBeast,Shows,66.2M,,1.8M,2.2M
2,luisitocomunica,Luisillo El Pillo,Humor &  Fun &  Happiness,33.7M,,515.3K,751.7K
3,whinderssonnunes,Whindersson Nunes,Humor &  Fun &  Happiness,58.1M,,242.1K,370.6K
4,bhajanmarg_official,Bhajan Marg Official,Shows,21.2M,,612.7K,667.4K
5,kristenhanby,Kristen Hanby,Humor &  Fun &  Happiness,7.6M,,1.4M,1.9M
6,colorful,Best Memes,Lifestyle,7.4M,,988.1K,1.5M
7,rudeth,Rudy Pankow,Humor &  Fun &  Happiness,8.5M,,700K,1.1M
8,florencepugh,Florence Pugh,Humor &  Fun &  Happiness,9.5M,,731.9K,961.1K
9,justsul,Just Sul,Humor &  Fun &  Happiness,5.9M,,645.2K,976.7K
10,pubity,Pubity,Humor &  Fun &  Happiness,39.5M,,105.6K,130.8K
11,lexibrookerivera,Lexi Rivera,Shows,8.1M,,452K,578.9K
12,daviddobrik,DAVID DOBRIK,Humor &  Fun &  Happiness,9.7M,,303K,460K
13,pickuplines,Pickuplines,Humor &  Fun &  Happiness,6.5M,,580.3K,684.6K
14,amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,Humor &  Fun &  Happiness,21.8M,,106.4K,181.6K
15,druski,DRUSKI,Humor &  Fun &  Happiness,8.7M,,240.2K,375.8K
16,zachking,Zach King,Shows,29M,,76.7K,102.2K
17,jimmyfallon,Jimmy Fallon,Shows,27.3M,,81.5K,106.5K
18,sincerooficial,Sincero Oficial,Humor &  Fun &  Happiness,21.9M,,85.8K,119.2K
19,mattrife,Matt Rife,Humor &  Fun &  Happiness,9.3M,,180.1K,282.6K
20,daquan,Daquan,Humor &  Fun &  Happiness,16.2M,,117.5K,150.8K
21,fuckboyproblem.s,Fckboy Problem.s,Lifestyle,15.7M,,118K,150.4K
22,gungungupta137,Gungun Gupta,Lifestyle,8.8M,,241.8K,269.7K
23,jackharlow,,Lifestyle,6.4M,,194.8K,351.4K
24,iamdesibanks,Desi Banks,Humor &  Fun &  Happiness,8.9M,,158.7K,256.3K
25,2pac,Tupac Shakur,Music,10.2M,,130.6K,213.5K
26,showerfeelings,Shower Thoughts,Humor &  Fun &  Happiness,2.1M,,667.3K,1M
27,hichasestokes,,Humor &  Fun &  Happiness,8.3M,,162.4K,263.2K
28,zachchoi,Zach,Humor &  Fun &  Happiness,12.4M,,122.6K,172.4K
29,chloebailey,Chlöe,Humor &  Fun &  Happiness,7.5M,,176.5K,289.6K
30,watanabenaomi703,Naomi Watanabe,Cinema &  Actors/actresses,10.1M,,178K,210.5K
31,marcelotinelli,Marcelo Tinelli,Humor &  Fun &  Happiness,14.8M,,96.3K,136K
32,9gag,9GAG: Go Fun The World,Humor &  Fun &  Happiness,55.7M,,24.8K,29.9K
33,alfinetei,Alfinetei,Humor &  Fun &  Happiness,24.6M,,43.7K,66K
34,gessica,GKAY,Shows,20.1M,,39.7K,71.4K
35,hoenest,@Hoenest,Humor &  Fun &  Happiness,3.8M,,213K,361.6K
36,harbhajan3,Harbhajan Turbanator Singh,Lifestyle,18.3M,,53.6K,70.2K
37,iamjonathanpeter,Jonathan Peter,Humor &  Fun &  Happiness,7.6M,,129.5K,170.4K
38,mdmotivator,𝐙𝐚𝐜𝐡𝐞𝐫𝐲 𝐃𝐞𝐫𝐞𝐧𝐢𝐨𝐰𝐬𝐤𝐢,Family,5.8M,,158.5K,223.6K
39,joerogan,Joe Rogan,Humor &  Fun &  Happiness,19.7M,,47.9K,65.7K
40,maxcomedian,Max Amini,Humor &  Fun &  Happiness,5.8M,,159.4K,206.6K
41,nitanshigoelofficial,𝐍itanshi Goel,Music,11.1M,,83.2K,101.8K
42,staystrongmotivated,STAY STRONG MOTIVATED,Humor &  Fun &  Happiness,1.1M,,645.8K,1M
43,immmoley,Moley the Molecule,Lifestyle,1.1M,,822.2K,982.3K
44,sainablogdaily,Sorayya Vahdatinia,Humor &  Fun &  Happiness,3.3M,,232K,322.2K
45,fuckjerry,FUCKJERRY,Humor &  Fun &  Happiness,16.8M,,49.3K,59.7K
46,yoleendadong,Leenda Dong,Humor &  Fun &  Happiness,5M,,156.4K,193K
47,themermaidscales,K R U T I K A 🔫,Lifestyle,8.3M,,99.5K,113.6K
48,shuapeck,Josh Peck,Art/ Artists,17M,,38.9K,53.7K
49,youngma,Young M.A,Lifestyle,6.9M,,77.4K,133.4K
50,blakewebber,BLAKE WEBBER,Humor &  Fun &  Happiness,1.6M,,272.7K,528.5K
