Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,nianaguerrero,niana,Music,15.5M,,280K,355.1K
2,vanessabryant,Vanessa Bryant 🦋👑🐍❤️,Sports with a ball,15.8M,,72.4K,96.6K
3,hayley.leblanc,Hayley Noelle LeBlanc,Kids &  Toys,4.1M,,223.9K,309.4K
4,everleighrose,Everleigh LaBrant,Kids &  Toys,4.9M,,131.9K,172.3K
5,lego,LEGO,Kids &  Toys,11.5M,,30.1K,36.6K
6,just.baby,Just baby,Kids &  Toys,11.4M,,24.6K,31.6K
7,chelseahouska,Chelsea DeBoer,Kids &  Toys,6.7M,,36.6K,50K
8,alyssafluellen,Alyssa Fluellen,Lifestyle,1.7M,,95.1K,126K
9,brittneyatwood,Brittney Atwood ♥️,Kids &  Toys,2.8M,,16.6K,28K
10,barbie,Barbie,Kids &  Toys,3.5M,,10.6K,17.4K
11,the.worden.fam,Leesa Worden,Travel,239.4K,,163.4K,235.8K
12,averyywoods,AVERY WOODS,Family,743.6K,,47.4K,75.1K
13,cutekidsfashion_,Baby Kids 👼🏼,Family,289.1K,,112K,129.6K
14,kcstauffer,Katie Anderson,Kids &  Toys,3.4M,,7.2K,13.6K
15,mccluretwins,Ava & Alexis,Kids &  Toys,2.5M,,13.2K,18.4K
16,huntersofhappiness,Elise Hunter | DIY & HOME,DIY &  Design,1.2M,,26.6K,34K
17,barbiestyle,Barbie®,Kids &  Toys,2.8M,,10.5K,14.2K
18,taytumandoakley,TAYTUM & OAKLEY FISHER,Kids &  Toys,3.1M,,8.8K,12K
19,tracyminajj,souljahwitch,Lifestyle,1.1M,,21.1K,31.3K
20,resilientrascals,"Dr. Anjuli Gans, MD • Child Health",Kids &  Toys,141.8K,,169.9K,187.4K
21,biglittlefeelings,Toddler Experts,Kids &  Toys,3.6M,,6.7K,7.9K
22,eudoxie,Eudoxie (Eh-dox-ee) Bridges,Kids &  Toys,1.4M,,12.7K,19.3K
23,clementstwins,Ava + Leah,Modeling,2.2M,,8.7K,11.9K
24,dr.beachgem10,Dr.Beachgem10,Kids &  Toys,2M,,9.3K,12K
25,retrotoyseller,Retro Toys,Kids &  Toys,751K,,21.1K,25.3K
26,kids.clip,Kids Clip,Shows,330K,,48.3K,57.2K
27,hottoyscollectibles,Hot Toys,Kids &  Toys,860.7K,,13K,15.9K
28,kingprincess69,King Princess,Music,754.6K,,13.6K,23.9K
29,keep.kids.busy,Best Kids Activities,Kids &  Toys,2.7M,,3.6K,5.2K
30,busytoddler,"Susie Allison, M. Ed | Busy Toddler",Kids &  Toys,2.4M,,5.2K,6K
31,saraplustwins,Sara,Family,582.5K,,16.4K,21.2K
32,leigh_mcnasty,Leigh McClendon,Kids &  Toys,958.9K,,9.9K,12.3K
33,rubin_allergy,"Zachary Rubin, MD",Kids &  Toys,891.6K,,10.4K,12.8K
34,takingcarababies,Taking Cara Babies: Baby and Toddler Sleep Expert,Family,2.8M,,3.8K,4.5K
35,sesamestreet,Sesame Street,Humor &  Fun &  Happiness,1.5M,,6.3K,7.9K
36,maya_abou_rouphael,Maya abou rouphael,Lifestyle,546.9K,,14.9K,29.3K
37,mothercould,Myriam Sandler,Family,1.6M,,5.5K,7K
38,lactamifera,Analia Caicedo|BLW y Lactancia,Family,117.7K,,59.7K,75K
39,solidstarts,Solid Starts,Family,3.7M,,2.4K,2.9K
40,madebygoogle,Made by Google,Photography,1.2M,,6.3K,7.8K
41,drsamcasey,Dr Sam Casey | Play Prescription®,Family,12K,,573.2K,1.1M
42,donteriohundon___,DONTERIO,Kids &  Toys,440K,,14.8K,23.3K
43,babydrill,Mr.Slimey🤧,Kids &  Toys,265.1K,,22.9K,31.2K
44,feedinglittles,"Feeding Littles - Megan McNamee MPH, RDN",Food &  Cooking,1.9M,,3.2K,4.1K
45,kidfriendly.meals,Min Kwon • Baby and Toddler Recipes,Food &  Cooking,1.3M,,5.7K,7.5K
46,yummytoddlerfood,Amy Palanjian,Sweets &  Bakery,1.5M,,4.4K,6.4K
47,toddlerscanread,Spencer Russell | Help Your Child Read,Education,2M,,2.3K,3K
48,ot.devotee,Akilina | Pediatric Occupational Therapist,Kids &  Toys,365.9K,,10.1K,12.7K
49,cutievideoo,Cutie Baby Video 🥰,Family,350K,,9.8K,11.9K
50,karrie_locher,"Karrie Locher | Mom-Baby Nurse, Breastfeeding, Postpartum",Family,818.6K,,4.2K,5.2K
