Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,ishowspeed,IShowSpeed,Lifestyle,29.7M,,5.2M,6.2M
2,kourtneykardash,Kourtney Kardashian Barker,Lifestyle,219.9M,,503.5K,714.4K
3,haileybieber,Hailey Rhode Bieber,Lifestyle,54.3M,,1.9M,2.3M
4,vinijr,Vinicius Jr. ⚡️🇧🇷,Sports with a ball,52.8M,,1.6M,2.1M
5,virginia,Virginia Fonseca Serrão Costa,Shows,53M,,1.3M,2M
6,jennaortega,Jenna Ortega,Cinema &  Actors/actresses,37.6M,,1.5M,2.5M
7,rohitsharma45,Rohit Sharma,Sports with a ball,42M,,1.6M,1.8M
8,judebellingham,Jude Bellingham,Lifestyle,38.6M,,1.5M,1.8M
9,gigihadid,Gigi Hadid,Modeling,77.4M,,624.2K,885.9K
10,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 🇮🇳,Shows,28.4M,,2.1M,2.2M
11,katarinabluu,KARINA,Lifestyle,23.7M,,2.1M,2.6M
12,sydney_sweeney,Sydney Sweeney,Lifestyle,23.6M,,1.6M,2.1M
13,rebecarandrade,Rebeca Andrade🤍🦋,Lifestyle,11.2M,,1.8M,4.4M
14,carlinhos,,Lifestyle,33.7M,,527.8K,804.2K
15,samantharuthprabhuoffl,Samantha,Beauty,37M,,614.4K,711.3K
16,sadiesink_,Sadie Sink,Modeling,25M,,681.4K,1M
17,vickykaushal09,Vicky Kaushal,Lifestyle,20.3M,,1.1M,1.3M
18,kimberly.loaiza,KIM LOAIZA 🇲🇽,Clothing &  Outfits,38M,,448K,640.2K
19,enhypen,ENHYPEN,Lifestyle,18.6M,,1M,1.2M
20,centralcee,📲,Lifestyle,13.8M,,1.2M,1.5M
21,hytalosantos,Hytalo Santos,Lifestyle,17.3M,,711K,1.2M
22,nikolasferreiradm,Nikolas Ferreira,Lifestyle,17.2M,,790.6K,1.2M
23,wi__wi__wi,위하준 Wi Ha Jun,Lifestyle,12.5M,,1M,1.5M
24,rodrygogoes,Rodrygo Goes - RG 💜⚡️🇧🇷,Lifestyle,21.2M,,642.4K,879.4K
25,mariamgrigoryanofficial,Mariam Grigoryan,Lifestyle,18M,,462.1K,1M
26,xeesoxee,한소희,Lifestyle,17.2M,,843.6K,1M
27,momo,모모 (MOMO),Lifestyle,15.1M,,973.1K,1.2M
28,for_everyoung10,장원영 WONYOUNG,Lifestyle,14.1M,,1M,1.3M
29,jaspritb1,jasprit bumrah,Lifestyle,19.3M,,747.5K,838.4K
30,sachintendulkar,Sachin Tendulkar,Sports with a ball,50M,,258.7K,305K
31,onyourm__ark,Mark,Lifestyle,12.8M,,949.2K,1.2M
32,davido,Davido,Music,29.5M,,357.5K,515.2K
33,losangelesconfidential,The Game,Lifestyle,13.7M,,533.9K,1.1M
34,kristenhanby,Kristen Hanby,Humor &  Fun &  Happiness,7.6M,,1.4M,1.9M
35,_zyozyo,JIHYO,Lifestyle,11M,,1.1M,1.3M
36,holyhaein,정해인,Lifestyle,14.5M,,799.7K,957.1K
37,pesopluma,La Doble P,Lifestyle,15M,,709.6K,893.4K
38,erling,Erling Braut Haaland,Lifestyle,38.4M,,269.1K,346.8K
39,hoooooyeony,Hoyeon,Lifestyle,18.6M,,403.2K,700.2K
40,miakhalifa,Mia K.,Fitness &  Gym,26.1M,,327.4K,498.2K
41,do0_nct,Doyoung,Lifestyle,11.8M,,921.9K,1.1M
42,39saku_chan,Sakura Miyawaki,Lifestyle,10.8M,,924.7K,1.1M
43,dishapatani,disha patani (paatni) 🦋,Cinema &  Actors/actresses,61.4M,,164.1K,198.7K
44,m.by__sana,사나 𝚂𝚊𝚗𝚊,Lifestyle,12.3M,,804.5K,976.7K
45,charlidamelio,charli,Lifestyle,42.7M,,196.9K,261.7K
46,colorful,Best Memes,Lifestyle,7.4M,,988.1K,1.5M
47,nayeonyny,나연 (NAYEON),Lifestyle,12.5M,,671.3K,860K
48,wanda_nara,Wanda Nara,Lifestyle,17.5M,,350.2K,619.4K
49,lucasranngel,LUCAS RANGEL,Lifestyle,24M,,299.2K,440.8K
50,clean_0828,김세정,Lifestyle,12.1M,,726.2K,868.6K
