Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,lamborghini,Lamborghini,Luxury,36.9M,,202.2K,246.1K
2,ferrari,Ferrari,Luxury,31.2M,,113.3K,141.9K
3,bugatti,BUGATTI,Cars &  Motorbikes,24.3M,,134.8K,166.5K
4,mercedesbenz,Mercedes-Benz,Cars &  Motorbikes,39.2M,,30.8K,37.6K
5,ifuckinglovewatches,IFLW,Fashion,1.2M,,853.1K,1.1M
6,rolex,ROLEX,Luxury,17M,,35.1K,42.6K
7,maserati,Maserati,Luxury,14.7M,,36.1K,45.4K
8,versace,Versace,Accessories &  Jewellery,30M,,14.4K,18.7K
9,mclarenauto,McLaren Automotive,Cars &  Motorbikes,10.6M,,41.1K,49.4K
10,rollsroycecars,Rolls-Royce Motor Cars,Cars &  Motorbikes,10.8M,,39.7K,48.6K
11,astonmartin,Aston Martin,Cars &  Motorbikes,12.1M,,27.3K,33.9K
12,bentleymotors,Bentley Motors,Cars &  Motorbikes,11M,,27.3K,34.4K
13,cartier,Cartier Official,Accessories &  Jewellery,15.4M,,17.4K,22.1K
14,bmwm,BMW M GmbH,Cars &  Motorbikes,10.7M,,25.5K,30.4K
15,mega_mansions,Mega Mansions,Luxury,4M,,50.8K,70.5K
16,tiffanyandco,Tiffany & Co.,Accessories &  Jewellery,16.5M,,11.9K,15.5K
17,lakilemofficial,Queen,Luxury,1.4M,,65.6K,149.9K
18,bvlgari,BVLGARI Official,Accessories &  Jewellery,14.3M,,8.3K,10.7K
19,corvette,Corvette,Cars &  Motorbikes,4.1M,,29.1K,35.9K
20,trillionaireestates,Luxury⚜️Mansions⚜️Architecture ⚜️ Travel,Luxury,357.4K,,226.5K,278.7K
21,sevgierenofficial,Sevgi Eren سفقي,Lifestyle,1.8M,,29.3K,51.5K
22,jacobandco,JACOB & CO.,Luxury,6M,,11K,14.7K
23,its.all.about.luxe,𝐈𝐓𝐒𝐀𝐋𝐋𝐀𝐁𝐎𝐔𝐓𝐋𝐔𝐗𝐄 𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋,Luxury,255.3K,,212.8K,248.9K
24,onlyforluxury,OnlyForLuxury,Lifestyle,4.1M,,12.3K,16.7K
25,jasonoppenheim,Jason Oppenheim,Architecture &  Urban  Design,1.6M,,23.8K,40.8K
26,bilalrehman,Bilal Rehman,Lifestyle,457.2K,,97.7K,168.2K
27,sellerofjewels,David’s House of Diamonds,Accessories &  Jewellery,342.6K,,109.8K,152.2K
28,traxnyc,TRAX NYC,Luxury,2.6M,,12.3K,19.5K
29,lexususa,Lexus,Luxury,5.2M,,6K,7.6K
30,omega,OMEGA,Luxury,4.3M,,7.2K,8.9K
31,mercedesmaybach,Mercedes-Maybach,Luxury,1.8M,,16.1K,20.2K
32,luxe.services.official,Luxe,Luxury,844.1K,,29.5K,48.2K
33,lexanimotorcars,Lexani Motorcars,Cars &  Motorbikes,832.4K,,28.1K,39.8K
34,fabrilemus,Fabri Lemus,Travel,3.9M,,3.7K,8.2K
35,billionairehouse,Luxury Real Estate,Luxury,706.8K,,27.8K,43.2K
36,mosesjewelry,Moses The Jeweler 💎,Luxury,1.5M,,12.8K,18.4K
37,x0x0debs,Debbie,Luxury,685.1K,,27.5K,49.3K
38,oc_superyachts,Oliver Cross,Luxury,66.5K,,284.2K,412.1K
39,vossen,VOSSEN WHEELS,Cars &  Motorbikes,2.3M,,6.9K,9.3K
40,mansory_cz,Mansory CZ,Cars &  Motorbikes,710.9K,,20.9K,27.1K
41,oorejewelry,Uma | Engagement Rings,Accessories &  Jewellery,1.1M,,15.6K,19.1K
42,thegoodlifeinc,The Good Life Inc.,Fashion,1.8M,,6.8K,11.4K
43,thekrazybutterfly,Veidehi Gite,Luxury,1.1M,,8.1K,18.8K
44,alina.emerly,Alina Emelianenko,Lifestyle,90.2K,,155.9K,211.3K
45,goodlife,GOODLIFE,Lifestyle,3.2M,,4.2K,5.3K
46,maestrosjoyeros,Maestros Joyeros,Luxury,1M,,11.8K,16.4K
47,andreavetrano,Andrea Vetrano,Luxury,1M,,9.6K,15.5K
48,patekphilippe,Patek Philippe,Accessories &  Jewellery,2.3M,,5.8K,7.1K
49,bmwusa,BMW USA,Cars &  Motorbikes,4.3M,,2.7K,3.6K
50,audemarspiguet,Audemars Piguet,Luxury,3.3M,,3.7K,4.6K
