Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers &  Gadgets,22.2M,,1.4M,1.6M
2,techineer,Techineer 🛠,Computers &  Gadgets,2M,,555.6K,728.2K
3,spacex,SpaceX,Science,17.2M,,61.2K,73.2K
4,brawlstars,Brawl Stars,Machinery &  Technologies,7.1M,,127.5K,150.7K
5,loudgg,LOUD,Lifestyle,11.8M,,56.7K,77.2K
6,teslamotors,Tesla,Cars &  Motorbikes,9.7M,,61.4K,80.5K
7,wasted,WASTED,Computers &  Gadgets,15.2M,,22K,26.1K
8,ninja,Tyler “Ninja” Blevins,Computers &  Gadgets,12.4M,,15K,23.7K
9,emirates,Emirates,Travel,7.9M,,28.5K,36.3K
10,xbox,Xbox,Computers &  Gadgets,13.3M,,13.4K,17.2K
11,pokemon,Pokémon,Computers &  Gadgets,5.3M,,31.2K,38.1K
12,clashofclans,Clash of Clans,Computers &  Gadgets,6.2M,,17K,20.1K
13,airforce_worldwide,Airforce Worldwide,Machinery &  Technologies,718.4K,,106.4K,136.3K
14,nintendoamerica,Nintendo of America,Computers &  Gadgets,7.8M,,11.7K,13.9K
15,gamingbible,GAMINGbible,Computers &  Gadgets,1.9M,,48.4K,57.5K
16,ubisoft,Ubisoft,Computers &  Gadgets,8M,,10.5K,13.6K
17,mobilelegendsgame,Mobile Legends: Bang Bang,Computers &  Gadgets,11.2M,,4.9K,5.6K
18,airbus,Airbus,Machinery &  Technologies,2.5M,,20.8K,24.8K
19,sonyelectronics,Sony Electronics,Computers &  Gadgets,8.2M,,5.4K,7.1K
20,djiglobal,DJI,Machinery &  Technologies,4.9M,,9.2K,11.8K
21,_engineering_community,Engineering Community 🌏,Computers &  Gadgets,327.9K,,115.5K,146.5K
22,forrtnite,Fortnite News,Computers &  Gadgets,1.9M,,21.7K,27.9K
23,razer,RΛZΞR,Gaming,7.4M,,4.6K,6.6K
24,usairforce,U.S. Air Force,Machinery &  Technologies,2.7M,,13.7K,17.4K
25,net_mechanics,viralnetmechanics,Machinery &  Technologies,153.4K,,198.4K,270.9K
26,eldenring,ELDEN RING,Computers &  Gadgets,621.6K,,48.3K,58.3K
27,playoverwatch,Overwatch,Computers &  Gadgets,1.9M,,17.3K,21.3K
28,naughty_dog_inc,Naughty Dog,Computers &  Gadgets,1.4M,,21.2K,26K
29,coinmasterofficial,Coin Master,Computers &  Gadgets,9.6M,,4K,5.9K
30,nvidiageforce,NVIDIA GeForce,Computers &  Gadgets,2.8M,,9.1K,10.7K
31,boeing,The Boeing Company,Machinery &  Technologies,1.8M,,12.5K,15.2K
32,inteldeveloperzone,Intel Software Developer Zone,Computers &  Gadgets,401.1K,,45.9K,61.8K
33,funnygamevidz,Funnygamevidz,Computers &  Gadgets,1.3M,,13.4K,18.2K
34,cooperthepilot,𝗖𝗢𝗢𝗣𝗘𝗥,Machinery &  Technologies,122.3K,,141.1K,200.3K
35,hergun1insaat,Her Gün 1 İnşaat Terimi,Architecture &  Urban  Design,10.7M,,1.5K,2.2K
36,nasasolarsystem,NASA Solar System Exploration,Science,2.5M,,7.2K,9.5K
37,lockheedmartin,Lockheed Martin,Machinery &  Technologies,920.6K,,17.2K,21.7K
38,technology,Technology,Computers &  Gadgets,4.6M,,3K,4.7K
39,nvidia,NVIDIA,Computers &  Gadgets,2.3M,,6.4K,7.3K
40,usnavy,US Navy,Machinery &  Technologies,2.3M,,6K,7.2K
41,combat_learjet,Combat learjet,Machinery &  Technologies,1.7M,,7.7K,9.6K
42,united,United Airlines,Machinery &  Technologies,1.2M,,9.3K,12.5K
43,assassinscreed,Assassin's Creed,Computers &  Gadgets,1.6M,,7.8K,9.3K
44,wwegames,WWE 2K,Computers &  Gadgets,1.4M,,7.3K,10.5K
45,big_seans_aviation,Sean Phillips,Machinery &  Technologies,161.4K,,57.8K,83.3K
46,johndeere,John Deere,Machinery &  Technologies,1.3M,,8.4K,9.9K
47,megaaviation,MEGA Aviation,Machinery &  Technologies,345.8K,,23.2K,28.5K
48,samchui,Sam Chui,Machinery &  Technologies,926.2K,,8.5K,10.6K
49,alia,Alastair (Ali-A),Computers &  Gadgets,2.1M,,3.2K,5.4K
50,techcouncillor,Technology Councillor,Computers &  Gadgets,54.7K,,128.2K,151.7K
