Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,wisdm,Wisdom Kaye,Lifestyle,6.9M,,402.7K,515.5K
2,timeinvestors,Business | Mindset & Healthy Lifestyle,Business &  Careers,3.5M,,521.4K,664K
3,therealkylesister,KYLESISTER,Beauty,6M,,162.8K,258K
4,jessiej,Jessie J,Music,13.9M,,61.2K,96.1K
5,farahjmerhi,Farah Merhi,DIY &  Design,7.4M,,68.1K,95.6K
6,iamrollierez,Rollie,Family,5.5M,,58.7K,124.6K
7,successowner,Mindset | Success & Business,Management &  Marketing,1.7M,,272.4K,378.3K
8,7millionaire_lines,Motivation |Success |Business,Literature &  Journalism,532.2K,,814.3K,1M
9,imangadzhi,Iman Gadzhi,Management &  Marketing,2.1M,,214.6K,266.6K
10,limitless,Jas Mathur,Business &  Careers,11.5M,,21.6K,45.8K
11,joeyswoll,Joey Swoll,Fitness &  Gym,4.9M,,71.2K,107.4K
12,clarencenyc,Clarence White,Music,3.2M,,78.8K,139.7K
13,successaddictives,Success Addictives,Business &  Careers,3.4M,,79.6K,101.6K
14,billionaire_word,Business | Motivation | Success,Shows,742.7K,,277.1K,340.3K
15,onlinebusinessinc,Online Business Inc,Lifestyle,192.3K,,977.2K,1.4M
16,incomehacks.in,Business | Motivation | Growth,Literature &  Journalism,616K,,292K,480.2K
17,lakilemofficial,Queen,Luxury,1.4M,,65.6K,149.9K
18,entrepreneursquote,Business & Entrepreneur,Business &  Careers,1.6M,,98K,126K
19,jasonaldean,Jason Aldean,Music,4.5M,,35K,42.9K
20,ashnikko,ashnikko,Music,1.8M,,78.3K,105.1K
21,kristincavallari,Kristin Cavallari,Family,4.9M,,26K,34.2K
22,mayshadwoman,Nezha Alaoui,Family,3M,,16.8K,50.8K
23,lemaa.official,Máté Lennert,Management &  Marketing,1.4M,,60.3K,98.2K
24,jodiewoods,Jodie Woods ✨,Beauty,1.5M,,51.2K,85.5K
25,successprofessional,Business | Motivation | Media,Business &  Careers,517.3K,,140.1K,171.2K
26,theasherhouse,Lee Asher,Animals,2.1M,,37.5K,48.3K
27,marines,United States Marine Corps,Finance &  Economics,2.7M,,25.9K,31.8K
28,0day,Ryan M. Montgomery,Management &  Marketing,1.1M,,39.2K,72.7K
29,kuma_power,Hikaru Utada,Music,1.1M,,58.1K,72.9K
30,alexoficial,Alejandro Fernández,Music,4.9M,,12K,16.4K
31,crown.records_,CROWN RECORDS 👑,Management &  Marketing,5.2M,,11.3K,14.2K
32,theonlyjerzey,Jevon Goldson,Music,40.3K,,1.5M,2.8M
33,therealswizzz,Swizz Beatz,Family,4.9M,,7.6K,12.7K
34,successfoundation,Eric Ellis | Make Money Online | Digital Marketing,Literature &  Journalism,921K,,45K,61.1K
35,steveaoki,Steve Aoki,Music,11.7M,,3.8K,5.1K
36,jai_nice,Jai Nice,Lifestyle,2.6M,,13.8K,23.3K
37,hormozi,Alex Hormozi,Lifestyle,3.3M,,14.3K,18.1K
38,businessunions,Money | Business | Wealth | AI,Business &  Careers,991.1K,,35.8K,47.4K
39,sierra_glamshop_,Sierra Glamshop,Shows,2.7M,,10K,18.6K
40,uchemba_,Uche Mba (ONLY PAGE),Management &  Marketing,1.8M,,15.3K,26.2K
41,filmygyan,F I L M Y G Y A N,Cinema &  Actors/actresses,27.2M,,1.4K,1.8K
42,trinarockstarr,katrina,Shows,5M,,5.5K,9.8K
43,miami._life,MIAMI LIFE ~ ABHAY,Management &  Marketing,1.1M,,30.3K,41.2K
44,gracebeverley,grace,Sports with a ball,1.1M,,31.5K,40.3K
45,fuckinggoodmovies,Movies,Cinema &  Actors/actresses,2.8M,,12.1K,15.2K
46,brancorodrigo,Rodrigo Branco,Shows,2.7M,,6.8K,14.3K
47,larryjunetfm,UNCLE LARRY 🍊,Lifestyle,916.2K,,29.1K,43.6K
48,businessgrowthmentor,Business Growth Mentor ™,Crypto,2.7M,,9.2K,12K
49,eyesneverliechico,🌑🕸🌕⚔🍷🗝,Cinema &  Actors/actresses,2M,,13.2K,15.6K
50,cruzcontrolentertainmentinc,Ricardo Cruz,Family,1.3M,,9.7K,24.3K
