Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,jj_mobile_world,JJ Communication,Mobile related,35.6M,,698K,794.2K
2,zamzam_electronicss_trading,Abdul Ghafoor,Mobile related,20.9M,,19.8K,23.8K
3,mkbhd,Marques Brownlee,Mobile related,5M,,58.4K,70.5K
4,mobigraphers__,MOBIGRAPHERS™ • Mobile Photography,Photography,4.6M,,30.7K,37.7K
5,facebook,Facebook,Computers &  Gadgets,5.8M,,13.9K,17.8K
6,appledsign,Niels | Apple & iPhone Expert,Mobile related,4.6M,,6.8K,8.4K
7,pokemongoapp,Pokémon GO,Computers &  Gadgets,2.5M,,9.7K,11.3K
8,theapplehub,Apple Hub,Mobile related,1M,,20.9K,25.9K
9,android,Android,Mobile related,1.6M,,5.5K,6.8K
10,appletechig,APPLE TECH IG,Mobile related,1.3M,,4.5K,5.9K
11,homescapes_mobile,Homescapes,Computers &  Gadgets,5.4M,,996,1.3K
12,samsung,Samsung,Computers &  Gadgets,2.2M,,2.3K,3K
13,iphone_photography_school,iPhone Photography School,Photography,4.3M,,949,1.1K
14,wildflowercases,Wildflower Cases,Mobile related,769.1K,,3.3K,4.3K
15,lg_global,LG Global,Mobile related,813.6K,,2.6K,3.3K
16,alianzarecords__,𝐀𝐥𝐢𝐚𝐧𝐳𝐚 𝐑𝐞𝐜𝐨𝐫𝐝𝐬 🪬,Mobile related,205.3K,,9.2K,12K
17,applesfresh,Apples Fresh,Mobile related,656.7K,,2.9K,4K
18,letsdodizz,MILAD ALEMI,Mobile related,2.3M,,905,1.1K
19,verge,The Verge,Mobile related,1.6M,,1.1K,1.3K
20,bitlifeapp,BitLife,Mobile related,1.1M,,1.2K,1.7K
21,gabbwireless,Gabb,Family,296.8K,,4.4K,5.7K
22,nikiasmolina,Nikias Molina Duran,Mobile related,344.4K,,3.5K,4.5K
23,thetechchap,Tom | The Tech Chap,Mobile related,295.3K,,2.9K,3.6K
24,paulfenggadgets,PAUL FENG PREMIUM ACCESSORIES,Mobile related,66.7K,,9.5K,11.9K
25,ryankennedyig,Ryan Kennedy,Computers &  Gadgets,555.1K,,1.1K,1.3K
26,appleiblog,⠀⠀  mats ransdorf :: apple pro | visual arts & mÆgic,Mobile related,257.7K,,2.1K,2.8K
27,verizon,Verizon,Computers &  Gadgets,311.3K,,1.6K,2.1K
28,danielsin,Daniel Sin,Shows,479.6K,,1.1K,1.3K
29,samsungmobileusa,Samsung Mobile USA,Mobile related,1.4M,,354,473
30,marcianotech_,MARCIANOTECH,Shows,420K,,1K,1.5K
31,bravetech.ai,Thiago Derminio | Smart Tips ⚡️,Mobile related,429.8K,,820,1.1K
32,superscientific,Danny Winget,Mobile related,438K,,768,970
33,booredatwork,Enobong Etteh,Mobile related,262.1K,,1.2K,1.6K
34,snapdragonofficial,Snapdragon,Mobile related,381.3K,,729,903
35,macrumors,MacRumors,Mobile related,168.5K,,1.6K,1.9K
36,get.casely,CASELY,Shopping &  Retail,308.3K,,926,1.4K
37,9to5mac,9to5Mac,Mobile related,157.7K,,1.6K,2K
38,9techeleven,9TechEleven Apple-News,Mobile related,152.1K,,1.5K,1.9K
39,techno_gadge,Techno-Gadget,Computers &  Gadgets,1.1M,,186,268
40,applecycle,Apple Cycle | News & Rumors,Mobile related,86.7K,,2.4K,2.7K
41,celllinkspk,Cell Links,Mobile related,211.7K,,925,1K
42,i_solution_mobile,Wasim Khan,Mobile related,122K,,1.4K,1.6K
43,thelightphone,The Light Phone ✨,Mobile related,110K,,1.6K,2.1K
44,bhphoto,B&H Photo,Photography,592.5K,,286,401
45,kanga_mokotz,utamu_utamu,Mobile related,697.8K,,213,519
46,richontech,Rich DeMuro,Cars &  Motorbikes,174.6K,,704,873
47,motorolaus,Motorola US 📞,Mobile related,389.8K,,307,456
48,carboledaco,Carlos Arboleda Conde / Publicista,Mobile related,388.9K,,273,375
49,mohamed_designss,.,Mobile related,93.8K,,869,1K
50,ayush_mobile_sakti,Ayush Mobile ,Mobile related,51.5K,,1.6K,1.9K
