Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,kyliejenner,Kylie,Fashion,394.5M,,1.6M,2.2M
2,kendalljenner,Kendall,Modeling,289.3M,,2M,2.6M
3,haileybieber,Hailey Rhode Bieber,Lifestyle,54.3M,,1.9M,2.3M
4,gigihadid,Gigi Hadid,Modeling,77.4M,,624.2K,885.9K
5,bellahadid,Bella 🦋,Modeling,61.3M,,756.7K,967.6K
6,antonelaroccuzzo,Antonela Roccuzzo,Modeling,40M,,495.7K,684.6K
7,samantharuthprabhuoffl,Samantha,Beauty,37M,,614.4K,711.3K
8,sadiesink_,Sadie Sink,Modeling,25M,,681.4K,1M
9,adrianalima,Adriana Lima,Modeling,19.7M,,830.1K,1.1M
10,simonettalein,Simonetta Lein,Beauty,22.6M,,505.4K,747.6K
11,kritisanon,Kriti Sanon 🦋,Modeling,58.5M,,216.5K,255.7K
12,emrata,Emily Ratajkowski,Modeling,29.5M,,346K,501.6K
13,ranveersingh,Ranveer Singh,Cinema &  Actors/actresses,47.6M,,184.1K,221.7K
14,twicetagram,TWICE,Music,29.6M,,290.8K,346K
15,kingbach,King Bach,Music,26M,,276K,393.6K
16,heybiblee,이성경,Modeling,15.2M,,534K,665.6K
17,realbarbarapalvin,Barbara Palvin,Modeling,20.9M,,369.4K,473.7K
18,hannahstocking,Hannah Stocking,Modeling,26.9M,,267.6K,355.3K
19,marktuan,Mark Tuan,Music,13.9M,,542.7K,678.2K
20,gisele,Gisele Bündchen,Modeling,23.2M,,263K,380.4K
21,irinashayk,irina shayk,Modeling,23.8M,,281.9K,358.2K
22,parishilton,Paris Hilton,Modeling,26.8M,,205.7K,305.2K
23,sidmalhotra,Sidharth Malhotra,Cinema &  Actors/actresses,30.4M,,234.6K,267.4K
24,nidhhiagerwal,Nidhhi Agerwal 🌟,Gaming,30.2M,,158.7K,252.4K
25,anyataylorjoy,Anya Taylor-Joy,Modeling,11.8M,,472.9K,631.3K
26,victoriajustice,Victoria Justice,Music,24.6M,,205.9K,294.1K
27,mr_faisu_07,FAISAL SHAIKH,Modeling,33.2M,,176K,200.6K
28,nct_dream,NCT DREAM OFFICIAL,Music,13.1M,,406.1K,473.8K
29,rosiehw,Rosie HW,Modeling,20.6M,,215.4K,291.9K
30,laurenlondon,Lauren London,Cinema &  Actors/actresses,10.6M,,351.3K,552.8K
31,iamyanetgarcia,Yanet Garcia 🇲🇽,Cinema &  Actors/actresses,14.3M,,249.4K,400.5K
32,sommerray,Sommer Ray,Modeling,23.7M,,162.9K,237.7K
33,caradelevingne,Cara Delevingne,Modeling,40.8M,,71.4K,123.1K
34,sonamkapoor,Sonam A Kapoor,Fashion,34.9M,,99.8K,137.5K
35,ciara,Ciara,Music,35.5M,,95.4K,135.6K
36,yuyacst,Yuya,Modeling,16.3M,,225.8K,292.4K
37,gioewbank,Giovanna Ewbank,Cinema &  Actors/actresses,29.3M,,103.1K,157.5K
38,hi_sseulgi,슬기 Seulgi,Modeling,12.8M,,280.4K,349.2K
39,joeyking,Joey King,Music,18.3M,,151.7K,236.7K
40,jadepicon,JADE,Modeling,21.7M,,117.4K,197.2K
41,daniellachavezofficial,Daniella Chávez,Beauty,18.9M,,118.4K,207.2K
42,maddieziegler,maddie,Cinema &  Actors/actresses,13.4M,,195.3K,288.8K
43,lizasoberano,Liza Soberano,Beauty,18.1M,,173K,206.5K
44,troyesivan,troye sivan,Art/ Artists,15.6M,,171.4K,225.2K
45,itsmeleighton,Leighton Meester,Music,7.5M,,381.8K,474.7K
46,nicolebahls,Nicole Bahls,Modeling,29.3M,,58.8K,106.4K
47,leaelui,Lea Elui G,Modeling,10.5M,,224.4K,295.1K
48,lacikaysomers,Laci Kay Somers,Music,11.9M,,138.8K,260.4K
49,ludacris,Ludacris,Music,20.7M,,104.3K,142.9K
50,egupta,Esha Gupta,Lifestyle,19.9M,,102.8K,142.7K
