Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,selenagomez,Selena Gomez,Photography,421.7M,,2.6M,3.4M
2,billieeilish,BILLIE EILISH,Music,122.9M,,3.6M,4.9M
3,justinbieber,Justin Bieber,Music,294.7M,,1.4M,1.7M
4,beyonce,Beyoncé,Music,312.8M,,809.2K,1.4M
5,iamcardib,Cardi B,Music,164.2M,,1M,1.7M
6,badgalriri,badgalriri,Music,150M,,1.2M,1.8M
7,arianagrande,Ariana Grande,Music,376.4M,,504.1K,675.8K
8,jennierubyjane,J,Music,86.2M,,2.2M,2.7M
9,jin,Jin of BTS,Music,49.9M,,3.4M,4.3M
10,mileycyrus,Miley Cyrus,Music,213.3M,,601.8K,837.3K
11,uarmyhope,jhope,Art/ Artists,50.4M,,2.7M,3.5M
12,roses_are_rosie,ROSÉ,Music,83.1M,,1.6M,1.9M
13,dualipa,DUA LIPA,Music,87.4M,,1.4M,1.8M
14,sabrinacarpenter,Sabrina Carpenter,Music,44.9M,,2.7M,3.5M
15,badbunnypr,Benito Antonio,Music,47.2M,,2.4M,3.3M
16,sooyaaa__,JISOO🪐,Music,79.8M,,1.6M,2M
17,champagnepapi,champagnepapi,Music,143.5M,,751.5K,983.6K
18,zayn,Zayn Malik,Music,53.9M,,1.9M,2.4M
19,brunomars,Bruno Mars,Music,41.9M,,2.2M,2.9M
20,oliviarodrigo,Olivia Rodrigo,Music,38.6M,,2.4M,3.1M
21,travisscott,flame,Music,58.9M,,1.4M,1.9M
22,theweeknd,Abel,Music,76.7M,,1.2M,1.5M
23,jlo,Jennifer Lopez,Music,249.3M,,248K,357.9K
24,ddlovato,Demi Lovato,Music,153.9M,,408.7K,570.8K
25,shakira,Shakira,Music,91.2M,,605.9K,813.2K
26,madisonbeer,Madison Beer,Music,39.2M,,1.4M,1.8M
27,kendricklamar,Kendrick Lamar,Music,19.3M,,2.7M,3.6M
28,shawnmendes,Shawn Mendes,Music,71.4M,,669.4K,961.1K
29,ladygaga,Lady Gaga,Music,58.4M,,764.7K,1M
30,maluma,MALUMA,Music,64.2M,,667.1K,889.9K
31,anuel,“REAL HASTA LA MUERTE”,Music,38.4M,,1M,1.4M
32,camila_cabello,c,Music,64.4M,,597.5K,806.4K
33,princessyahrini,SYAHRINI,Music,45.4M,,849.3K,1.1M
34,rebecarandrade,Rebeca Andrade🤍🦋,Lifestyle,11.2M,,1.8M,4.4M
35,lelepons,Lele Pons,Music,53.6M,,610.1K,871K
36,feliciathegoat,"Tyler, The Creator",Music,16.7M,,2.1M,2.6M
37,tyga,T-Raww,Music,46.5M,,591.8K,921.2K
38,page.soobin,SOOBIN Of TXT,Music,14M,,2.7M,3M
39,cazzu,cazzu,Music,17.5M,,1.7M,2.3M
40,sza,SZA,Music,23M,,1.2M,1.7M
41,daddyyankee,Daddy Yankee,Music,51.3M,,541.6K,749.4K
42,jacksonwang852g7,Jackson Wang,Music,32.5M,,882.3K,1.1M
43,6ix9ine,,Music,25.2M,,843.2K,1.5M
44,teddysphotos,Ed Sheeran,Music,48.6M,,599.7K,736.9K
45,rauwalejandro,Raúl Alejandro,Music,20.5M,,1.2M,1.6M
46,theestallion,Megan Thee Stallion,Music,32.8M,,606.8K,917.4K
47,niallhoran,Niall Horan,Music,34.5M,,491.5K,854.3K
48,chrisbrownofficial,BROWN,Music,144.6M,,132.9K,199K
49,katyperry,KATY PERRY,Music,204.8M,,100.3K,138.7K
50,blackpinkofficial,BLΛƆKPIИK,Music,57.4M,,377.2K,481.6K
