Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,moneybaggyo,SPEAK,Lifestyle,10.3M,,356.9K,602.5K
2,thecompletefacts,Facts,Finance &  Economics,1.7M,,423.1K,760.1K
3,summerwalker,,Music,6.4M,,116.8K,174K
4,theschoolofhardknockz,The School Of Hard Knocks,Crypto,4.7M,,125.1K,162.1K
5,bringmethehorizon,ʙʀɪɴɢ ᴍᴇ ᴛʜᴇ ʜᴏʀɪᴢᴏɴ,NFT,3.9M,,136.6K,166.3K
6,lightskinkeisha,BigBankBeisha 🏦,NFT,3M,,74.2K,139.9K
7,tommyswanhaus,Tommy Swanhaus,NFT,3.4M,,39K,122.1K
8,aleksey__n,Ⲁⳑⲉⲕ⳽ⲉⲩ,Art/ Artists,1.4M,,121.1K,201.6K
9,scooby,Scooby,Lifestyle,1M,,153.7K,256.3K
10,mpr_riche_rich,ERROL MPR RICHE RICH SCOTT,Music,5.5M,,21.5K,44.7K
11,nathanwpylestrangeplanet,Strange Planet,NFT,6.4M,,22.4K,27.3K
12,eloyriverax,𝕰𝖑𝖔𝖞 𝕽𝖎𝖛𝖊𝖗𝖆 💀,Crypto,1.9M,,44.6K,90.2K
13,creators,Instagram’s @Creators,Shows,19.7M,,6.5K,8.3K
14,mylatkachenko,Liudmyla Tkachenko,Lifestyle,2M,,27.3K,62.7K
15,middleclassfancy,Middle Class Fancy,Lifestyle,3.3M,,27K,32.5K
16,thealixlapri,Alix Lapri,NFT,1.3M,,45K,76.1K
17,cole,Jeff Cole,Lifestyle,1.1M,,48.9K,85.1K
18,d.sturdy.__,D Sturdy,Lifestyle,1.1M,,31.4K,78.8K
19,theclassypeople,The Classy People,Family,813.1K,,68.2K,112.3K
20,moneyman,Money,NFT,1.7M,,23.7K,34.3K
21,ambre_ai,Ambre Donadio,Music,522.1K,,70.8K,88.1K
22,nationofthefearless,𝗡𝗔𝗧𝗜𝗢𝗡 𝗢𝗙 𝗧𝗛𝗘 𝗙𝗘𝗔𝗥𝗟𝗘𝗦𝗦🦁,Business &  Careers,320.4K,,107.7K,176.9K
23,kiracyan.design,Kira Cyan Rittgers,Art/ Artists,729.2K,,43.9K,57.9K
24,anchoponcho,Ancho | Annie Choi,Comics & sketches,587.8K,,47.6K,60.2K
25,patspicks,Patrick J Mancini,Crypto,1M,,23.1K,37.8K
26,candle_community,,NFT,1M,,23.1K,36.1K
27,australians.icon,Lets Grow Australia,NFT,1.8M,,13.7K,20K
28,davidszauder,David Szauder,Art/ Artists,812.9K,,30.6K,40.3K
29,andru_lf,Andru :D,Comics & sketches,364.1K,,55.4K,67.2K
30,umikochannart,umikochannart 🧼💀,Art/ Artists,334.8K,,57.6K,75.1K
31,memgrizz,Memphis Grizzlies,Sports with a ball,2.1M,,8.6K,11.2K
32,darcydonavan,Darcy Donavan,Lifestyle,2.2M,,4.2K,10.5K
33,euniwong,Eunicorn 🧿🦄,Travel,744.3K,,23.6K,37.3K
34,jesse_martin_,Jesse Martin,Comics & sketches,959.8K,,16.1K,19.9K
35,intersectional.abc,emma 🇹🇼*🇺🇸,NFT,88.9K,,168.7K,315.7K
36,businessbulls.in,Business Bulls,Business &  Careers,967.2K,,15.5K,20.1K
37,lovesikart,LOVESIK♡,Comics & sketches,262.2K,,55K,65.5K
38,danjocapital,Danilo Rivera,Business &  Careers,1.1M,,9.5K,18.9K
39,mj.majcha,mj.majcha,Comics & sketches,451.3K,,31.7K,37.2K
40,soulroho,alma luna,Art/ Artists,376.9K,,35.7K,44.9K
41,ai.technews,AI & CHATGPT | TOOLS | TECHNOLOGY,Crypto,121.1K,,109.3K,146.9K
42,philippplein,Philipp Plein,Crypto,3.2M,,4.2K,5.9K
43,samyoukilis,sam youkilis,Lifestyle,733.8K,,18.2K,26.4K
44,miico.jpg,Angel's Secret Art Service,Comics & sketches,450.9K,,26.8K,31.5K
45,taurusmovie,,Lifestyle,221.6K,,53.3K,64.6K
46,devinbernardo,Devin Bernardo,Shows,953.4K,,11.1K,14K
47,david.pogran,Dávid Pogran,Comics & sketches,411.7K,,25.3K,29.9K
48,lynn.kainoa,Lynn Kainoa,NFT,596.2K,,17.7K,24.5K
49,inkdoski,Laura,Lifestyle,112.5K,,83.7K,96.7K
50,calebsaysthings,ᴄᴀʟᴇʙ ʜᴇᴀʀᴏɴ,Humor &  Fun &  Happiness,293.8K,,32.2K,46.1K
