Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,natgeo,National Geographic,Nature & landscapes,279.6M,,58.1K,71.8K
2,earthpix,EarthPix 🌎 Travel,Nature & landscapes,24M,,72K,91.3K
3,natgeotravel,National Geographic Travel,Nature & landscapes,46.3M,,26.9K,33.3K
4,sachajafri,Sacha Jafri 🙏🏻,Nature & landscapes,10.5M,,35.5K,83.8K
5,reneeroaming,Renee Hahnel,Nature & landscapes,945.4K,,417K,509.4K
6,nature,Nature,Nature & landscapes,10.7M,,33.6K,42.4K
7,natureismetal,Nature Is Metal,Nature & landscapes,7M,,42.5K,54.5K
8,natgeoanimals,National Geographic Animals,Nature & landscapes,14.3M,,16.8K,20K
9,discovery,Discovery,Nature & landscapes,20.1M,,11.2K,14.1K
10,curavistamag,A Luxury Hotels & Resorts Magazine,Nature & landscapes,360.4K,,405.7K,812K
11,thestandarddesigngroup,The Standard Design Group,DIY &  Design,399.4K,,231.9K,380.9K
12,travellingthroughtheworld,TRAVELLING THROUGH THE WORLD ©,Travel,3.5M,,21.8K,27.9K
13,beautifulhotels,BEAUTIFUL HOTELS,Nature & landscapes,6.1M,,12.8K,15.7K
14,matadornetwork,Matador Network,Nature & landscapes,603.5K,,109.1K,149.9K
15,johnderting,John Derting,Nature & landscapes,4M,,13.3K,17.9K
16,natgeoyourshot,National Geographic Your Shot,Photography,6.5M,,7.9K,10.1K
17,natgeoadventure,National Geographic Adventure,Photography,9.5M,,4.7K,6.1K
18,alexhonnold,Alex Honnold,Nature & landscapes,2.7M,,17.8K,21.1K
19,vacations,Vacations,Nature & landscapes,6.6M,,6.7K,8.3K
20,gelatotravel,Gelato Travel,Nature & landscapes,418K,,101.2K,159.5K
21,alphamindsethub,Alpha Mindset Hub,Nature & landscapes,231.3K,,152.8K,258.9K
22,marusya.shiklina,Marusya Shiklina,Tobacco &  Smoking,1.6M,,19.2K,31.6K
23,dolphindronedom,Domenic Biagini,Animals,1.4M,,23.2K,31.5K
24,thekangaroosanctuary,The Kangaroo Sanctuary 🦘,Nature & landscapes,1.5M,,17.6K,28.4K
25,theoceancleanup,The Ocean Cleanup,Nature & landscapes,2.5M,,13.6K,16.7K
26,australia,Australia,Nature & landscapes,5.9M,,5.8K,6.7K
27,sejsejlija,Cecilia Blomdahl ✘ Svalbard,Nature & landscapes,1.3M,,22.2K,28.1K
28,welcometoarizona,Welcome to Arizona,Nature & landscapes,1.3M,,19.9K,25.1K
29,itseriksen,Sondre Eriksen Hensema,Photography,1.4M,,18.4K,22.5K
30,danielkordan,Daniel Kordan,Nature & landscapes,2.4M,,9.9K,13.4K
31,switzerland.explorers,Markus Leuprecht | Switzerland Explorers🇨🇭,Nature & landscapes,2.1M,,12.2K,15.1K
32,sachrad,Sacha Radford,Family,1.5M,,14.2K,20.4K
33,thegreatplanet,The Great Planet,Nature & landscapes,3.4M,,6.9K,8.9K
34,castlesofscotland,Castles of Scotland,Nature & landscapes,1.7M,,14.8K,17.5K
35,sealegacy,SeaLegacy,Animals,2.6M,,8.5K,11.1K
36,mitty,Cristina Goettsch Mittermeier,Animals,1.6M,,12.6K,16.2K
37,nytimestravel,New York Times Travel,Nature & landscapes,1.7M,,12.3K,15.4K
38,jonsoriginals,jon purcell,Nature & landscapes,641.4K,,27.1K,31.4K
39,jameslloydcole,James Lloyd Cole,Beauty,1.1M,,18.3K,22.7K
40,usinterior,Department of the Interior,Nature & landscapes,2.6M,,6.6K,9.1K
41,ericvonschulthess_fineart,Eric von Schulthess,Photography,1M,,12.9K,21.6K
42,visitscotland,VisitScotland,Nature & landscapes,1.8M,,10.8K,12.2K
43,mattslyon,Matt Lyons,Travel,761.3K,,19.1K,25K
44,yamashitaphoto,Michael Yamashita,Nature & landscapes,1.7M,,9.3K,11.9K
45,emmett_sparling,EMMETT SPARLING 🌎 TRAVEL,Nature & landscapes,1.1M,,14.4K,17.8K
46,jakeguzman,Jake Guzman,Nature & landscapes,962.5K,,15.5K,19.4K
47,maxrivephotography,Max Rive,Nature & landscapes,1.8M,,8.3K,10.8K
48,goinggreenmedia,Ben Brown & Ciara Doyle | Sustainability,Travel,547.3K,,25.5K,35K
49,chrishenry,Chris Henry,Nature & landscapes,1.5M,,9.6K,12.2K
50,epic.travels,Travel Vacations Nature,Nature & landscapes,3.8M,,3.6K,4.7K
