Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,selenagomez,Selena Gomez,Photography,421.7M,,2.1M,2.8M
2,instagram,Instagram,Photography,685.8M,,222.2K,268.9K
3,nasa,NASA,Science,96.7M,,317.7K,400.3K
4,natgeo,National Geographic,Nature & landscapes,279.6M,,58.1K,71.8K
5,xxxibgdrgn,G-DRAGON,Photography,24M,,580.5K,677.6K
6,motaz_azaiza,Motaz Azaiza مُعْتَز عَزَايْزَة ⚡️,Photography,17.2M,,233.8K,412.1K
7,mrunalthakur,Mrunal Thakur,Beauty,13.9M,,339.6K,421.5K
8,la_beaute_africaine,African beauty,Animals,1.8M,,1.2M,1.8M
9,maitreyiramakrishnan,Maitreyi Ramakrishnan,Photography,6.2M,,371.9K,481.5K
10,taylor_hill,Taylor Hill,Art/ Artists,24M,,83.4K,115K
11,sangheonleesh,Sang Heon Lee 이상헌 Daniel,Photography,3.7M,,418.1K,628.4K
12,earthpix,EarthPix 🌎 Travel,Nature & landscapes,24M,,72K,91.3K
13,brunogagliasso,Bruno Gagliasso,Cinema &  Actors/actresses,22.1M,,48.1K,84.3K
14,apple,apple,Computers &  Gadgets,34M,,44.6K,54.1K
15,chaelincl,CL,Art/ Artists,10.9M,,129.5K,166.5K
16,got7.with.igot7,GOT7,Music,6.4M,,206.9K,258.4K
17,natgeotravel,National Geographic Travel,Nature & landscapes,46.3M,,26.9K,33.3K
18,gavincasalegno,Gavin Casalegno,Photography,5.3M,,211.3K,291.1K
19,humansofny,Humans of New York,Lifestyle,12.8M,,85.2K,109.5K
20,regejean,Regé-Jean Page,Cinema &  Actors/actresses,6.6M,,142.3K,188K
21,carlitosalcarazz,Carlos Alcaraz Garfia,Photography,6.4M,,148K,187.8K
22,nmixx_official,NMIXX,Photography,5.8M,,158.2K,188.2K
23,footyprogram,The FootyProgram | FP,Photography,555.2K,,925.4K,1M
24,alfiedeyes,Alfie Deyes,Lifestyle,4M,,105K,187.2K
25,beautifuldestinations,BEAUTIFUL DESTINATIONS,Photography,25.6M,,22.6K,28.5K
26,adekunlegold,Big Fish 🦈,Photography,9.4M,,50.7K,70.5K
27,karenfukuhara,Karen Fukuhara,Lifestyle,2.7M,,184.4K,239.9K
28,aaron_pierre1,Aaron Pierre,Cinema &  Actors/actresses,1.8M,,189.1K,309K
29,jordi.koalitic,Jordi Koalitic 🐨📸,Photography,7.6M,,57.4K,72.9K
30,zlatan_ibile,WORLD🌎PRESIDENT,Photography,7.5M,,46.9K,72.9K
31,kylenutt,kyle nutt,Photography,2M,,200.6K,264.9K
32,ivestarship,IVE 아이브,Photography,5.9M,,68.6K,89K
33,derek_tch,Derek Tang,Photography,551.4K,,690.1K,1.1M
34,mr.dasante,Daniel Asante,Photography,6.7M,,55.6K,70.7K
35,charlottewwe,Charlotte Flair,Lifestyle,5.4M,,60K,86.1K
36,unclewaffles_,Waffles,Photography,2.9M,,103.8K,145.5K
37,wonderful_places,Wonderful Places,Photography,20.5M,,14.9K,18.8K
38,mikaylademaiter,Mikayla Demaiter,Photography,3.2M,,84.7K,123.9K
39,natureismetal,Nature Is Metal,Nature & landscapes,7M,,42.5K,54.5K
40,camera.setup,PHOTO / VIDEO / CREATIVITY ™,Photography,7M,,39.8K,50.2K
41,livieshq,livies hq ❤️,Photography,2.2M,,127K,158.7K
42,nature,Nature,Nature & landscapes,10.7M,,24.8K,31.4K
43,paulnicklen,Paul Nicklen,Photography,7.3M,,33.2K,42.3K
44,natgeoanimals,National Geographic Animals,Nature & landscapes,14.3M,,16.8K,20K
45,discovery,Discovery,Nature & landscapes,20.1M,,11.2K,14.1K
46,nasahubble,Hubble Space Telescope,Photography,6.5M,,32.4K,40.3K
47,gopro,GoPro,Extreme  Sports &  Outdoor activity,20.9M,,9.5K,12K
48,juniperfoxx,JUNIPER WILDLIFE REFUGE,Humor &  Fun &  Happiness,3.4M,,52.6K,69.4K
49,uneekintsworld,King 👑 UneekiNT,Photography,3.1M,,42K,75K
50,jadecargill,"Jade Cargill, B.S., M.S. 🇺🇸🇯🇲",Photography,1.5M,,91.2K,154.6K
