Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,lewishamilton,Lewis Hamilton,Racing  Sports,39.1M,,1.6M,2.1M
2,charles_leclerc,Charles Leclerc,Racing  Sports,17.6M,,717.3K,948.9K
3,f1,FORMULA 1®,Racing  Sports,32.5M,,293.8K,341.2K
4,joaofelix79,João Félix,Sports with a ball,13M,,538.6K,690.7K
5,carlossainz55,Carlos Sainz,Racing  Sports,11M,,631.1K,785.6K
6,maxverstappen1,Max Verstappen,Racing  Sports,13.6M,,470.7K,574K
7,lando,Lando Norris,Racing  Sports,9.4M,,484K,583.3K
8,scuderiaferrari,Scuderia Ferrari HP,Racing  Sports,17.5M,,208.1K,256.5K
9,bugatti,BUGATTI,Cars &  Motorbikes,24.3M,,134.8K,166.5K
10,schecoperez,Checo Pérez,Racing  Sports,7.6M,,256.1K,346.6K
11,valeyellow46,Valentino Rossi,Racing  Sports,16.3M,,119.2K,144.3K
12,redbull,Red Bull,Extreme  Sports &  Outdoor activity,26.1M,,63.1K,83.1K
13,georgerussell63,George Russell,Racing  Sports,6.2M,,265.3K,332.7K
14,tonibreidinger,Toni Breidinger,Racing  Sports,2.6M,,552.6K,716.5K
15,madelacami,🍉camilaine,Racing  Sports,859.3K,,1.4M,1.6M
16,pierregasly,PIERRE GASLY 🇫🇷,Racing  Sports,5.6M,,232.4K,289.9K
17,mclaren,McLaren,Racing  Sports,14.4M,,76.3K,91.9K
18,redbullracing,Oracle Red Bull Racing,Racing  Sports,12.8M,,78.8K,97.9K
19,mercedesamgf1,Mercedes-AMG PETRONAS F1 Team,Racing  Sports,14.1M,,49.3K,59.2K
20,fernandoalo_oficial,Fernando Alonso,Racing  Sports,7.3M,,70.6K,86.9K
21,mercedesamg,Mercedes-AMG,Cars &  Motorbikes,17.8M,,25K,29.6K
22,christianhorner,Christian Horner,Racing  Sports,2.5M,,148.5K,192K
23,motogp,MotoGP™,Racing  Sports,16.7M,,21.2K,25.5K
24,ahmed.mokk,Ahmed Mokbel | أحمد مقبل,Fitness &  Gym,2.5M,,73.9K,167.6K
25,sarahlezito,Sarah Lezito,Racing  Sports,9.2M,,32.7K,41K
26,sydneymclaughlin16,Sydney McLaughlin-Levrone,Sports with a ball,1.5M,,120.9K,174.9K
27,valtteribottas,Valtteri Bottas,Racing  Sports,4.7M,,37.6K,46.4K
28,olliebearman,Ollie Bearman,Racing  Sports,2.4M,,65.7K,86K
29,nicorosberg,NICO ROSBERG,Racing  Sports,2.1M,,72.3K,91.4K
30,williamsracing,Williams Racing,Racing  Sports,4.1M,,37.7K,46.2K
31,aaronmicheal0514,Aaron Micheal,Fitness &  Gym,136.8K,,994.4K,1.4M
32,ducati,Ducati Motor Holding,Racing  Sports,6.2M,,22.7K,27.4K
33,_h2r_lovers,H2R Lovers 🇵🇸,Racing  Sports,270.6K,,421.5K,496.5K
34,caiocastro,Caio Castro,Cars &  Motorbikes,20.1M,,4.9K,8.1K
35,racerbia,Bianca Bustamante 🏁,Racing  Sports,1.6M,,78K,99.7K
36,lindsaymariebrewer,Lindsay Brewer,Lifestyle,2.9M,,33.3K,52.7K
37,uncleronnie69,Ronnie Mac 69,Racing  Sports,1.1M,,98.6K,123.7K
38,michaelschumacher,Michael Schumacher,Racing  Sports,1.5M,,60.6K,81.6K
39,mondo_duplantis,Mondo Duplantis,Winter sports,1.4M,,66.5K,82.2K
40,kipchogeeliud,Eliud Kipchoge - EGH🇰🇪,Racing  Sports,2.7M,,31.5K,42.3K
41,lilymhe,lily muni he,Sports with a ball,948.8K,,75.6K,102.8K
42,cristiano.uttam.7._.hp,Cristiano Ronaldo,Racing  Sports,289.5K,,216.2K,275.6K
43,aliyyahkoloc,Aliyyah Koloc,Racing  Sports,1.8M,,27.6K,51.4K
44,cyclegroover,Your Favorite Dancing Biker,Racing  Sports,1.1M,,58.8K,77.1K
45,the_machines__,The Machines,Cars &  Motorbikes,53.4K,,1.1M,1.9M
46,dellespeegle,Dani Elle Speegle,Fitness &  Gym,1.8M,,33.9K,48.1K
47,kblock43,Ken Block,Racing  Sports,8M,,8.3K,10.5K
48,cboystv,CboysTV,Cars &  Motorbikes,1.5M,,44.9K,57.1K
49,axellhodges,Slay,Racing  Sports,1.7M,,36.4K,48.4K
50,lauren.jumps,Lauren Flymen | Jump Rope ✨,Extreme  Sports &  Outdoor activity,2.8M,,23.1K,28.9K
