Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,nasa,NASA,Science,96.7M,,317.7K,400.3K
2,natgeo,National Geographic,Nature & landscapes,279.6M,,58.1K,71.8K
3,techineer,Techineer 🛠,Computers &  Gadgets,2M,,555.6K,728.2K
4,spacex,SpaceX,Science,17.2M,,61.2K,73.2K
5,agrotonomy,Agrotonomy,Science,4M,,82.7K,122.8K
6,spicymoustache,Alessandro Vitale,Food &  Cooking,5M,,57.9K,75.4K
7,nasahubble,Hubble Space Telescope,Photography,6.5M,,32.4K,40.3K
8,iss,International Space Station,Science,8.8M,,21.8K,27.5K
9,hubermanlab,"Andrew Huberman, Ph.D.",Science,7.3M,,15.5K,20.1K
10,glucosegoddess,Jessie Inchauspé,Food &  Cooking,5.4M,,16.8K,23K
11,sciencefunn,2M+ Science Lovers By Tomas Rosko,Science,2.3M,,39.7K,46.4K
12,kelliegerardi,Kellie Gerardi,Gaming,1.4M,,46.9K,63.2K
13,nasawebb,NASA Webb Telescope,Science,3.5M,,17.4K,23.3K
14,big.manny1,BIG MANNY 1 🌟,Science,1.6M,,23.4K,30.1K
15,hankgreen,Hank Green,Lifestyle,1.9M,,21.3K,25.8K
16,drjoedispenza,Dr Joe Dispenza,Science,3.6M,,9.8K,12.5K
17,europeanspaceagency,ESA - European Space Agency,Science,3M,,10.9K,13K
18,persian.explorers,Nika Niksefat & Hossein.J,Science,1.2M,,19.3K,32.1K
19,dr.noc,"Dr. Noc, PhD",Science,911.3K,,27.8K,33.8K
20,nasaartemis,NASA Artemis,Science,2.8M,,8.5K,10.9K
21,theourdreamspace,TheOurDreamSpace,Science,1.8M,,10.8K,16K
22,living_christian,Living Christian,Science,2M,,12.2K,14.3K
23,sanctuarywrld,SANCTUARY,Science,1.6M,,12.2K,16.8K
24,neildegrassetyson,Neil deGrasse Tyson,Science,2.2M,,9.3K,12.2K
25,hergun1insaat,Her Gün 1 İnşaat Terimi,Architecture &  Urban  Design,10.7M,,1.5K,2.2K
26,nasasolarsystem,NASA Solar System Exploration,Science,2.5M,,7.2K,9.5K
27,thespacegal,Emily Calandrelli,Family,1.1M,,12.6K,19.5K
28,historycoolkids,History Cool Kids,Science,1.5M,,9.6K,13.2K
29,tardibabe,Chloé Savard,Science,1.1M,,12.9K,18.8K
30,nile.red,NileRed - Chemistry & Science,Humor &  Fun &  Happiness,1M,,16.4K,19.3K
31,scienceoftheuniverse,Science Of The Universe,Science,1.8M,,8.6K,10.2K
32,astro.alexandra,Astro Alexandra,Science,887.3K,,13.4K,16.6K
33,spaceinnutshell,Space | Cosmos | Galaxy,Science,1.6M,,8.9K,10.9K
34,astrokobi,Kobi Brown,Science,1.3M,,11.4K,13.3K
35,nasachandraxray,NASA Chandra X-ray Observatory,Science,1.4M,,9.6K,12.1K
36,the_secrets_of_the_universe,The Secrets Of The Universe,Science,1.8M,,6.4K,8K
37,kurzgesagt,Kurzgesagt - In a nutshell,Science,1.6M,,8K,9.2K
38,chaninicholas,Chani (like Annie or (c)Hani),Science,605.9K,,16.6K,22.9K
39,doctor_world__,𝐃𝐫✮͢🦋⃟≛⃝ .𝐑𝐚𝐧𝐣𝐚𝐧𝐚 .𝐧𝐞𝐞𝐭 . 𝐦𝐛𝐛𝐬 . 𝐧𝐮𝐫𝐬𝐞'𝐬,Humor &  Fun &  Happiness,128.5K,,77.3K,99.4K
40,brokenplanet,Broken Planet,Clothing &  Outfits,840.3K,,12.1K,14.6K
41,spaceclub,spaceclub by eric egger,Science,642.3K,,14K,21.5K
42,bad_science_jokes,Melissa Church,Humor &  Fun &  Happiness,796.4K,,10.9K,12.5K
43,xkcd,,Science,473.3K,,18.2K,19.9K
44,nasajohnson,NASA’s Johnson Space Center,Science,1.3M,,7.4K,9.7K
45,maythesciencebewithyou,"MTSBWY / Science, History, Entertainment & News",Science,1.5M,,6.7K,8.3K
46,sciencefunfacts9,Science Fun Facts,Science,83.2K,,97.1K,122.3K
47,cosmic_background,Andrew McCarthy,Science,1.7M,,5.8K,7K
48,yorkshire.fossils,Aaron and Shae,Science,1.6M,,5.9K,7.2K
49,startalk,StarTalk,Science,1.4M,,6.7K,8.1K
50,gourmetbiologist,Sean Graesser,Animals,573.6K,,13.4K,17.4K
