Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,nike,Nike,Fitness &  Gym,302.2M,,45.7K,60.4K
2,kyliecosmetics,Kylie Cosmetics,Beauty,24.7M,,25.1K,39.7K
3,adidasoriginals,adidas Originals,Clothing &  Outfits,34.4M,,22.5K,28K
4,puma,PUMA,Clothing &  Outfits,13M,,53.9K,70.6K
5,zara,ZARA,Clothing &  Outfits,62.2M,,11.6K,14.7K
6,rolex,ROLEX,Luxury,17M,,35.1K,42.6K
7,hm,H&M,Clothing &  Outfits,38.5M,,5.9K,7.4K
8,newbalance,New Balance,Shopping &  Retail,8.2M,,23.9K,32.3K
9,zuhairmuradofficial,ZUHAIR MURAD,Fashion,7M,,28.5K,37.4K
10,sheinofficial,SHEIN.COM,Clothing &  Outfits,34.5M,,5K,6.6K
11,thrashermag,THRASHER MAGAZINE,Clothing &  Outfits,6.6M,,22.3K,32.2K
12,fentybeauty,FENTY BEAUTY BY RIHANNA,Beauty,13.2M,,11.9K,15.7K
13,bershka,BERSHKA,Clothing &  Outfits,10.9M,,14.3K,17.7K
14,swarovski,SWAROVSKI,Accessories &  Jewellery,8.8M,,13.1K,16.9K
15,thelandofboggs,The Land Of Boggs,Shopping &  Retail,1.9M,,62.1K,77.5K
16,eliesaabworld,ELIE SAAB,Fashion,14.7M,,7.1K,9.4K
17,nikerunning,Nike Running,Clothing &  Outfits,6M,,16.8K,21.7K
18,theofficialpandora,Pandora,Accessories &  Jewellery,11.2M,,8.9K,11.2K
19,crazykickswrld,custom shoes,Clothing &  Outfits,610.5K,,139.2K,172.8K
20,vans,vans,Shopping &  Retail,16.2M,,4.5K,7.1K
21,darylanndenner,Daryl-Ann Denner,Shopping &  Retail,2.2M,,29.6K,52.4K
22,boohoo,boohoo,Clothing &  Outfits,12.1M,,4.9K,8K
23,loewe,LOEWE,Fashion,6.4M,,10.9K,15.3K
24,levis,Levi's,Clothing &  Outfits,9.6M,,6.6K,9.4K
25,black,Blvck Paris,Shopping &  Retail,2.1M,,31.9K,42K
26,iammilanrouge,Milan Harris,Clothing &  Outfits,1.4M,,36.4K,62.5K
27,soccerdotcom,SOCCER.COM,Sports with a ball,4.3M,,16.2K,20.4K
28,ohpolly,OH POLLY,Clothing &  Outfits,6.4M,,10.3K,13.2K
29,its.all.about.luxe,𝐈𝐓𝐒𝐀𝐋𝐋𝐀𝐁𝐎𝐔𝐓𝐋𝐔𝐗𝐄 𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋,Luxury,255.3K,,212.8K,248.9K
30,chloe,Chloé,Fashion,11.4M,,4K,5.2K
31,tommyhilfiger,Tommy Hilfiger,Clothing &  Outfits,15.2M,,3K,3.8K
32,alanslids,Alan’s Lids,Accessories &  Jewellery,390K,,95.2K,135K
33,primark,Primark,Clothing &  Outfits,11.1M,,3.8K,4.5K
34,michaelkors,Michael Kors,Fashion,19.4M,,1.9K,2.4K
35,gamestop,GameStop,Shopping &  Retail,2.2M,,15.5K,20K
36,maccosmetics,M·A·C Cosmetics,Beauty,24.1M,,1.3K,1.8K
37,omega,OMEGA,Luxury,4.3M,,7.2K,8.9K
38,asos,ASOS,Clothing &  Outfits,14.8M,,1.9K,2.6K
39,stradivarius,Stradivarius,Clothing &  Outfits,8.4M,,3.4K,4.5K
40,mango,MANGO,Accessories &  Jewellery,15.7M,,1.8K,2.4K
41,guess,GUESS,Clothing &  Outfits,8.6M,,3K,4.3K
42,umarkamani,Umar Kamani,Lifestyle,1.3M,,14.6K,28.6K
43,filthywealthclothing,Filthy Wealth,Shopping &  Retail,430K,,61.3K,112.4K
44,theeverythingdad,Dylan,Shopping &  Retail,1.3M,,18.4K,25.3K
45,wegotkicks.pr,Jorge Andres,Shopping &  Retail,978K,,21.3K,29K
46,joyridesweets,joyride sweets,Shopping &  Retail,787.7K,,26.7K,33.7K
47,lklihood,LIKELIHOOD,Fashion,73.5K,,287K,463.3K
48,luisaviaroma,LUISAVIAROMA,Shopping &  Retail,1.4M,,14.3K,19.7K
49,kith,Kith,Clothing &  Outfits,3.2M,,6.8K,8.9K
50,zimmermann,ZIMMERMANN,Clothing &  Outfits,4M,,4.7K,7K
