Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,mrbeast,MrBeast,Shows,66.2M,,1.8M,2.2M
2,virginia,Virginia Fonseca Serrão Costa,Shows,53M,,1.3M,2M
3,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 🇮🇳,Shows,28.4M,,2.1M,2.2M
4,attahalilintar,Atta Halilintar (PAPATA),Art/ Artists,40.3M,,327.5K,445.8K
5,bhajanmarg_official,Bhajan Marg Official,Shows,21.2M,,612.7K,667.4K
6,pesopluma,La Doble P,Lifestyle,15M,,709.6K,893.4K
7,marvel,Marvel Entertainment,Cinema &  Actors/actresses,65.1M,,160.7K,203.1K
8,strangerthingstv,Stranger Things Netflix,Cinema &  Actors/actresses,19.3M,,472.8K,603.8K
9,charlidamelio,charli,Lifestyle,42.7M,,196.9K,261.7K
10,kapilsharma,Kapil Sharma,Cinema &  Actors/actresses,46M,,208.7K,238.2K
11,fabriziorom,Fabrizio Romano,Literature &  Journalism,33.9M,,244.1K,320.4K
12,emmachamberlain,emma chamberlain,Lifestyle,14.9M,,464.4K,601.4K
13,norafatehi,Nora Fatehi,Cinema &  Actors/actresses,47.4M,,158.9K,188.3K
14,taylornation,Taylor Nation,Shows,9.3M,,765.7K,951.8K
15,greeicy,Greeicy,Shows,23.3M,,203.7K,291.2K
16,anwar,Anwar Jibawi,Shows,17.6M,,251.2K,351.5K
17,sportscenter,SportsCenter,Sports with a ball,39.1M,,98.7K,129K
18,lucianohuck,Luciano Huck,Shows,22.6M,,146.4K,213.1K
19,lexibrookerivera,Lexi Rivera,Shows,8.1M,,452K,578.9K
20,awez_darbar,Awez Darbar,Shows,31.4M,,130.6K,145.3K
21,_agentgirl_,НАСТЯ ИВЛЕЕВА,Shows,17.6M,,208.5K,258.4K
22,angeliqueboyer,Angelique Boyer,Shows,16.4M,,179K,259.1K
23,collinskey,Collins Key,Shows,5.4M,,620.3K,793.9K
24,krisjenner,Kris Jenner,Shows,51.7M,,56.4K,79.2K
25,ellendegeneres,Ellen DeGeneres,Shows,136.9M,,23K,29.6K
26,manurios,Manu Rios,Shows,10.1M,,301.1K,400.8K
27,jjpromotions_uk,JJ Promotions™️,Shows,8.3M,,280.8K,489.7K
28,natashagraziano,Natasha Graziano,Lifestyle,14.4M,,169.6K,251.9K
29,nadine,Nadine Lustre,Music,12.9M,,222.7K,263.5K
30,julesleblanc,julianna,Music,9.7M,,253.3K,340.7K
31,disney,Disney,Shows,40.4M,,62.7K,79.1K
32,cvillaloboss,CARMEN VILLALOBOS,Shows,22.7M,,97.1K,135.5K
33,zachking,Zach King,Shows,29M,,76.7K,102.2K
34,jimmyfallon,Jimmy Fallon,Shows,27.3M,,81.5K,106.5K
35,sav.labrant,Savannah Rose LaBrant,Family,7.1M,,258.5K,396K
36,gadiiing,Gading Marten,Shows,24.8M,,81.3K,108K
37,jeremyrenner,Jeremy Renner,Shows,20.4M,,99.1K,130.5K
38,netflixbrasil,Netflix Brasil,Shows,38.9M,,48.2K,63.4K
39,rodrigofaro,Rodrigo Faro,Music,29.9M,,58.2K,79.8K
40,chrissyteigen,chrissy teigen,Shows,41.8M,,36.6K,51K
41,bridgertonnetflix,Bridgerton,Literature &  Journalism,5.4M,,306.7K,389.1K
42,fazerug,Brian,Lifestyle,7.1M,,221.3K,289.3K
43,marcelotinelli,Marcelo Tinelli,Humor &  Fun &  Happiness,14.8M,,96.3K,136K
44,steakvideos,Steak Videos,Food &  Cooking,2.9M,,536K,681K
45,friends,Friends,Shows,12.3M,,115.2K,161K
46,ahmadchhadeh_,Ahmad Chhadeh,Music,12M,,78K,150.9K
47,therealtarzann,Mike Holston,Animals,12.9M,,90.3K,140.5K
48,markitostoys,MarkitosTOYS🇲🇽🇨🇺,Shows,5.2M,,252.6K,339.4K
49,divyankatripathidahiya,Divyanka Tripathi Dahiya,Shows,26.3M,,53K,64.8K
50,sabrinasato,Sabrina Sato,Shows,31.1M,,30.5K,54.1K
