Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,cristiano,Cristiano Ronaldo,Sports with a ball,649.6M,,5.1M,6.7M
2,leomessi,Leo Messi,Sports with a ball,504.9M,,1.3M,1.6M
3,k.mbappe,Kylian Mbappé,Sports with a ball,123.3M,,2.6M,3.3M
4,neymarjr,Neymar Jr,Sports with a ball,229.1M,,1.1M,1.4M
5,virat.kohli,Virat Kohli,Sports with a ball,270M,,530K,595.2K
6,vinijr,Vinicius Jr. ⚡️🇧🇷,Sports with a ball,52.8M,,1.6M,2.1M
7,kingjames,👑,Sports with a ball,159.8M,,449.4K,609.2K
8,lamineyamal,,Sports with a ball,26.7M,,2.6M,3.1M
9,rohitsharma45,Rohit Sharma,Sports with a ball,42M,,1.6M,1.8M
10,fcbarcelona,FC Barcelona,Sports with a ball,136M,,438.6K,530K
11,judebellingham,Jude Bellingham,Lifestyle,38.6M,,1.5M,1.8M
12,khaby00,Khabane Lame,Sports with a ball,81M,,610.3K,794.9K
13,realmadrid,Real Madrid C.F.,Sports with a ball,172.3M,,303.3K,366.8K
14,mosalah,Mohamed Salah,Sports with a ball,64.3M,,470.5K,610.5K
15,davidbeckham,David Beckham,Family,88.1M,,338.7K,421.8K
16,hardikpandya93,Hardik Pandya,Sports with a ball,36.2M,,804.8K,895K
17,indiancricketteam,Team India,Sports with a ball,36M,,713.8K,796.4K
18,lukamodric10,Luka Modric,Sports with a ball,37.1M,,612.4K,768.5K
19,jamesrodriguez10,James Rodríguez,Sports with a ball,52.8M,,378.9K,521.5K
20,433,433,Sports with a ball,76.2M,,267.4K,326.8K
21,paulpogba,Paul Labile Pogba,Sports with a ball,62.7M,,292.7K,387.3K
22,_rl9,Robert Lewandowski,Sports with a ball,36.9M,,486.3K,603.9K
23,rodrygogoes,Rodrygo Goes - RG 💜⚡️🇧🇷,Lifestyle,21.2M,,642.4K,879.4K
24,pedri,Pedri González,Sports with a ball,15.1M,,876.3K,1.1M
25,iamzlatanibrahimovic,Zlatan Ibrahimović,Sports with a ball,63.8M,,200K,264.9K
26,jaspritb1,jasprit bumrah,Lifestyle,19.3M,,747.5K,838.4K
27,championsleague,UEFA Champions League,Sports with a ball,118.9M,,113.6K,133.8K
28,sachintendulkar,Sachin Tendulkar,Sports with a ball,50M,,258.7K,305K
29,klrahul,KL Rahul👑,Sports with a ball,21.3M,,625K,693.5K
30,erling,Erling Braut Haaland,Lifestyle,38.4M,,269.1K,346.8K
31,alvaromorata,Álvaro Morata,Sports with a ball,23.3M,,379K,538.6K
32,fifaworldcup,FIFA World Cup,Sports with a ball,50.1M,,179.5K,243.4K
33,phil.coutinho,Philippe Coutinho,Sports with a ball,23.9M,,345.1K,502.8K
34,camavinga,Eduardo Celmi Camavinga,Lifestyle,14.3M,,509.9K,657.8K
35,hazardeden_10,Eden Hazard,Sports with a ball,27.4M,,261.5K,337.3K
36,marcusrashford,Marcus Rashford,Sports with a ball,17.1M,,417K,537.7K
37,joaofelix79,João Félix,Sports with a ball,13M,,538.6K,690.7K
38,memphisdepay,Memphis Depay,Sports with a ball,19.7M,,345.2K,444.2K
39,loud_victor,Coringa,Lifestyle,14.5M,,415K,590K
40,stephencurry30,Wardell Curry,Sports with a ball,58M,,112.3K,144.1K
41,davidalaba,David Alaba,Sports with a ball,15.6M,,419.1K,524.4K
42,m10_official,Mesut Özil,Sports with a ball,28.1M,,233.3K,279.8K
43,frenkiedejong,Frenkie de Jong,Sports with a ball,13.1M,,478.6K,590.3K
44,achrafhakimi,Achraf Hakimi,Sports with a ball,20.1M,,289.4K,378.2K
45,kyrieirving,Hélà,Sports with a ball,20.1M,,270.4K,361.6K
46,houseofhighlights,House of Highlights,Sports with a ball,52.3M,,93.7K,129.1K
47,mterstegen1,Marc ter Stegen,Sports with a ball,17M,,304.3K,376K
48,mancity,Manchester City,Sports with a ball,56M,,88.9K,110.5K
49,premierleague,Premier League,Sports with a ball,76.9M,,65.3K,79.5K
50,shoheiohtani,Shohei Ohtani  |  大谷翔平,Sports with a ball,8.8M,,578.7K,699K
