Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,cedricgrolet,Cedric Grolet,Sweets &  Bakery,12.1M,,355.7K,433.4K
2,pastrychef_am,Magrí Alberto,Sweets &  Bakery,6.4M,,459.6K,577.9K
3,turkuazkitchen,Betul Tunc,Sweets &  Bakery,10.8M,,170.1K,216.2K
4,tipsybartender,TIPSY BARTENDER 🍻🍹,Food &  Cooking,7.7M,,35K,48.9K
5,alfiecooks,ALFIE STEINER,Food &  Cooking,5M,,41.3K,54.9K
6,pov_husband,Daniel & Eunice,Food &  Cooking,2.4M,,90.7K,114.8K
7,the_pastaqueen,The Pasta Queen,Sweets &  Bakery,5.2M,,35.1K,47.8K
8,plantyou,Carleigh Bodrug,Food &  Cooking,5.4M,,32K,42.3K
9,majasrecipes,Maja Mariana Ilic👩🏻‍🍳,Sweets &  Bakery,536.8K,,251.7K,323.9K
10,crumbl,Crumbl,Sweets &  Bakery,6.1M,,16.4K,21K
11,kimmyskreations.1,Kimberly Nichols,Sweets &  Bakery,3.2M,,23.6K,40.3K
12,that.foodie.girl__,That Foodie Girl✨,Food &  Cooking,662.9K,,122K,154.7K
13,chef.sam.black,Sam Cooper,Sweets &  Bakery,585.9K,,122.5K,155.1K
14,tortikannuchka,Tortik Annushka,Sweets &  Bakery,1.2M,,56.9K,80.4K
15,notorious_foodie,Notorious Foodie,Food &  Cooking,4.2M,,16.1K,20.3K
16,raisingcanes,Raising Cane's,Sweets &  Bakery,1.6M,,37.9K,51.2K
17,thecedlife,Cedric & Edith,Sweets &  Bakery,1M,,62.6K,80.3K
18,two_plaid_aprons,Mei & Kyong | Two Plaid Aprons,Sweets &  Bakery,1.1M,,53.1K,70K
19,big.eats.world,Alex Mejia,Sweets &  Bakery,994.1K,,51.4K,67.6K
20,foodsbible,Foods Bible,Sweets &  Bakery,6.1M,,9.3K,12.1K
21,marfskitchengarden,Martha Swales,Animals,991.9K,,51.2K,63.2K
22,thomas_straker,THOMAS STRAKER,Sweets &  Bakery,2.7M,,19.5K,26.2K
23,shredhappens,Arash Hashemi,Sweets &  Bakery,4.2M,,12.7K,16.4K
24,maxiskitchen,Maxine Sharf,Food &  Cooking,3M,,17K,21.5K
25,erinscozykitchen,erin,Sweets &  Bakery,208.2K,,205.2K,262.9K
26,tiniyounger,Tineke Younger,Sweets &  Bakery,1.7M,,27.6K,37.4K
27,chef.on.a.journey,Andre,Sweets &  Bakery,241.3K,,193.9K,333K
28,al_dante_channel,AL Dante Channel | Food Cinematography,Sweets &  Bakery,1.5M,,32.3K,40.6K
29,moribyan,Hajar Larbah,Sweets &  Bakery,2.5M,,16.9K,20.9K
30,ketosnackz,iRick Wiggins,Sweets &  Bakery,3.3M,,11.6K,15.9K
31,tiffy.cooks,Tiffy Cooks 🥟 Easy Recipes,Food &  Cooking,2.1M,,18.8K,23.2K
32,soyummy,So Yummy,Sweets &  Bakery,9.5M,,3.9K,4.9K
33,thetinychefshow,Tiny Chef,Business &  Careers,3.7M,,9.5K,12.5K
34,thejoemustgoon_,Joe Vadakkedam | Fire Escape Cooking,Food &  Cooking,1M,,31.8K,43.4K
35,alissanguyen_,Alissa Nguyen Formerly Gaming Foodie,Food &  Cooking,1.5M,,23.5K,28.9K
36,fitwafflekitchen,Fitwaffle Kitchen | Eloise,Sweets &  Bakery,2.7M,,13.5K,16.1K
37,raziyyz,Razi Khan,Sweets &  Bakery,1.7M,,20.6K,25.4K
38,wishbonekitchen,Meredith Hayden,Sweets &  Bakery,1.3M,,24.4K,32.3K
39,theloopywhisk,Katarina Cermelj,Sweets &  Bakery,2M,,16.7K,21K
40,simplistic_food,Nordic chefs,Sweets &  Bakery,805.7K,,37.9K,54.4K
41,ms_shi_mr_he,Ms Shi and Mr He,Sweets &  Bakery,1.2M,,27K,33.5K
42,rosannapansino,Rosanna Pansino,Sweets &  Bakery,4.4M,,7.1K,9.4K
43,wolfiesmom,Valerie Bertinelli,Sweets &  Bakery,1.6M,,20.9K,25.7K
44,juliusroberts,Julius Roberts,Sweets &  Bakery,1.2M,,25.2K,33.8K
45,primal_gourmet,Ronny Lvovski,Food &  Cooking,1.6M,,19.3K,23.9K
46,biteswithlily,Lily Huynh,Food &  Cooking,862.8K,,30.8K,39.1K
47,hungry.happens,Stella Drivas 🇬🇷🇺🇸,Sweets &  Bakery,4.7M,,7.2K,9.7K
48,cheffinwithzach,Zachary Neman,Food &  Cooking,763.5K,,33K,42.7K
49,kalejunkie,Nicole Keshishian | KALEJUNKIE®,Sweets &  Bakery,2.5M,,11.3K,14.6K
50,lorafied,LORAfied | HACKS: Home • Kitchen • Life,Sweets &  Bakery,1.3M,,22.2K,29.8K
