Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,joshuatbassett,Joshua Bassett,Tobacco &  Smoking,2.2M,,77.7K,106.9K
2,realnicoleaniston,Nicole Aniston,Adult content,3.7M,,22K,36.2K
3,marusya.shiklina,Marusya Shiklina,Tobacco &  Smoking,1.6M,,19.2K,31.6K
4,hogwarts.station,Hogwarts Station,Tobacco &  Smoking,1.1M,,7.6K,9.7K
5,gallantgravity,Gallant Gravity,Tobacco &  Smoking,177.3K,,45.4K,559.1K
6,rap.uptv,� 𝐑𝐀𝐏 𝐔𝐏 𝐓𝐕 �   || 𝐕𝐢𝐤𝐚𝐬,Tobacco &  Smoking,760.2K,,7.8K,9.4K
7,gracytvshow,Grace  Zulueta,Tobacco &  Smoking,306.5K,,18.4K,25.8K
8,gardenwithjonny,Jonny Hincks,DIY &  Design,591.2K,,7.3K,9.5K
9,etsy_global,,Tobacco &  Smoking,236.1K,,12K,18.3K
10,allthesmoke,All the Smoke,Tobacco &  Smoking,945.4K,,2.7K,3.8K
11,herb_buddies,Jason McGrady-Szromba,Tobacco &  Smoking,544.5K,,4.2K,5.9K
12,dankdalia,Dalia Hernandez,Tobacco &  Smoking,225.8K,,9.3K,22.7K
13,neweracap,New Era Cap,Clothing &  Outfits,2M,,923,1.3K
14,campeamigas,Maya | Huertos Orgánicos 🦋,Tobacco &  Smoking,2.5M,,760,916
15,instant_witch,Megan | witch tips,Tobacco &  Smoking,302.2K,,5K,6.4K
16,stillblazingtho,stillblazingtho,Tobacco &  Smoking,447.3K,,2.8K,4.7K
17,wynnlasvegas,Wynn Las Vegas,Tobacco &  Smoking,505.7K,,2.6K,3.6K
18,elseptimocigars,EL SEPTIMO ™️,Tobacco &  Smoking,288.5K,,4.4K,6.1K
19,spraybaby1,Chris Torrence,Tobacco &  Smoking,273.4K,,3.7K,5K
20,dluckyexperience,D Lucky,Tobacco &  Smoking,346K,,2.6K,3.4K
21,world.of.bongs,WOB,Lifestyle,366.5K,,2.4K,3.7K
22,loreincense,Lore Incense,Tobacco &  Smoking,573.6K,,1.4K,1.7K
23,triplejs.smokehouse,Triple J's Smokehouse,Food &  Cooking,78.2K,,10.6K,16K
24,sunflower__mary,Sunflower Mary🌻 The original creator of Woodburned Suncatchers ✨,Accessories &  Jewellery,303.7K,,2.7K,3.4K
25,khalifakush,Khalifa Kush,Tobacco &  Smoking,537.9K,,1.3K,2.3K
26,cigaretteracingteam,CIGARETTE RACING,Tobacco &  Smoking,207.9K,,3.2K,4K
27,90daysfiances,90 day fiance News,Tobacco &  Smoking,134.1K,,4.5K,5.9K
28,donfabiocigars,Fabio Cordella Cigars,Tobacco &  Smoking,123.5K,,5.9K,8.8K
29,lifteddladies,Tae✨,Sweets &  Bakery,221.9K,,3.1K,5K
30,adventuresofwander,Jennifer | MAGICAL MISCHIEF ϟ - Harry Potter content creator,Tobacco &  Smoking,167.9K,,3.9K,5K
31,habanoscity,Habanos City,Tobacco &  Smoking,24.8K,,23.9K,44K
32,bboyhiro10,HIRO10,Tobacco &  Smoking,149.8K,,3.9K,5.3K
33,cloudv,CLOUDV,Tobacco &  Smoking,687.9K,,769,1.6K
34,destodubb,7669 melrose,Lifestyle,307.4K,,1.8K,2.5K
35,rebeccaminkoff,Rebecca Minkoff,Family,886.6K,,607,944
36,padroncigars,Padrón Cigars,Tobacco &  Smoking,172.3K,,2.7K,3.6K
37,kanaandern,Kanaan Dern,Shows,172.7K,,2.8K,5.7K
38,cancer_horoscope_power,♋️Helping Cancers Everyday♋️,Tobacco &  Smoking,76.4K,,5.9K,8.2K
39,cigarslover_magazine,CigarsLover Magazine,Tobacco &  Smoking,162.8K,,2.8K,3.8K
40,mushroommundo,𝗠𝘂𝘀𝗵𝗿𝗼𝗼𝗺 𝗠𝘂𝗻𝗱𝗼,Tobacco &  Smoking,286.6K,,1.4K,1.9K
41,oliviaannkaiser,Olivia Kaiser,Tobacco &  Smoking,424K,,955,1.4K
42,bratko.tetiana,Tetiana Bratko,Humor &  Fun &  Happiness,6.9K,,55.3K,70.5K
43,vivienolahx,Vivien Olah,Tobacco &  Smoking,78.3K,,5.7K,10.5K
44,giojammies,Carla Rodriguez,Tobacco &  Smoking,245K,,1.6K,2K
45,kray2sick,TEEZY F BABY,Tobacco &  Smoking,217.6K,,2.6K,27.3K
46,avalouiise,Ava Louise,Tobacco &  Smoking,430K,,827,1.7K
47,cancerteammm,Cancer Team,Tobacco &  Smoking,167.7K,,1.8K,2.5K
48,stundenglass,Stündenglass,Tobacco &  Smoking,248.6K,,1.2K,1.8K
49,thewitchoftheforest,𝐓𝐡𝐞 𝐖𝐢𝐭𝐜𝐡 𝐨𝐟 𝐭𝐡𝐞 𝐅𝐨𝐫𝐞𝐬𝐭 | 𝐿𝑖𝑛𝑑𝑠𝑎𝑦 𝑆𝑞𝑢𝑖𝑟𝑒,Tobacco &  Smoking,535.7K,,536,671
50,originalzippo,Zippo Manufacturing Company,Tobacco &  Smoking,312.9K,,867,1.1K
