Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,deiveleonardo,Deive Leonardo,Literature &  Journalism,16.8M,,158.7K,251.2K
2,alexpoatanpereira,"Alex ""Poatan"" Pereira",Trainers &  Coaches,6.5M,,191.2K,276K
3,khamzat_chimaev,Khamzat Chimaev,Trainers &  Coaches,9.3M,,156K,192.9K
4,ashtonhallofficial,Ashton Hall,Fitness &  Gym,6.3M,,170.9K,251.7K
5,jayshetty,Jay Shetty,Literature &  Journalism,16.1M,,75.4K,95.4K
6,linnlowes,LINN LOWES,Fitness &  Gym,3.5M,,263.6K,318.7K
7,saschafitness,Sascha Barboza,Fitness &  Gym,5.8M,,105K,166.2K
8,nick.digiovanni,Nick DiGiovanni,Food &  Cooking,3.5M,,160.6K,206.6K
9,qimmahrusso,Qimmah Russo,Trainers &  Coaches,5.1M,,73.8K,134.9K
10,alex.choi,Alex Choi,Cars &  Motorbikes,1.4M,,275.8K,387.5K
11,usainbolt,Usain St.Leo Bolt 🇯🇲,Trainers &  Coaches,14.2M,,26.8K,36.5K
12,the.holistic.psychologist,Dr. Nicole LePera,Trainers &  Coaches,9.1M,,35.6K,45.5K
13,brysondechambeau,Bryson DeChambeau,Sports with a ball,2.2M,,127.9K,162.1K
14,senada.greca,"Senada Greca, MBA",Fitness &  Gym,5.9M,,37K,49.6K
15,ronniecoleman8,Ronnie Coleman,Trainers &  Coaches,10.6M,,21.1K,27K
16,lethalshooter,NBA Shooting Coach ( Chris Matthews ),Sports with a ball,4M,,45.1K,70.2K
17,krissycela,Krissy Cela,Fitness &  Gym,3.3M,,57.7K,73.5K
18,yogawithlola_,The Yoga With Lola Experience,Fitness &  Gym,736.7K,,201.2K,324.7K
19,kayla_itsines,KAYLA ITSINES,Fitness &  Gym,15.8M,,10.4K,13K
20,whitneyysimmons,Whitney Simmons,Fitness &  Gym,4.1M,,41.5K,50.3K
21,derekmoneyberg,Derek Moneyberg,Business &  Careers,4.2M,,34.2K,46.4K
22,drdonovansmolich,Donovan Smolich,Trainers &  Coaches,397.1K,,306.9K,392K
23,missmiafit,Mia Sand,Fitness &  Gym,2.3M,,33.7K,63.8K
24,hubermanlab,"Andrew Huberman, Ph.D.",Science,7.3M,,15.5K,20.1K
25,magnus_carlsen,Magnus Carlsen,Trainers &  Coaches,1.8M,,59.6K,69.5K
26,dalailama,Dalai Lama,Trainers &  Coaches,2.1M,,49.3K,57.6K
27,espncfb,ESPN College Football,Trainers &  Coaches,2.3M,,40.9K,51.2K
28,teamcarolvaz,Carol Vaz,Trainers &  Coaches,7.3M,,10.7K,15.8K
29,calumvonmoger,VŐNMØGÅR,Fitness &  Gym,3.2M,,25K,34.7K
30,stephaniesanzo,STEPHANIE SANZO,Trainers &  Coaches,3.5M,,24.1K,31.6K
31,lisafiitt,Lisa Lanceford,Fitness &  Gym,3.7M,,21.4K,27.5K
32,simeonpanda,Simeon Panda,Fitness &  Gym,8M,,8.2K,11.8K
33,onechampionship,ONE Championship,Fitness &  Gym,10.8M,,6.3K,8K
34,kaigreene,Kai Greene,Fitness &  Gym,7.3M,,8.3K,11K
35,racheljdillon,Rachel Dillon,Fitness &  Gym,1.8M,,34.1K,42.5K
36,nurse.johnn,"John BSN,RN",Trainers &  Coaches,3.8M,,16.1K,19.5K
37,butterworthdasyrup,Tyler Butterworth,Trainers &  Coaches,2.4M,,24K,30.7K
38,realworld_tactical,Tony Sentmanat,Lifestyle,1.1M,,35.2K,67.5K
39,cori.story,Corinne Nicewick,Fitness &  Gym,696.7K,,76.7K,116.4K
40,thekoreanhulk,RICH 🇰🇷🇺🇸| Online Coach | Foodie,Fitness &  Gym,162.3K,,292.1K,358.1K
41,joelosteen,Joel Osteen,Business &  Careers,5.7M,,9.6K,12.1K
42,tonyrobbins,Tony Robbins,Business &  Careers,7.4M,,7K,9K
43,deionsanders,@COACHPRIME,Family,5.2M,,8.1K,12K
44,jassome,Jasmine | Ballerina + Coach,Sports with a ball,116.6K,,354.8K,627.2K
45,georgejanko,ᴳᴱᴼᴿᴳᴱ ᴶᴬᴺᴷᴼ,Cinema &  Actors/actresses,2.1M,,16.1K,28.3K
46,melindalindmark,Melinda Lindmark,Fitness &  Gym,1.3M,,31.2K,43.7K
47,mdwbasketball,Milton Chavis,Sports with a ball,242K,,163K,237.5K
48,philosophaire_,Philosophaire,Lifestyle,3.2M,,14K,16.8K
49,lizokryptonian,Danijel Lizačić,Fitness &  Gym,139.7K,,240.3K,453K
50,gabormatemd,Dr. Gabor Maté,Health &  Medicine,3.5M,,10.2K,13.5K
