Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,brunabiancardi,BRUNA BIANCARDI,Travel,13.1M,,407.5K,590.4K
2,ahmedhossam,Ahmed Hossam احمد حسام .,Travel,9.2M,,264.2K,346.4K
3,thetravelershouse,The Travelers House,Travel,763.9K,,2.8M,3.6M
4,natgeotravel,National Geographic Travel,Nature & landscapes,46.3M,,26.9K,33.3K
5,beautifuldestinations,BEAUTIFUL DESTINATIONS,Photography,25.6M,,40.6K,51.1K
6,success_resolve,SUCCESS RESOLVE,Modeling,404.3K,,2.2M,3.4M
7,staystrongmotivated,STAY STRONG MOTIVATED,Humor &  Fun &  Happiness,1.1M,,645.7K,1M
8,teddyswims,Teddy Swims,Travel,7.8M,,67.1K,94.1K
9,nicolemsunderland,Nicole Sunderland,Music,1M,,482.9K,631.5K
10,saltyluxe,"SARAH // Luxury, Adventure & Sustainable Travel",Travel,651.9K,,628.9K,811.5K
11,reneeroaming,Renee Hahnel,Nature & landscapes,945.4K,,417K,509.4K
12,janacraig_,JaNa Craig 🤍,Travel,1.8M,,189K,277.3K
13,trippypark,Trippy Park 👁️,Lifestyle,487K,,701.7K,941.4K
14,lightskinkeisha,BigBankBeisha 🏦,NFT,3M,,77.7K,146.5K
15,robertirwinphotography,Robert Irwin,Animals,6.4M,,52.7K,66.8K
16,wonderful_places,Wonderful Places,Photography,20.5M,,14.9K,18.8K
17,beargrylls,Bear Grylls OBE,Travel,8.1M,,36K,44.9K
18,moreloganpaul,Logan Paul 2,Lifestyle,4.2M,,49.9K,84.2K
19,timetoyatra,Time to travel,Travel,152.4K,,1.5M,2.2M
20,gloriatrevi,Gloria Trevi,Travel,5.6M,,39.9K,53.9K
21,emirates,Emirates,Travel,7.9M,,28.5K,36.3K
22,megaamerican,Joshua Platillero,Lifestyle,5.1M,,46.4K,55.1K
23,wolf_instinct,Jérémy Stella,Animals,2.2M,,97.4K,127.3K
24,nationalparkservice,National Park Service,Travel,6.4M,,33.8K,40.2K
25,disneyland,Disneyland,Travel,8.9M,,22.8K,27.9K
26,_maxhaase_,Max Haase - German Travel Influencer 🇩🇪,Travel,4.6M,,30.7K,47.1K
27,iwonhoyou,원호 wonho,Travel,2.6M,,60.1K,78.3K
28,thisbeautysavesbeasts,McKay Cooper,Travel,677.6K,,226.9K,504.1K
29,db3_tip,Travis Hunter,Lifestyle,2M,,65.5K,95.2K
30,calebwsimpson,Caleb Simpson,Shows,2.5M,,38.1K,73.6K
31,amazingdestination.s,Amazing Travel Destinations,Photography,727.3K,,176.9K,228.5K
32,juliagal_,Julia Gal,Travel,3.2M,,39.6K,50.1K
33,alisha,AlishaMarie,Travel,3.4M,,26.7K,44.3K
34,giizeleoliveira,Gizele Oliveira,Travel,1.3M,,64.9K,106K
35,harjinderkukreja,Harjinder Singh Kukreja,Travel,2.6M,,23.6K,53.9K
36,discoverearth,Discover Earth,Travel,6.8M,,15.4K,20K
37,taylorerastour,The Eras Tour,Travel,904.6K,,94.9K,115.1K
38,honkaistarrail,Honkai: Star Rail Official,Gaming,1.3M,,77.2K,93.5K
39,amazinghotel.s,Travel | Hotels | Resorts,Photography,576.1K,,144.4K,174.8K
40,eden__levine,Eden Levine,Modeling,2M,,29.4K,56.7K
41,daz_black,Daz_black,Travel,1.1M,,73K,96.3K
42,blesiv,blesiv 🌴🇳🇮,Travel,1.8M,,48.1K,59K
43,nois7,Robert Jahns | Digital Artist & Photographer,Travel,1.9M,,42.3K,56.1K
44,arminvanbuuren,Armin van Buuren,Music,4.7M,,17.9K,22.5K
45,theonion,The Onion,Travel,4.1M,,20.4K,24.8K
46,elevationworship,Elevation Worship,Music,4.4M,,19.1K,23.2K
47,clubandhouse,Clubhouse 💙,Music,354.7K,,194.1K,253.9K
48,travellingthroughtheworld,TRAVELLING THROUGH THE WORLD ©,Travel,3.5M,,21.8K,27.9K
49,mariefeandjakesnow,Marie & Jake / Love /  Romanticize Life & Travel,Travel,1.3M,,54.9K,73.1K
50,ohgeesy,OHGEESY.,Travel,1.6M,,45K,61K
