Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,wave_to_earth,wave to earth,Music,1.7M,,162.2K,183.7K
2,pietrodirauso,Pietro Di Rauso,Water sports,631.8K,,321.2K,431.4K
3,elias_filmz,Elias Herrera,Water sports,2.8M,,82.6K,105.1K
4,finnbalor,Finn Bálor  /  PRIN❌E,Lifestyle,4.8M,,50.1K,58.4K
5,realdockery,Dockery,Sports with a ball,997.7K,,119.1K,165.3K
6,brukup_smoke,Владимир Смоук / Танцы МСК / артист,Music,315.6K,,337.8K,433.7K
7,drson1991,Vũ Ngọc Sơn,Water sports,18M,,6.1K,7.4K
8,millachats,Milla Chats 💗✨,Water sports,619.3K,,99.7K,141.6K
9,grove_swimmers_,DIVING ALLIANCE,Water sports,211.5K,,211.9K,409.5K
10,m_phelps00,Michael Phelps,Water sports,3.8M,,9.9K,16.3K
11,olympics,The Olympic Games,Fitness &  Gym,14.8M,,2.6K,3.9K
12,briannacope,Brianna Cope,Water sports,191.8K,,198.8K,280.4K
13,ryzingspins,Ryzing Spins,Trainers &  Coaches,1.5M,,17.9K,26.8K
14,john_john_florence,John john Florence,Extreme  Sports &  Outdoor activity,1.6M,,17.1K,23K
15,seven_seas_explorer,ocean is freedom,Animals,2M,,12.5K,15.3K
16,happypunch,Happy Punch,Water sports,760.3K,,25.4K,31.2K
17,fishing_.life_,FISHING | BOAT | HUNTING,Water sports,1.2M,,2.2K,21.5K
18,espnringside,ESPN Ringside,Sports with a ball,845.4K,,21.6K,27.7K
19,tatiwest,Tatiana Weston-Webb,Water sports,1.2M,,9.2K,20.6K
20,katieledecky,Katie Ledecky,Water sports,903.4K,,17.5K,25.4K
21,alexa_grasso,Alexa Grasso,Fitness &  Gym,1.4M,,11.2K,16.1K
22,nato,NATO,Water sports,1.5M,,11.9K,14.8K
23,venueearth,Venue Earth 🌍🌎🌏,Animals,1.6M,,10.5K,13.2K
24,fish4everchannel,Fish4Ever,Animals,604.2K,,23.1K,27.4K
25,dricusduplessis,Dricus du Plessis,Water sports,732.9K,,18.9K,24.7K
26,locgician,Locgician,Water sports,227.6K,,53.3K,69.6K
27,kai_lenny,Kai Lenny,Water sports,1.3M,,9.7K,13.8K
28,aaronthepoolshark,Aaron Vancoppenolle,Water sports,710.2K,,15.8K,24.9K
29,usnavy,US Navy,Machinery &  Technologies,2.3M,,6K,7.2K
30,youngla,YoungLA,Water sports,1.9M,,6.6K,8K
31,adriannaeves,Anabel Acosta,Water sports,1.2M,,8.8K,11.7K
32,usmarinecorps,Marine Corps Recruiting,Water sports,1.2M,,9.5K,12.1K
33,summerrmcintosh,Summer McIntosh,Water sports,335.3K,,27.8K,44.2K
34,billabong,Billabong,Clothing &  Outfits,2.5M,,3.9K,5.3K
35,subwaysurfers,Subway Surfers,Music,3.9M,,2.8K,3.3K
36,mollycarlson1,Molly Carlson,Water sports,581.5K,,15.4K,21.2K
37,albertochoa05,Albert Ochoa,Water sports,231.9K,,42.3K,75.4K
38,samstudee,Sam Studee,Water sports,96.5K,,89.9K,111.5K
39,surfline,Surfline,Water sports,2.5M,,3.7K,4.7K
40,wsl,World Surf League,Extreme  Sports &  Outdoor activity,4.1M,,2.1K,2.9K
41,kristimakusha,Kristina Makushenko,Water sports,1M,,7.4K,11.1K
42,alessaquizon,Alessa Holloway,Photography,739.7K,,10.1K,14.8K
43,benjamin_bakke,Fisherbenny,Water sports,580K,,12.7K,16.4K
44,alexhayes,ALEX HAYES XI,Extreme  Sports &  Outdoor activity,411.7K,,20.5K,35.7K
45,fanyfuenteshn,Fany Fuentes,Lifestyle,815.9K,,8.9K,17.2K
46,boss_baby001k,Karolina Agata Sankiewicz 🇦🇪,Water sports,1M,,7.5K,10.3K
47,mahinaflorence,Mahina Florence Hawaii,Water sports,184.5K,,45.8K,85.5K
48,nilemw,Nile Wilson,Fitness &  Gym,863.4K,,8K,10.2K
49,marco.lifestyle,𝗠𝗮𝗿𝗰𝗼 𝗟𝗶𝗳𝗲𝗦𝘁𝘆𝗹𝗲,Luxury,728.2K,,10.4K,21.2K
50,fishing_with_flair,Andrew Flair,Animals,755.8K,,8.9K,12.9K
