Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,vinijr,Vinicius Jr. ⚡️🇧🇷,Sports with a ball,52.8M,,1.6M,2.1M
2,rodrygogoes,Rodrygo Goes - RG 💜⚡️🇧🇷,Lifestyle,21.2M,,642.4K,879.4K
3,camavinga,Eduardo Celmi Camavinga,Lifestyle,14.3M,,509.9K,657.8K
4,richarlison,Richarlison,Sports with a ball,22.2M,,183.4K,270.7K
5,ansufati,Ansu Fati,Sports with a ball,10.2M,,453.8K,579.8K
6,philfoden,Phil Foden,Lifestyle,12.3M,,289.1K,388.6K
7,gervontaa,Gervonta Davis,Sports with a ball,7.6M,,370K,553.7K
8,jackgrealish,Jack Grealish,Sports with a ball,8.9M,,256.8K,349.8K
9,jamorant,twelve,Winter sports,9.8M,,229.3K,307K
10,bukayosaka87,Bukayo Saka,Sports with a ball,6.9M,,298.9K,405.1K
11,bronny,,Sports with a ball,8.1M,,239K,310.6K
12,lifeperiway,Armand Peri,Fitness &  Gym,10.7M,,107.8K,210.7K
13,ferrantorres,Ferran Torres,Sports with a ball,5.2M,,264.8K,334.9K
14,angelreese5,ANGEL REESE,Lifestyle,4.7M,,170.1K,235.2K
15,truittbattin,Truitt Battin,Sports with a ball,5.9M,,95.6K,151.7K
16,stylebender,Israel Adesanya,Lifestyle,8.7M,,66.1K,88K
17,awbissaka,Aaron Wan-Bissaka,Sports with a ball,4.3M,,125.3K,175.9K
18,traeyoung,Trae Young,Winter sports,5.1M,,101.1K,142K
19,gggboxing,Gennadiy Golovkin | GGG,Lifestyle,5.1M,,114K,136.4K
20,ernez540,Ernest Owens,Sports with a ball,5.1M,,58.2K,116.6K
21,lisa.zimouche,Lisa Zimouche,Sports with a ball,2M,,156.9K,280.9K
22,fred08oficial,Fred Rodrigues,Lifestyle,3.7M,,94.7K,136.4K
23,kaitrumpgolfer,Kai Trump,Sports with a ball,1.6M,,239.9K,315.1K
24,zurdoramirez,Gilberto Ramirez,Lifestyle,3.8M,,63.1K,102.9K
25,chloekim,Chloe Kim,Gaming,1M,,205.5K,374.9K
26,brysondechambeau,Bryson DeChambeau,Sports with a ball,2.2M,,127.9K,162.1K
27,ilonamaher,Ilona Maher,Lifestyle,5M,,51.3K,66.7K
28,sugasean,Suga Sean O'Malley,Lifestyle,4.5M,,46.5K,58.4K
29,cee2x___,CeeDee Lamb,Sports with a ball,1.9M,,97.5K,139.2K
30,k1ngkyrg1os,Nick Kyrgios,Lifestyle,4.3M,,45.6K,59.9K
31,jadecargill,"Jade Cargill, B.S., M.S. 🇺🇸🇯🇲",Photography,1.5M,,91.2K,154.6K
32,juice_landry,BORN AGAIN,Lifestyle,2.1M,,72.9K,100.4K
33,candidethovex,Candide Thovex,Winter sports,1.3M,,139.1K,157.8K
34,shedeursanders,Shedeur Sanders,Lifestyle,2.2M,,61.7K,91.2K
35,aaronmicheal0514,Aaron Micheal,Fitness &  Gym,136.8K,,994.4K,1.4M
36,deestroying,Dee,Sports with a ball,2.7M,,47.3K,68.7K
37,realdockery,Dockery,Sports with a ball,997.7K,,119.1K,165.3K
38,korde1ll,Kordell Beckham,Sports with a ball,1.1M,,66.8K,145.6K
39,muhammadali,Muhammad Ali,Sports with a ball,7.4M,,16.5K,20.5K
40,uncleronnie69,Ronnie Mac 69,Racing  Sports,1.1M,,98.6K,123.7K
41,xntonio.ig,Antonio Santiago,Winter sports,919.5K,,105.1K,125.1K
42,blessing_awodibu,blessing #theboogieman awodibu,Fitness &  Gym,1.8M,,42.3K,67.7K
43,mondo_duplantis,Mondo Duplantis,Winter sports,1.4M,,69.1K,85.4K
44,austinreaves12,,Winter sports,1.4M,,55.7K,85.2K
45,kipchogeeliud,Eliud Kipchoge - EGH🇰🇪,Racing  Sports,2.7M,,31.5K,42.3K
46,22wiggins,Andrew Wiggins,Sports with a ball,2.1M,,32K,53.3K
47,merab.dvalishvili,Merab Dvalishvili,Lifestyle,1.4M,,63.5K,78.2K
48,freddiefreeman,Freddie Freeman,Winter sports,1.1M,,74.9K,97K
49,biancabelairwwe,Bianca Belair,Gaming,2M,,34.5K,54K
50,kevinlove,Kevin Love,Lifestyle,3.4M,,21.4K,30.9K
